Time	[Z1]	[Z2]	[Z3]	[Z4]	[E1]	[E2]	[E3]	[E4]
0	0.5	10	10	100	0.000500501	0	0	0
1	0.500256	9.9998	9.99995	99.9999	0.000244909	0.000202814	4.93122e-05	8.04871e-05
2	0.500308	9.99979	9.99993	99.9999	0.000192642	0.000206425	6.64795e-05	0.000129698
3	0.500325	9.99981	9.99993	99.9999	0.000175264	0.000190821	6.52993e-05	0.000131819
4	0.500338	9.99982	9.99994	99.9999	0.000162325	0.000176155	6.08679e-05	0.000123569
5	0.50035	9.99984	9.99994	99.9999	0.000150374	0.000162972	5.63637e-05	0.000114494
6	0.500361	9.99985	9.99995	99.9999	0.000139242	0.00015087	5.21762e-05	0.000105988
7	0.500372	9.99986	9.99995	99.9999	0.000128921	0.00013968	4.83048e-05	9.81221e-05
8	0.500381	9.99987	9.99996	99.9999	0.000119363	0.000129324	4.47227e-05	9.08451e-05
9	0.50039	9.99988	9.99996	99.9999	0.000110514	0.000119736	4.14067e-05	8.41092e-05
10	0.500398	9.99989	9.99996	99.9999	0.000102322	0.000110859	3.8337e-05	7.78736e-05
11	0.500406	9.9999	9.99996	99.9999	9.47376e-05	0.000102642	3.54951e-05	7.21007e-05
12	0.500413	9.9999	9.99997	99.9999	8.77161e-05	9.50337e-05	3.28641e-05	6.67563e-05
13	0.500419	9.99991	9.99997	99.9999	8.12155e-05	8.79903e-05	3.04283e-05	6.18084e-05
14	0.500425	9.99992	9.99997	99.9999	7.51971e-05	8.14694e-05	2.81732e-05	5.72277e-05
15	0.500431	9.99992	9.99997	99.9999	6.9625e-05	7.54322e-05	2.60854e-05	5.29867e-05
16	0.500436	9.99993	9.99998	100	6.4466e-05	6.98426e-05	2.41524e-05	4.90602e-05
17	0.500441	9.99994	9.99998	100	5.96895e-05	6.46674e-05	2.23627e-05	4.54248e-05
18	0.500445	9.99994	9.99998	100	5.52671e-05	5.9876e-05	2.07058e-05	4.20591e-05
19	0.500449	9.99994	9.99998	100	5.11726e-05	5.54399e-05	1.91717e-05	3.89429e-05
20	0.500453	9.99995	9.99998	100	4.73816e-05	5.13325e-05	1.77513e-05	3.60577e-05
21	0.500457	9.99995	9.99998	100	4.38716e-05	4.75297e-05	1.64362e-05	3.33863e-05
22	0.50046	9.99996	9.99998	100	4.06217e-05	4.40087e-05	1.52186e-05	3.0913e-05
23	0.500463	9.99996	9.99999	100	3.76126e-05	4.07486e-05	1.40912e-05	2.8623e-05
24	0.500466	9.99996	9.99999	100	3.48265e-05	3.77301e-05	1.30474e-05	2.65027e-05
25	0.500468	9.99997	9.99999	100	3.22469e-05	3.49354e-05	1.20809e-05	2.45395e-05
26	0.500471	9.99997	9.99999	100	2.98584e-05	3.23477e-05	1.11861e-05	2.27219e-05
27	0.500473	9.99997	9.99999	100	2.76469e-05	2.99518e-05	1.03575e-05	2.10389e-05
28	0.500475	9.99997	9.99999	100	2.55992e-05	2.77333e-05	9.59036e-06	1.94805e-05
29	0.500477	9.99997	9.99999	100	2.37033e-05	2.56792e-05	8.88004e-06	1.80377e-05
30	0.500479	9.99998	9.99999	100	2.19477e-05	2.37773e-05	8.22235e-06	1.67017e-05
31	0.50048	9.99998	9.99999	100	2.03223e-05	2.20163e-05	7.61338e-06	1.54647e-05
32	0.500482	9.99998	9.99999	100	1.88172e-05	2.03858e-05	7.04952e-06	1.43194e-05
33	0.500483	9.99998	9.99999	100	1.74236e-05	1.8876e-05	6.52743e-06	1.32589e-05
34	0.500484	9.99998	9.99999	100	1.61333e-05	1.74781e-05	6.04402e-06	1.2277e-05
35	0.500486	9.99998	9.99999	100	1.49385e-05	1.61837e-05	5.59641e-06	1.13677e-05
36	0.500487	9.99999	9.99999	100	1.38322e-05	1.49852e-05	5.18195e-06	1.05259e-05
37	0.500488	9.99999	10	100	1.28079e-05	1.38754e-05	4.7982e-06	9.74637e-06
38	0.500489	9.99999	10	100	1.18594e-05	1.28479e-05	4.44287e-06	9.0246e-06
39	0.50049	9.99999	10	100	1.09812e-05	1.18965e-05	4.11385e-06	8.3563e-06
40	0.50049	9.99999	10	100	1.0168e-05	1.10155e-05	3.8092e-06	7.73747e-06
41	0.500491	9.99999	10	100	9.41501e-06	1.01998e-05	3.52713e-06	7.16447e-06
42	0.500492	9.99999	10	100	8.71781e-06	9.44443e-06	3.26593e-06	6.63393e-06
43	0.500492	9.99999	10	100	8.07225e-06	8.74506e-06	3.02408e-06	6.14268e-06
44	0.500493	9.99999	10	100	7.47449e-06	8.09748e-06	2.80014e-06	5.6878e-06
45	0.500494	9.99999	10	100	6.92101e-06	7.49786e-06	2.59279e-06	5.26662e-06
46	0.500494	9.99999	10	100	6.40851e-06	6.94264e-06	2.40079e-06	4.87663e-06
47	0.500495	9.99999	10	100	5.93396e-06	6.42853e-06	2.22301e-06	4.51551e-06
48	0.500495	9.99999	10	100	5.49455e-06	5.9525e-06	2.0584e-06	4.18113e-06
49	0.500495	9.99999	10	100	5.08768e-06	5.51172e-06	1.90597e-06	3.87152e-06
50	0.500496	9.99999	10	100	4.71095e-06	5.10358e-06	1.76484e-06	3.58484e-06
51	0.500496	10	10	100	4.36211e-06	4.72567e-06	1.63415e-06	3.31938e-06
52	0.500496	10	10	100	4.0391e-06	4.37574e-06	1.51315e-06	3.07359e-06
53	0.500497	10	10	100	3.74001e-06	4.05172e-06	1.4011e-06	2.84599e-06
54	0.500497	10	10	100	3.46307e-06	3.7517e-06	1.29735e-06	2.63525e-06
55	0.500497	10	10	100	3.20664e-06	3.47389e-06	1.20128e-06	2.44011e-06
56	0.500498	10	10	100	2.96919e-06	3.21666e-06	1.11233e-06	2.25943e-06
57	0.500498	10	10	100	2.74933e-06	2.97847e-06	1.02997e-06	2.09212e-06
58	0.500498	10	10	100	2.54575e-06	2.75792e-06	9.537e-07	1.93721e-06
59	0.500498	10	10	100	2.35725e-06	2.55371e-06	8.8308e-07	1.79376e-06
60	0.500498	10	10	100	2.1827e-06	2.36461e-06	8.17691e-07	1.66094e-06
61	0.500498	10	10	100	2.02108e-06	2.18952e-06	7.57143e-07	1.53795e-06
62	0.500499	10	10	100	1.87142e-06	2.02739e-06	7.01079e-07	1.42407e-06
