Time	[Vm]	[n]	[G6P]	[FBP]	[NADHm]	[delta_psi]	[Cam]	[ADPm]	[adp]	[c]	[Caer]
69	-59.7219	0.000152329	301.002	2.16048	0.40026	163.84	0.198954	11.1007	1136.84	0.171391	344.986
70	-59.7185	0.000152673	301.002	2.16048	0.400264	163.84	0.198959	11.1007	1136.83	0.171408	344.986
71	-59.7152	0.000153006	301.002	2.16049	0.400268	163.84	0.198965	11.1007	1136.83	0.171424	344.985
72	-59.7119	0.000153327	301.002	2.1605	0.400271	163.84	0.198972	11.1008	1136.83	0.17144	344.985
73	-59.7085	0.000153638	301.002	2.1605	0.400275	163.84	0.198978	11.1008	1136.83	0.171457	344.985
74	-59.7052	0.000153939	301.002	2.16051	0.400279	163.84	0.198985	11.1008	1136.83	0.171473	344.985
75	-59.7019	0.000154231	301.002	2.16052	0.400282	163.84	0.198993	11.1008	1136.82	0.171489	344.985
76	-59.6986	0.000154513	301.002	2.16053	0.400286	163.84	0.199001	11.1008	1136.82	0.171505	344.985
77	-59.6953	0.000154787	301.002	2.16053	0.40029	163.839	0.199009	11.1008	1136.82	0.171521	344.985
78	-59.6921	0.000155052	301.002	2.16054	0.400293	163.839	0.199017	11.1008	1136.82	0.171537	344.985
79	-59.6888	0.00015531	301.002	2.16055	0.400297	163.839	0.199026	11.1008	1136.81	0.171553	344.985
80	-59.6855	0.00015556	301.002	2.16055	0.400301	163.839	0.199036	11.1008	1136.81	0.171569	344.984
81	-59.6823	0.000155803	301.002	2.16056	0.400304	163.839	0.199046	11.1009	1136.81	0.171584	344.984
82	-59.6791	0.000156039	301.002	2.16057	0.400308	163.839	0.199056	11.1009	1136.81	0.1716	344.984
83	-59.6758	0.000156269	301.002	2.16057	0.400312	163.839	0.199066	11.1009	1136.8	0.171615	344.984
84	-59.6726	0.000156493	301.002	2.16058	0.400315	163.839	0.199077	11.1009	1136.8	0.171631	344.984
85	-59.6694	0.000156711	301.002	2.16059	0.400319	163.839	0.199088	11.1009	1136.8	0.171646	344.984
86	-59.6662	0.000156923	301.002	2.16059	0.400323	163.839	0.1991	11.1009	1136.8	0.171661	344.984
87	-59.663	0.00015713	301.002	2.1606	0.400326	163.839	0.199111	11.1009	1136.8	0.171677	344.984
88	-59.6598	0.000157332	301.002	2.16061	0.40033	163.839	0.199123	11.1009	1136.79	0.171692	344.984
89	-59.6567	0.000157529	301.002	2.16061	0.400334	163.838	0.199136	11.1009	1136.79	0.171707	344.984
90	-59.6535	0.000157721	301.002	2.16062	0.400337	163.838	0.199149	11.101	1136.79	0.171722	344.984
91	-59.6503	0.000157909	301.002	2.16063	0.400341	163.838	0.199162	11.101	1136.79	0.171737	344.983
92	-59.6472	0.000158093	301.002	2.16064	0.400345	163.838	0.199175	11.101	1136.78	0.171752	344.983
93	-59.6441	0.000158272	301.002	2.16064	0.400348	163.838	0.199189	11.101	1136.78	0.171767	344.983
94	-59.6409	0.000158448	301.002	2.16065	0.400352	163.838	0.199203	11.101	1136.78	0.171781	344.983
95	-59.6378	0.000158621	301.002	2.16066	0.400355	163.838	0.199217	11.101	1136.78	0.171796	344.983
96	-59.6347	0.000158789	301.002	2.16066	0.400359	163.838	0.199232	11.101	1136.78	0.171811	344.983
97	-59.6316	0.000158955	301.002	2.16067	0.400363	163.838	0.199247	11.101	1136.77	0.171825	344.983
98	-59.6285	0.000159117	301.003	2.16068	0.400366	163.838	0.199262	11.101	1136.77	0.17184	344.983
99	-59.6254	0.000159277	301.003	2.16068	0.40037	163.838	0.199278	11.1011	1136.77	0.171854	344.983
100	-59.6223	0.000159433	301.003	2.16069	0.400374	163.837	0.199293	11.1011	1136.77	0.171869	344.983
