Time	[Mad1:C-Mad2]	[O-Mad2]	[Mad1:C-Mad2:O-Mad2*]	[Cdc20]	[Cdc20:C-Mad2]	[Bub3:BubR1]	[MCC]	[Bub3:BubR1:Cdc20]	[APC]	[MCC:APC]	[APC:Cdc20]
0	5e-08	1.3e-07	0	2.2e-07	0	1.27e-07	0	0	9e-08	0	0
1	4.99241e-08	1.28701e-07	7.58613e-11	1.65832e-07	7.09045e-10	1.26272e-07	1.76524e-10	2.14037e-10	3.69318e-08	3.37501e-10	5.27307e-08
2	4.99157e-08	1.27427e-07	8.4325e-11	1.48224e-07	9.25839e-10	1.25085e-07	4.38046e-10	3.52201e-10	1.99403e-08	1.12469e-09	6.8935e-08
3	4.99121e-08	1.2617e-07	8.78995e-11	1.41043e-07	9.90846e-10	1.23798e-07	7.14187e-10	4.50783e-10	1.31992e-08	2.03711e-09	7.47637e-08
4	4.99109e-08	1.24927e-07	8.91171e-11	1.37766e-07	1.0133e-09	1.22505e-07	9.66044e-10	5.24362e-10	1.02696e-08	3.00453e-09	7.67258e-08
5	4.99106e-08	1.23697e-07	8.93717e-11	1.36133e-07	1.02297e-09	1.21229e-07	1.1691e-09	5.80424e-10	8.9056e-09	4.0214e-09	7.7073e-08
6	4.99109e-08	1.2248e-07	8.91178e-11	1.35245e-07	1.02829e-09	1.19974e-07	1.31831e-09	6.2344e-10	8.21489e-09	5.08438e-09	7.67007e-08
7	4.99114e-08	1.21275e-07	8.85923e-11	1.34715e-07	1.03175e-09	1.18739e-07	1.42159e-09	6.5639e-10	7.82463e-09	6.18314e-09	7.59922e-08
8	4.9912e-08	1.20082e-07	8.79603e-11	1.34368e-07	1.03415e-09	1.17523e-07	1.49095e-09	6.81412e-10	7.57431e-09	7.3049e-09	7.51208e-08
9	4.99127e-08	1.18901e-07	8.72638e-11	1.34119e-07	1.0359e-09	1.16324e-07	1.53731e-09	7.00119e-10	7.39256e-09	8.43847e-09	7.4169e-08
10	4.99135e-08	1.17732e-07	8.65143e-11	1.33926e-07	1.03726e-09	1.15142e-07	1.56882e-09	7.13758e-10	7.24623e-09	9.57556e-09	7.31782e-08
11	4.99142e-08	1.16574e-07	8.57717e-11	1.33766e-07	1.03831e-09	1.13975e-07	1.59104e-09	7.23318e-10	7.11917e-09	1.07106e-08	7.21702e-08
12	4.9915e-08	1.15428e-07	8.50179e-11	1.33627e-07	1.03919e-09	1.12823e-07	1.60756e-09	7.29586e-10	7.0031e-09	1.184e-08	7.11569e-08
13	4.99157e-08	1.14294e-07	8.4263e-11	1.335e-07	1.03995e-09	1.11685e-07	1.62063e-09	7.33196e-10	6.89361e-09	1.29616e-08	7.01448e-08
14	4.99165e-08	1.1317e-07	8.35094e-11	1.33381e-07	1.04064e-09	1.1056e-07	1.63163e-09	7.34658e-10	6.7883e-09	1.40741e-08	6.91376e-08
15	4.99172e-08	1.12058e-07	8.27592e-11	1.33269e-07	1.04127e-09	1.09448e-07	1.64143e-09	7.34388e-10	6.68577e-09	1.51766e-08	6.81376e-08
16	4.9918e-08	1.10957e-07	8.20132e-11	1.3316e-07	1.04188e-09	1.08348e-07	1.65056e-09	7.32722e-10	6.58523e-09	1.62688e-08	6.71459e-08
17	4.99187e-08	1.09866e-07	8.12722e-11	1.33054e-07	1.04247e-09	1.0726e-07	1.65935e-09	7.29934e-10	6.48623e-09	1.73504e-08	6.61633e-08
18	4.99195e-08	1.08787e-07	8.05366e-11	1.32951e-07	1.04305e-09	1.06184e-07	1.66798e-09	7.26245e-10	6.38849e-09	1.84214e-08	6.51901e-08
19	4.99202e-08	1.07718e-07	7.98067e-11	1.3285e-07	1.04363e-09	1.0512e-07	1.6766e-09	7.21837e-10	6.29185e-09	1.94816e-08	6.42265e-08
20	4.99209e-08	1.0666e-07	7.90826e-11	1.3275e-07	1.0442e-09	1.04067e-07	1.68528e-09	7.16858e-10	6.19621e-09	2.05312e-08	6.32726e-08
21	4.99216e-08	1.05613e-07	7.83644e-11	1.32651e-07	1.04478e-09	1.03024e-07	1.69407e-09	7.11428e-10	6.10152e-09	2.15701e-08	6.23284e-08
22	4.99223e-08	1.04575e-07	7.76523e-11	1.32554e-07	1.04536e-09	1.01993e-07	1.703e-09	7.05644e-10	6.00772e-09	2.25985e-08	6.13938e-08
23	4.99231e-08	1.03549e-07	7.69461e-11	1.32457e-07	1.04595e-09	1.00972e-07	1.71211e-09	6.99586e-10	5.91481e-09	2.36164e-08	6.04688e-08
24	4.99238e-08	1.02532e-07	7.6246e-11	1.32362e-07	1.04654e-09	9.99614e-08	1.72139e-09	6.93319e-10	5.82277e-09	2.46239e-08	5.95534e-08
25	4.99244e-08	1.01525e-07	7.55519e-11	1.32267e-07	1.04715e-09	9.89612e-08	1.73088e-09	6.86896e-10	5.73158e-09	2.56211e-08	5.86474e-08
