Time	[IX]	[IX_TF_VIIa]	[TF_VIIa]	[IXa]	[X]	[X_TF_VIIa]	[Xa]	[VIIIa_IXa]	[X_VIIIa_IXa]	[V]	[Va]	[VIII]	[VIIIa]	[IIa]	[II]	[II_Va_Xa]	[Va_Xa]	[mIIa]	Values[I]
90	2.4533e-08	4.56488e-10	4.51788e-09	6.43158e-08	2.55741e-09	2.56334e-11	1.47922e-07	6.73514e-10	2.11984e-11	-2.92135e-43	5.26686e-10	-6.70769e-45	5.28762e-12	1.4e-06	-5.88612e-23	6.6529e-23	1.94733e-08	8.76447e-13	-6.08288e-09
91	2.39999e-08	4.47629e-10	4.52861e-09	6.48578e-08	2.36503e-09	2.37615e-11	1.48117e-07	6.75095e-10	1.96507e-11	1.49306e-43	5.25916e-10	3.31547e-45	5.25471e-12	1.4e-06	2.67953e-23	-3.59951e-23	1.94741e-08	7.21223e-13	-6.35864e-09
92	2.34776e-08	4.38902e-10	4.53908e-09	6.53888e-08	2.18674e-09	2.20211e-11	1.48298e-07	6.76568e-10	1.82097e-11	2.82179e-43	5.25259e-10	6.43278e-45	5.22239e-12	1.4e-06	5.37907e-23	-6.06934e-23	1.94747e-08	5.9346e-13	-6.64572e-09
93	2.2966e-08	4.30306e-10	4.54929e-09	6.59089e-08	2.02156e-09	2.04037e-11	1.48466e-07	6.7794e-10	1.6869e-11	-5.82396e-44	5.24743e-10	-1.32089e-45	5.19068e-12	1.4e-06	-4.86389e-24	2.01629e-23	1.94753e-08	4.88325e-13	-6.94458e-09
94	2.2465e-08	4.21842e-10	4.55926e-09	6.64183e-08	1.86857e-09	1.89008e-11	1.48621e-07	6.79218e-10	1.56223e-11	1.47399e-43	5.24168e-10	3.18733e-45	5.15957e-12	1.4e-06	3.06454e-23	-3.97108e-23	1.94758e-08	4.01803e-13	-7.25569e-09
95	2.19744e-08	4.13511e-10	4.56898e-09	6.69172e-08	1.7269e-09	1.75053e-11	1.48765e-07	6.80407e-10	1.44636e-11	-1.36865e-43	5.23753e-10	-2.90312e-45	5.12907e-12	1.4e-06	-2.74589e-23	3.80267e-23	1.94762e-08	3.30648e-13	-7.57954e-09
96	2.1494e-08	4.05313e-10	4.57848e-09	6.74058e-08	1.59576e-09	1.62096e-11	1.48898e-07	6.81513e-10	1.33874e-11	8.1081e-44	5.23225e-10	1.65507e-45	5.09918e-12	1.4e-06	1.56852e-23	-2.55947e-23	1.94768e-08	2.72077e-13	-7.91666e-09
97	2.10236e-08	3.97246e-10	4.58775e-09	6.78842e-08	1.47439e-09	1.50071e-11	1.49021e-07	6.82542e-10	1.23882e-11	-3.99698e-44	5.22852e-10	-7.72989e-46	5.06991e-12	1.4e-06	-1.04698e-23	1.34383e-23	1.94771e-08	2.23902e-13	-8.26758e-09
98	2.05631e-08	3.89312e-10	4.5968e-09	6.83527e-08	1.36209e-09	1.38915e-11	1.49135e-07	6.83498e-10	1.1461e-11	-3.60712e-44	5.22449e-10	-7.507e-46	5.04126e-12	1.4e-06	-7.45637e-24	1.11033e-23	1.94776e-08	1.8424e-13	-8.63286e-09
99	2.01122e-08	3.8151e-10	4.60563e-09	6.88113e-08	1.2582e-09	1.28566e-11	1.4924e-07	6.84386e-10	1.06009e-11	2.0156e-43	5.21994e-10	4.04807e-45	5.01322e-12	1.4e-06	4.50768e-23	-6.44081e-23	1.9478e-08	1.51602e-13	-9.01309e-09
100	1.96709e-08	3.73839e-10	4.61426e-09	6.92602e-08	1.16212e-09	1.18971e-11	1.49338e-07	6.85211e-10	9.80333e-12	4.99053e-44	5.21735e-10	1.09783e-45	4.9858e-12	1.4e-06	8.43368e-24	-1.21253e-23	1.94783e-08	1.24767e-13	-9.40887e-09
