Time	[a]	[b]	[aRel]
0	50	0	1
1	49.9791	0.119431	0.999581
2	49.9166	0.237849	0.998332
3	49.813	0.355435	0.99626
4	49.6689	0.47237	0.993378
5	49.4847	0.588827	0.989695
6	49.2612	0.704977	0.985223
7	48.9988	0.820988	0.979975
8	48.6982	0.937021	0.973964
9	48.3602	1.05323	0.967203
10	47.9854	1.16978	0.959707
11	47.5746	1.28681	0.951491
12	47.1286	1.40447	0.942571
13	46.6482	1.52289	0.932964
14	46.1343	1.64221	0.922686
15	45.5878	1.76256	0.911756
16	45.0097	1.88406	0.900194
17	44.401	2.00683	0.888019
18	43.7626	2.13099	0.875252
19	43.0957	2.25664	0.861914
20	42.4015	2.38389	0.848029
21	41.681	2.51282	0.83362
22	40.9356	2.64354	0.818711
23	40.1664	2.77612	0.803328
24	39.3749	2.91064	0.787498
25	38.5624	3.04718	0.771248
26	37.7303	3.1858	0.754606
27	36.8801	3.32655	0.737601
28	36.0132	3.46949	0.720265
29	35.1313	3.61466	0.702627
30	34.2359	3.7621	0.684719
31	33.3287	3.91185	0.666574
32	32.4112	4.06391	0.648224
33	31.4852	4.21832	0.629704
34	30.5524	4.37507	0.611047
35	29.6144	4.53418	0.592288
36	28.6731	4.69563	0.573461
37	27.73	4.85941	0.554601
38	26.7871	5.0255	0.535742
39	25.846	5.19387	0.516919
40	24.9083	5.3645	0.498166
41	23.9758	5.53734	0.479516
42	23.0502	5.71234	0.461003
43	22.133	5.88945	0.442659
44	21.2258	6.06862	0.424515
45	20.3301	6.24976	0.406602
46	19.4474	6.43282	0.388949
47	18.5791	6.61772	0.371583
48	17.7265	6.80438	0.354531
49	16.8909	6.9927	0.337818
50	16.0733	7.18261	0.321467
51	15.275	7.374	0.305499
52	14.4967	7.56679	0.289934
53	13.7395	7.76086	0.274791
54	13.0041	7.95612	0.260083
55	12.2913	8.15247	0.245825
56	11.6015	8.34979	0.232029
57	10.9352	8.54798	0.218705
58	10.2929	8.74694	0.205859
59	9.67487	8.94655	0.193497
60	9.08119	9.1467	0.181624
61	8.512	9.3473	0.17024
62	7.96728	9.54822	0.159346
63	7.44693	9.74937	0.148939
64	6.95077	9.95065	0.139015
65	6.47853	10.1519	0.129571
66	6.02987	10.3532	0.120597
67	5.60439	10.5542	0.112088
68	5.20161	10.755	0.104032
69	4.821	10.9554	0.09642
70	4.46198	11.1553	0.0892397
71	4.12393	11.3548	0.0824787
72	3.80619	11.5536	0.0761237
73	3.50805	11.7517	0.0701609
74	3.22879	11.949	0.0645757
75	2.96766	12.1456	0.0593532
76	2.72391	12.3412	0.0544783
77	2.49677	12.5358	0.0499355
78	2.28547	12.7295	0.0457093
79	2.08922	12.922	0.0417843
80	1.90725	13.1135	0.0381451
81	1.73881	13.3037	0.0347763
82	1.58315	13.4928	0.0316629
83	1.43952	13.6806	0.0287903
84	1.3072	13.8671	0.026144
85	1.18551	14.0522	0.0237101
86	1.07375	14.236	0.0214751
87	0.971289	14.4185	0.0194258
88	0.877485	14.5995	0.0175497
89	0.791741	14.7791	0.0158348
90	0.713481	14.9573	0.0142696
91	0.642159	15.134	0.0128432
92	0.577255	15.3092	0.0115451
93	0.518277	15.4829	0.0103655
94	0.464762	15.6552	0.00929525
95	0.416273	15.8259	0.00832546
96	0.372399	15.9952	0.00744798
97	0.332757	16.1629	0.00665514
98	0.296987	16.3291	0.00593975
99	0.264756	16.4938	0.00529512
100	0.235752	16.657	0.00471503
