Time	[Rec]	[Rec_i]	[IL13_Rec]	[p_IL13_Rec]	[p_IL13_Rec_i]	[JAK2]	[pJAK2]	[SHP1]	[STAT5]	[pSTAT5]	[SOCS3mRNA]	[DecoyR]	[IL13_DecoyR]	[SOCS3]	[CD274mRNA]	[IL13]
0	1.3	113.194	0	0	0	2.8	0	91	165	0	0	0.34	0	0	0	2.265
1	1.30857	113.175	0.00599866	0.00396877	0.000132252	2.79783	0.00216649	91	164.995	0.00455505	2.47053e-06	0.339904	9.578e-05	1.58064e-06	9.40648e-08	2.265
2	1.31622	113.158	0.00148147	0.016992	0.00166319	2.7918	0.00820372	91	164.965	0.0349898	3.84401e-05	0.339808	0.000191533	4.9189e-05	1.4636e-06	2.265
3	1.32304	113.14	0.000620171	0.0248525	0.00437479	2.78284	0.0171584	91	164.888	0.111533	0.000186817	0.339713	0.000287259	0.000359679	7.11301e-06	2.265
4	1.32912	113.124	0.000369202	0.0310945	0.00762427	2.77167	0.0283303	91	164.752	0.248491	0.000563438	0.339617	0.000382958	0.00145058	2.14528e-05	2.265
5	1.33454	113.108	0.000253138	0.0363712	0.0111592	2.75882	0.0411822	91	164.544	0.455863	0.00131017	0.339521	0.00047863	0.00422509	4.98846e-05	2.265
6	1.33937	113.093	0.000188679	0.0408908	0.0148156	2.74473	0.0552702	91	164.26	0.740178	0.00258661	0.339426	0.000574276	0.0100231	9.84845e-05	2.265
7	1.34368	113.078	0.000148725	0.0447811	0.0184779	2.72977	0.0702254	91	163.895	1.10509	0.00456321	0.33933	0.000669894	0.0206454	0.000173743	2.265
8	1.34751	113.064	0.000122041	0.048138	0.0220641	2.71426	0.085741	91	163.448	1.5519	0.00741573	0.339235	0.000765485	0.0383559	0.000282352	2.265
9	1.35092	113.05	0.000103229	0.0510387	0.0255174	2.69844	0.101563	91	162.92	2.07996	0.0113205	0.339139	0.000861049	0.0658657	0.000431026	2.265
10	1.35396	113.037	8.94065e-05	0.0535475	0.0287996	2.68252	0.117483	91	162.313	2.68709	0.0164508	0.339043	0.000956587	0.106302	0.000626362	2.265
11	1.35666	113.024	7.8917e-05	0.0557189	0.0318872	2.66667	0.133329	91	161.63	3.36986	0.0229738	0.338948	0.0010521	0.163164	0.000874723	2.265
12	1.35906	113.011	7.07473e-05	0.0575992	0.0347672	2.65104	0.148961	91	160.876	4.12387	0.0310482	0.338852	0.00114758	0.240273	0.00118215	2.265
13	1.36119	112.998	6.42478e-05	0.0592281	0.0374346	2.63574	0.164265	91	160.056	4.94405	0.0408222	0.338757	0.00124304	0.341708	0.0015543	2.265
14	1.36308	112.986	5.89855e-05	0.0606399	0.0398907	2.62085	0.17915	91	159.175	5.82475	0.0524328	0.338662	0.00133847	0.471744	0.00199637	2.265
15	1.36475	112.973	5.46619e-05	0.0618638	0.0421406	2.60646	0.193542	91	158.24	6.76002	0.0660041	0.338566	0.00143387	0.634783	0.00251309	2.265
16	1.36624	112.961	5.10657e-05	0.0629252	0.0441927	2.59262	0.207385	91	157.256	7.74367	0.0816473	0.338471	0.00152925	0.835284	0.0031087	2.265
17	1.36755	112.949	4.80435e-05	0.063846	0.0460572	2.57937	0.220631	91	156.231	8.76945	0.0994601	0.338375	0.0016246	1.07769	0.00378692	2.265
18	1.36871	112.938	4.54815e-05	0.0646449	0.0477456	2.56675	0.233248	91	155.169	9.8311	0.119527	0.33828	0.00171992	1.36637	0.00455095	2.265
19	1.36973	112.926	4.32941e-05	0.0653383	0.04927	2.55479	0.245208	91	154.078	10.9224	0.141918	0.338185	0.00181521	1.70554	0.00540347	2.265
20	1.37063	112.915	4.14154e-05	0.0659401	0.0506428	2.54351	0.256493	91	152.963	12.0375	0.166691	0.33809	0.00191048	2.09922	0.0063467	2.265
21	1.37142	112.903	3.97941e-05	0.0664627	0.051876	2.53291	0.267091	91	151.83	13.1704	0.19389	0.337994	0.00200572	2.55117	0.00738233	2.265
22	1.37212	112.892	3.83901e-05	0.0669164	0.0529814	2.52301	0.276993	91	150.684	14.3156	0.22355	0.337899	0.00210094	3.06483	0.00851159	2.265
23	1.37272	112.881	3.71712e-05	0.0673104	0.0539705	2.5138	0.286199	91	149.532	15.4678	0.255689	0.337804	0.00219613	3.64331	0.00973529	2.265
24	1.37325	112.869	3.61113e-05	0.0676526	0.0548539	2.50529	0.294708	91	148.378	16.622	0.290318	0.337709	0.00229129	4.28933	0.0110538	2.265
25	1.37371	112.858	3.51894e-05	0.0679497	0.0556416	2.49747	0.302525	91	147.227	17.7735	0.327436	0.337614	0.00238642	5.00518	0.012467	2.265
26	1.3741	112.847	3.43882e-05	0.0682078	0.056343	2.49034	0.30966	91	146.082	18.9179	0.367032	0.337518	0.00248153	5.79277	0.0139747	2.265
27	1.37444	112.836	3.36933e-05	0.0684319	0.0569667	2.48388	0.316121	91	144.949	20.0513	0.409088	0.337423	0.00257661	6.65352	0.0155759	2.265
28	1.37473	112.825	3.30927e-05	0.0686265	0.0575205	2.47808	0.321923	91	143.83	21.1698	0.453574	0.337328	0.00267167	7.58845	0.0172697	2.265
29	1.37498	112.814	3.25764e-05	0.0687954	0.0580117	2.47292	0.327082	91	142.73	22.2702	0.500454	0.337233	0.00276669	8.5981	0.0190547	2.265
30	1.37518	112.804	3.21357e-05	0.0689419	0.058447	2.46839	0.331615	91	141.651	23.3493	0.549688	0.337138	0.00286169	9.68262	0.0209292	2.265
31	1.37535	112.793	3.17634e-05	0.069069	0.0588322	2.46446	0.335541	91	140.596	24.4044	0.601225	0.337043	0.00295667	10.8417	0.0228915	2.265
32	1.37549	112.782	3.14532e-05	0.0691791	0.0591728	2.46112	0.338883	91	139.567	25.4331	0.655011	0.336948	0.00305162	12.0747	0.0249394	2.265
33	1.3756	112.771	3.11997e-05	0.0692745	0.0594736	2.45834	0.341661	91	138.567	26.4333	0.710987	0.336853	0.00314654	13.3804	0.0270706	2.265
34	1.37569	112.76	3.09982e-05	0.069357	0.0597391	2.4561	0.343902	91	137.597	27.4032	0.769089	0.336759	0.00324143	14.7576	0.0292829	2.265
35	1.37575	112.75	3.08446e-05	0.0694284	0.0599732	2.45437	0.345628	91	136.659	28.3411	0.82925	0.336664	0.0033363	16.2044	0.0315735	2.265
36	1.37579	112.739	3.07353e-05	0.06949	0.0601794	2.45313	0.346867	91	135.754	29.2458	0.8914	0.336569	0.00343114	17.7189	0.0339398	2.265
37	1.37581	112.728	3.06672e-05	0.069543	0.0603608	2.45236	0.347643	91	134.884	30.1162	0.955466	0.336474	0.00352595	19.2986	0.0363791	2.265
38	1.37582	112.718	3.06372e-05	0.0695887	0.0605203	2.45202	0.347983	91	134.049	30.9515	1.02137	0.336379	0.00362074	20.9412	0.0388885	2.265
39	1.37582	112.707	3.0643e-05	0.0696278	0.0606604	2.45209	0.347914	91	133.249	31.751	1.08904	0.336285	0.0037155	22.6438	0.041465	2.265
40	1.3758	112.696	3.06823e-05	0.0696613	0.0607833	2.45254	0.347463	91	132.486	32.5144	1.1584	0.33619	0.00381023	24.4035	0.0441058	2.265
41	1.37576	112.686	3.0753e-05	0.0696898	0.060891	2.45334	0.346655	91	131.759	33.2414	1.22937	0.336095	0.00390494	26.2174	0.0468078	2.265
42	1.37572	112.675	3.08533e-05	0.069714	0.0609853	2.45448	0.345516	91	131.068	33.9319	1.30186	0.336	0.00399962	28.0823	0.049568	2.265
43	1.37567	112.665	3.09816e-05	0.0697344	0.0610677	2.45593	0.344072	91	130.414	34.5861	1.37581	0.335906	0.00409427	29.9949	0.0523835	2.265
44	1.37561	112.654	3.11363e-05	0.0697515	0.0611396	2.45765	0.342347	91	129.796	35.204	1.45113	0.335811	0.0041889	31.952	0.0552513	2.265
45	1.37555	112.643	3.1316e-05	0.0697657	0.0612024	2.45963	0.340366	91	129.214	35.7862	1.52774	0.335717	0.0042835	33.9503	0.0581683	2.265
46	1.37547	112.633	3.15194e-05	0.0697774	0.0612569	2.46185	0.33815	91	128.667	36.3329	1.60557	0.335622	0.00437807	35.9863	0.0611318	2.265
47	1.37539	112.622	3.17455e-05	0.0697868	0.0613043	2.46428	0.335722	91	128.155	36.8449	1.68455	0.335527	0.00447262	38.0569	0.0641387	2.265
48	1.37531	112.612	3.1993e-05	0.0697943	0.0613453	2.4669	0.333103	91	127.677	37.3226	1.76459	0.335433	0.00456714	40.1586	0.0671863	2.265
49	1.37522	112.601	3.2261e-05	0.0698002	0.0613808	2.46969	0.330314	91	127.233	37.7669	1.84563	0.335338	0.00466163	42.2883	0.0702718	2.265
50	1.37513	112.591	3.25485e-05	0.0698045	0.0614113	2.47263	0.327373	91	126.822	38.1784	1.92759	0.335244	0.0047561	44.4428	0.0733924	2.265
51	1.37503	112.58	3.28547e-05	0.0698075	0.0614374	2.4757	0.324299	91	126.442	38.5581	2.0104	0.335149	0.00485054	46.6188	0.0765456	2.265
52	1.37493	112.569	3.31787e-05	0.0698093	0.0614598	2.47889	0.321109	91	126.093	38.9066	2.094	0.335055	0.00494495	48.8134	0.0797286	2.265
53	1.37483	112.559	3.35197e-05	0.0698101	0.0614788	2.48218	0.317817	91	125.775	39.225	2.17832	0.334961	0.00503934	51.0237	0.0829391	2.265
54	1.37472	112.548	3.3877e-05	0.0698101	0.0614948	2.48556	0.314441	91	125.486	39.5142	2.2633	0.334866	0.0051337	53.2466	0.0861745	2.265
55	1.37461	112.538	3.42499e-05	0.0698093	0.0615082	2.48901	0.310993	91	125.225	39.7751	2.34887	0.334772	0.00522803	55.4796	0.0894325	2.265
56	1.3745	112.527	3.46376e-05	0.0698078	0.0615193	2.49251	0.307486	91	124.991	40.0086	2.43497	0.334678	0.00532234	57.7199	0.0927108	2.265
57	1.37439	112.517	3.50396e-05	0.0698056	0.0615284	2.49607	0.303933	91	124.784	40.2158	2.52154	0.334583	0.00541662	59.9649	0.0960072	2.265
58	1.37427	112.506	3.54553e-05	0.069803	0.0615357	2.49966	0.300345	91	124.602	40.3977	2.60854	0.334489	0.00551087	62.2124	0.0993196	2.265
59	1.37416	112.496	3.58839e-05	0.0697999	0.0615415	2.50327	0.296732	91	124.445	40.5551	2.6959	0.334395	0.0056051	64.4598	0.102646	2.265
