Time	[Htot]	[H]	[A]	[HOH]	[Atot]	[AOH]	[Ftot]	[Ptot]	[HF]	[HP]	[O2]	[FIHfree]	[CAD]	[NAD]	[CADOH]	[A for plotting]
0	0	0	100	0	100	0	1	0.2	0	0	0	0.00990099	0	0	0	1
1	0.632121	0.632121	100	0	100	0	1	0.2	0.625961	0.560301	0	0.0159995	0.678153	0.678153	0	1
2	0.864665	0.864665	100	0	100	0	1	0.2	0.856258	0.777201	0	0.0182243	0.742415	0.742415	0	1
3	0.950213	0.950213	100	0	100	0	1	0.2	0.940982	0.857864	0	0.0190403	0.760041	0.760041	0	1
4	0.981684	0.981684	100	0	100	0	1	0.2	0.972151	0.887637	0	0.0193401	0.765933	0.765933	0	1
5	0.993262	0.993262	100	0	100	0	1	0.2	0.983617	0.898603	0	0.0194504	0.768028	0.768028	0	1
6	0.997521	0.997521	100	0	100	0	1	0.2	0.987835	0.902638	0	0.0194909	0.76879	0.76879	0	1
7	0.999088	0.999088	100	0	100	0	1	0.2	0.989387	0.904123	0	0.0195058	0.769069	0.769069	0	1
8	0.999665	0.999665	100	0	100	0	1	0.2	0.989958	0.90467	0	0.0195113	0.769171	0.769171	0	1
9	0.999877	0.999877	100	0	100	0	1	0.2	0.990168	0.904871	0	0.0195133	0.769209	0.769209	0	1
10	0.999955	0.999955	100	0	100	0	1	0.2	0.990245	0.904945	0	0.0195141	0.769223	0.769223	0	1
11	0.999983	0.999983	100	0	100	0	1	0.2	0.990274	0.904972	0	0.0195143	0.769228	0.769228	0	1
12	0.999994	0.999994	100	0	100	0	1	0.2	0.990284	0.904982	0	0.0195144	0.76923	0.76923	0	1
13	0.999998	0.999998	100	0	100	0	1	0.2	0.990288	0.904985	0	0.0195145	0.76923	0.76923	0	1
14	0.999999	0.999999	100	0	100	0	1	0.2	0.99029	0.904987	0	0.0195145	0.769231	0.769231	0	1
15	1	1	100	0	100	0	1	0.2	0.99029	0.904987	0	0.0195145	0.769231	0.769231	0	1
16	1	1	100	0	100	0	1	0.2	0.99029	0.904987	0	0.0195145	0.769231	0.769231	0	1
17	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
18	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
19	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
20	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
21	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
22	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
23	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
24	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
25	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
26	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
27	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
28	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
29	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
30	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
31	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
32	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
33	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
34	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
35	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
36	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
37	1	1	100	0	100	0	1	0.2	0.99029	0.904988	0	0.0195145	0.769231	0.769231	0	1
