Time	[PFKL]	[FBPase]	[F6P]	[PEP]	[Isocitrate]	[2-oxoglutarate]	[Malate]	[Citrate]	[sa4_degraded]	[ALDO]	[pPFKL]	[sa8_degraded]	[sa7_degraded]	[sa5_degraded]	[sa6_degraded]	[sa9_degraded]	[sa3_degraded]	[sa10_degraded]	[IR_complex]	[pro_IR_complex]	[p1IR_complex]	[p2IR_complex]	[p1p2IRcomplex]	[AKT]	[pAKT]	[mTOR]	[pmTOR]	[S6K]	[pS6K]	[X]	[pX]	[sa28_degraded]	[sa27_degraded]	[sa26_degraded]	[F6P_proxy]
0	1.23557	1	14.0774	108.095	1.79487	25.1885	68.8788	17.7476	0	1	0.759332	0	0	0	0	0	0	0	37.8191	46.2223	2.50767	852.608	3.9307	4.33812	0.0129427	0.0959164	0.00401503	2.77699	0.000988831	14.9913	0.043353	0	0	0	14.0774
1	1.23557	1	13.1473	152.086	1.75666	21.644	69.8844	17.3957	0.86812	1	0.759466	-1.00553	3.54449	-43.992	0.0382102	0.0834303	0.930116	0.351936	11.6299	46.2223	60.8817	633.336	181.812	4.33812	0.270979	0.0959164	0.00949543	2.77699	0.00103088	14.9913	0.0433853	10.5207	0.00732497	0.320496	13.1473
2	1.23557	1	12.2172	196.078	1.71845	18.0995	70.8899	17.0437	1.74295	1	0.761075	-2.01106	7.08899	-87.9839	0.0764203	0.166861	1.86023	0.703871	20.9929	46.2223	109.304	514.576	223.714	4.33812	0.476842	0.0959164	0.0203227	2.77699	0.0012403	14.9913	0.0435515	30.3532	0.0130283	0.991031	12.2172
3	1.23557	1	13.5747	203.62	1.68024	16.7421	69.3816	17.3957	2.60214	1	0.766595	-0.502761	8.44646	-95.5254	0.114631	0.137936	0.502761	0.351935	30.1853	46.2223	156.719	440.442	219.922	4.33812	0.665272	0.0959164	0.0335377	2.77699	0.0016786	14.9913	0.043911	51.5881	0.0177908	2.04971	13.5747
4	1.23557	1	14.9321	211.161	1.64203	15.3846	67.8733	17.7476	3.44256	1	0.778509	1.00554	9.80393	-103.067	0.152841	0.109012	-0.854709	-7.08e-07	37.5027	46.2223	195.32	390.277	203.229	4.33812	0.807507	0.0959164	0.0459212	2.77699	0.0023396	14.9913	0.0444748	71.7043	0.0219406	3.45191	14.9321
5	1.23557	1	16.2896	218.703	1.60382	14.0271	66.365	18.0995	4.26517	1	0.798301	2.51384	11.1614	-110.608	0.191051	0.0800872	-2.21218	-0.351937	42.7162	46.2223	223.475	355.048	185.282	4.33812	0.905251	0.0959164	0.055722	2.77699	0.00316518	14.9913	0.0452134	90.1273	0.0256676	5.11855	16.2896
6	1.23557	1	16.5611	212.368	1.56561	14.0271	65.46	17.8884	5.07303	1	0.82591	3.41882	11.1614	-104.274	0.229261	-0.0389878	-2.48367	-0.140776	46.1508	46.2223	242.36	329.667	169.745	4.33812	0.968235	0.0959164	0.0626989	2.77699	0.00408239	14.9913	0.0460826	106.948	0.029094	6.9704	16.5611
7	1.23557	1	16.8326	206.033	1.5274	14.0271	64.555	17.6772	5.87577	1	0.859855	4.32379	11.1614	-97.9387	0.267471	-0.158063	-2.75516	0.0703853	48.249	46.2223	254.047	310.826	157.282	4.33812	1.00635	0.0959164	0.0673423	2.77699	0.0050276	14.9913	0.0470409	122.442	0.0323009	8.94201	16.8326
8	1.23557	1	17.1041	199.698	1.48919	14.0271	63.6501	17.4661	6.68559	1	0.89777	5.22877	11.1614	-91.6038	0.305682	-0.277138	-3.02666	0.281546	49.4012	46.2223	260.538	296.319	147.529	4.33812	1.02741	0.0959164	0.070297	2.77699	0.0059544	14.9913	0.0480568	136.885	0.0353422	10.9845	17.1041
9	1.23557	1	17.3756	193.364	1.45098	14.0271	62.7451	17.2549	7.51583	1	0.93704	6.13375	11.1614	-85.269	0.343892	-0.396213	-3.29815	0.492707	49.9049	46.2223	263.434	284.698	139.88	4.33812	1.03703	0.0959164	0.0721139	2.77699	0.00683262	14.9913	0.049108	150.508	0.0382534	13.0632	17.3756
