Time	[Fru]	[Glc]	[HexP]	[Suc6P]	[Suc]	[Sucvac]	[glycolysis]	[phos]	[UDP]	[ADP]	[ATP]	[Glcex]	[Fruex]
54	7.40191	7.94696	5.53906	0.0101865	3.13852	0	0	5.1	0.2	0.2	1	5	5
55	7.48883	8.05236	5.54906	0.0102079	3.188	0	0	5.1	0.2	0.2	1	5	5
56	7.57528	8.15721	5.55803	0.0102272	3.2374	0	0	5.1	0.2	0.2	1	5	5
57	7.66127	8.26154	5.56603	0.0102444	3.28672	0	0	5.1	0.2	0.2	1	5	5
58	7.74682	8.36533	5.57309	0.0102596	3.33593	0	0	5.1	0.2	0.2	1	5	5
59	7.83194	8.4686	5.57925	0.0102729	3.38502	0	0	5.1	0.2	0.2	1	5	5
60	7.91664	8.57134	5.58455	0.0102844	3.43396	0	0	5.1	0.2	0.2	1	5	5
61	8.00092	8.67356	5.58902	0.0102941	3.48275	0	0	5.1	0.2	0.2	1	5	5
62	8.0848	8.77526	5.59271	0.0103022	3.53137	0	0	5.1	0.2	0.2	1	5	5
63	8.16828	8.87644	5.59564	0.0103087	3.57981	0	0	5.1	0.2	0.2	1	5	5
64	8.25137	8.97711	5.59785	0.0103137	3.62806	0	0	5.1	0.2	0.2	1	5	5
65	8.33409	9.07726	5.59937	0.0103172	3.6761	0	0	5.1	0.2	0.2	1	5	5
66	8.41643	9.17691	5.60022	0.0103193	3.72393	0	0	5.1	0.2	0.2	1	5	5
67	8.49841	9.27605	5.60044	0.01032	3.77153	0	0	5.1	0.2	0.2	1	5	5
68	8.58003	9.37468	5.60006	0.0103195	3.8189	0	0	5.1	0.2	0.2	1	5	5
69	8.6613	9.4728	5.59909	0.0103178	3.86602	0	0	5.1	0.2	0.2	1	5	5
70	8.74222	9.57043	5.59757	0.0103149	3.9129	0	0	5.1	0.2	0.2	1	5	5
71	8.8228	9.66755	5.59553	0.0103109	3.95951	0	0	5.1	0.2	0.2	1	5	5
72	8.90305	9.76418	5.59297	0.0103058	4.00586	0	0	5.1	0.2	0.2	1	5	5
73	8.98297	9.86031	5.58994	0.0102997	4.05194	0	0	5.1	0.2	0.2	1	5	5
74	9.06257	9.95594	5.58644	0.0102926	4.09774	0	0	5.1	0.2	0.2	1	5	5
75	9.14185	10.0511	5.58251	0.0102847	4.14326	0	0	5.1	0.2	0.2	1	5	5
76	9.22082	10.1457	5.57816	0.0102758	4.1885	0	0	5.1	0.2	0.2	1	5	5
77	9.29947	10.2399	5.57341	0.010266	4.23344	0	0	5.1	0.2	0.2	1	5	5
78	9.37782	10.3336	5.56827	0.0102555	4.27808	0	0	5.1	0.2	0.2	1	5	5
79	9.45587	10.4268	5.56278	0.0102442	4.32242	0	0	5.1	0.2	0.2	1	5	5
80	9.53363	10.5195	5.55694	0.0102322	4.36646	0	0	5.1	0.2	0.2	1	5	5
81	9.61109	10.6117	5.55077	0.0102195	4.41019	0	0	5.1	0.2	0.2	1	5	5
82	9.68826	10.7035	5.5443	0.0102061	4.45362	0	0	5.1	0.2	0.2	1	5	5
83	9.76515	10.7948	5.53752	0.0101921	4.49673	0	0	5.1	0.2	0.2	1	5	5
84	9.84175	10.8856	5.53047	0.0101775	4.53952	0	0	5.1	0.2	0.2	1	5	5
85	9.91808	10.9759	5.52315	0.0101623	4.582	0	0	5.1	0.2	0.2	1	5	5
86	9.99412	11.0658	5.51558	0.0101466	4.62416	0	0	5.1	0.2	0.2	1	5	5
87	10.0699	11.1552	5.50776	0.0101304	4.66601	0	0	5.1	0.2	0.2	1	5	5
88	10.1454	11.2441	5.49973	0.0101137	4.70753	0	0	5.1	0.2	0.2	1	5	5
89	10.2206	11.3326	5.49148	0.0100965	4.74873	0	0	5.1	0.2	0.2	1	5	5
90	10.2956	11.4206	5.48302	0.0100789	4.78961	0	0	5.1	0.2	0.2	1	5	5
91	10.3703	11.5082	5.47438	0.0100609	4.83016	0	0	5.1	0.2	0.2	1	5	5
92	10.4448	11.5952	5.46556	0.0100425	4.87039	0	0	5.1	0.2	0.2	1	5	5
93	10.519	11.6819	5.45657	0.0100238	4.9103	0	0	5.1	0.2	0.2	1	5	5
94	10.5929	11.7681	5.44742	0.0100047	4.94988	0	0	5.1	0.2	0.2	1	5	5
95	10.6666	11.8538	5.43812	0.0099853	4.98914	0	0	5.1	0.2	0.2	1	5	5
96	10.74	11.9391	5.42869	0.0099656	5.02807	0	0	5.1	0.2	0.2	1	5	5
97	10.8132	12.0239	5.41912	0.00994561	5.06669	0	0	5.1	0.2	0.2	1	5	5
98	10.8861	12.1083	5.40944	0.00992537	5.10498	0	0	5.1	0.2	0.2	1	5	5
99	10.9588	12.1923	5.39964	0.00990487	5.14294	0	0	5.1	0.2	0.2	1	5	5
100	11.0313	12.2758	5.38974	0.00988416	5.18059	0	0	5.1	0.2	0.2	1	5	5
