Time	[C3_Gene]	[C3_mRNA]	[C_3]	[C_3_P]	[C_3_pre]	[C1]	[C1_mRNA]	[C1_phos]	[c1c3complex]	[junk]
60	1	6.25147	112.339	7.67596	1	2.49028	1	0.0035754	0.540249	2307.29
61	1	3.42774	132.614	19.1995	1	2.48178	1	0.000594215	0.542562	2343.54
62	1	1.44205	130.52	30.7283	1	2.47463	1	0.000240823	0.548043	2375.46
63	1	0.429033	119.095	40.5412	1	2.46835	1	0.000142894	0.552911	2403.55
64	1	0.101314	105.924	48.3999	1	2.46331	1	0.000102781	0.556792	2428.79
65	1	0.0230528	93.6879	54.6091	1	2.4599	1	8.20061e-05	0.559388	2452.36
66	1	0.00556656	82.699	59.5148	1	2.45837	1	6.94034e-05	0.56048	2475.15
67	1	0.00159029	72.7173	63.366	1	2.4589	1	6.08824e-05	0.559956	2497.94
68	1	0.000667404	63.4723	66.3066	1	2.46147	1	5.47234e-05	0.557832	2521.43
69	1	0.000453109	54.757	68.3891	1	2.46593	1	5.01676e-05	0.554266	2546.35
70	1	0.000409694	46.4382	69.5875	1	2.47194	1	4.69103e-05	0.549538	2573.45
71	1	0.00041499	38.4536	69.8114	1	2.47904	1	4.49001e-05	0.544028	2603.43
72	1	0.000444035	30.8066	68.9231	1	2.48669	1	4.427e-05	0.53816	2636.97
73	1	0.000495718	23.5559	66.7649	1	2.49431	1	4.53562e-05	0.532365	2674.6
74	1	0.000577628	16.7996	63.1966	1	2.50137	1	4.88133e-05	0.527037	2716.62
75	1	0.000706079	10.6538	58.1399	1	2.50741	1	5.59116e-05	0.522515	2762.95
76	1	0.000913659	5.23665	51.6216	1	2.51205	1	6.92649e-05	0.519063	2813.08
77	1	0.00126989	0.779495	43.8076	1	2.51503	1	9.47659e-05	0.516871	2865.85
78	1	0.00192724	0.00136528	35.2533	1	2.51617	1	0.000145604	0.516045	2916.94
79	1	0.0032217	0.00226401	26.7058	1	2.51544	1	0.000255009	0.516607	2967.26
80	1	0.00623672	0.00428621	18.422	1	2.51291	1	0.000543849	0.518461	3016.11
81	1	0.0159773	0.010662	10.6314	1	2.50881	1	0.00167054	0.521173	3062.24
82	1	0.0898282	0.0624993	3.62737	1	2.50435	1	0.0145367	0.518367	3104.9
83	1	4.611	11.777	0.238862	1	2.60025	1	1.03871	0.131409	3145.2
84	1	8.23945	73.614	1.80146	1	2.52177	1	0.0706051	0.659986	3185.31
85	1	5.38635	114.844	9.7754	1	2.48226	1	0.00229278	0.5437	3221.79
86	1	2.91435	126.606	20.0843	1	2.47469	1	0.000563692	0.548025	3254.15
87	1	1.22006	122.386	29.9414	1	2.46836	1	0.000261967	0.552889	3282.89
88	1	0.372476	111.573	38.3259	1	2.46332	1	0.000163911	0.556778	3308.64
89	1	0.0924881	99.5287	45.1445	1	2.4599	1	0.000119995	0.559378	3332.4
90	1	0.02184	88.1559	50.6259	1	2.45838	1	9.59136e-05	0.560472	3355.25
91	1	0.00536203	77.693	55.0063	1	2.4589	1	8.07933e-05	0.55995	3378.04
92	1	0.0015751	67.9711	58.4384	1	2.46147	1	7.04511e-05	0.557827	3401.53
93	1	0.000719663	58.7987	60.9843	1	2.46593	1	6.30895e-05	0.554261	3426.45
94	1	0.000537006	50.0415	62.6254	1	2.47194	1	5.79199e-05	0.549535	3453.54
95	1	0.000513076	41.6356	63.2743	1	2.47904	1	5.46566e-05	0.544024	3483.52
96	1	0.000538148	33.5845	62.7935	1	2.48669	1	5.33345e-05	0.538157	3517.06
97	1	0.000595049	25.9499	61.0223	1	2.49431	1	5.42943e-05	0.532362	3554.69
98	1	0.000690544	18.8345	57.8155	1	2.50137	1	5.83222e-05	0.527034	3596.71
99	1	0.000845443	12.3583	53.0893	1	2.50741	1	6.70553e-05	0.52251	3643.04
100	1	0.00110382	6.63841	46.865	1	2.51206	1	8.40381e-05	0.519057	3693.18
