Time	[G-alpha]	[activePLC]	[Calcium]
0	0.01	0.01	0.01
1	1.17787	0.358755	0.0186087
2	12.0139	4.71081	2.19698
3	9.62141	9.52184	0.768934
4	9.91082	13.0473	0.980037
5	10.0587	15.2577	1.26861
6	9.80855	16.3476	1.11119
7	9.14216	16.4649	0.698528
8	8.08948	15.6939	0.410709
9	5.89	13.6926	0.176316
10	0.00336688	8.34991	4.78193e-05
11	0.00909774	3.28627	0.000129154
12	0.0319424	1.18221	0.000454225
13	0.184339	0.473256	0.00265522
14	1.87405	0.8106	0.0317887
15	13.5636	6.58513	6.9842
16	11.282	10.3839	1.98385
17	10.6698	13.5388	1.67272
18	10.1789	15.5176	1.41113
19	9.70625	16.4353	1.02156
20	8.988	16.3938	0.639291
21	7.81739	15.443	0.365356
22	5.13429	13.082	0.134747
23	0.00395145	7.0961	5.60803e-05
24	0.0112347	2.72873	0.000159513
25	0.0420976	0.97698	0.000599111
26	0.276481	0.434028	0.00401505
27	2.9014	1.15903	0.0551674
28	10.4612	8.22377	10.3987
29	11.9206	11.4653	4.69534
30	10.9473	14.1155	2.66772
31	10.1805	15.7707	1.49618
32	9.59361	16.4935	0.938251
33	8.8164	16.2902	0.58236
34	7.5005	15.1441	0.320878
35	4.15353	12.3347	0.0939967
36	0.00472106	5.99891	6.70047e-05
37	0.0139951	2.25996	0.000198744
38	0.0565698	0.810336	0.000806009
39	0.422671	0.426549	0.0062195
40	4.46312	1.71688	0.103847
41	6.49351	8.73941	3.19241
42	10.2464	12.3101	5.4138
43	10.4386	14.6084	2.83839
44	10.0813	15.9902	1.42788
45	9.47286	16.5213	0.86164
46	8.62829	16.1553	0.528672
47	7.12846	14.7949	0.277426
48	2.86289	11.4119	0.0548907
49	0.00568157	5.04618	8.06406e-05
50	0.0176072	1.86781	0.000250105
51	0.0777738	0.67684	0.00111006
52	0.654204	0.459503	0.00983412
53	6.79926	2.59017	0.235382
54	7.18766	8.88625	0.276544
55	8.78104	12.6578	1.78407
56	9.91635	14.9255	1.80933
57	9.96171	16.1664	1.28452
58	9.3427	16.519	0.790442
59	8.4204	15.9877	0.477769
60	6.68237	14.3862	0.234681
61	1.19517	10.2589	0.0192171
62	0.00688692	4.2262	9.77551e-05
63	0.0223998	1.54182	0.000318295
64	0.109672	0.572712	0.00156955
65	1.01781	0.548104	0.0158373
66	10.0967	3.92378	0.869993
67	8.69256	9.2832	0.501583
68	9.44219	12.9108	0.757067
69	9.95861	15.165	1.24734
70	9.85281	16.3028	1.15644
71	9.20214	16.4871	0.724082
72	8.18862	15.7855	0.429267
73	6.13503	13.9047	0.192434
74	0.00623916	8.87309	9.18283e-05
75	0.00841029	3.52569	0.000119389
76	0.0288705	1.27229	0.000410444
77	0.15885	0.495688	0.00228299
78	1.58346	0.717061	0.0260628
79	13.264	5.7988	4.54715
80	10.5987	10.0133	1.29787
81	10.3766	13.3347	1.32986
82	10.1389	15.4176	1.34898
83	9.74753	16.4048	1.05584
84	9.0498	16.4254	0.66202
85	7.92713	15.5457	0.382749
86	5.44682	13.3315	0.150627
87	0.00369787	7.55762	5.24811e-05
88	0.0103517	2.93127	0.000146967
89	0.0377902	1.05075	0.000537627
90	0.236075	0.445619	0.00341597
91	2.4554	1.00519	0.0443601
92	12.2216	7.7132	10.1243
93	11.9507	11.049	3.61101
94	10.9428	13.8941	2.31029
95	10.1962	15.6764	1.48151
96	9.63768	16.4748	0.969288
97	8.88401	16.3336	0.603781
98	7.62769	15.2642	0.337789
99	4.56104	12.6393	0.109478
100	0.004406	6.40177	6.25325e-05
