Time	Values[v]	Values[u]
0	-64	-16
1	-64.1503	-16.0006
2	-64.281	-16.0021
3	-64.3925	-16.0046
4	-64.4859	-16.0077
5	-64.5623	-16.0113
6	-64.6236	-16.0154
7	-64.6713	-16.0197
8	-64.7074	-16.0243
9	-64.7335	-16.0289
10	-64.751	-16.0335
11	-63.8365	-16.0346
12	-63.0179	-16.0293
13	-62.2409	-16.0183
14	-61.4617	-16.0018
15	-60.6343	-15.98
16	-60.7877	-15.9563
17	-60.9879	-15.9346
18	-61.2354	-15.9151
19	-61.5283	-15.8983
20	-61.8608	-15.8842
21	-62.2235	-15.8732
22	-62.6038	-15.8652
23	-62.9874	-15.8603
24	-63.3596	-15.8583
25	-63.7078	-15.8591
26	-64.022	-15.8623
27	-64.2964	-15.8676
28	-64.5284	-15.8746
29	-64.7187	-15.8829
30	-64.87	-15.8923
31	-64.9864	-15.9023
32	-65.0724	-15.9128
33	-65.1329	-15.9236
34	-65.1721	-15.9344
35	-65.1942	-15.9451
36	-65.2024	-15.9555
37	-65.1997	-15.9657
38	-65.1886	-15.9756
39	-65.1709	-15.985
40	-65.1483	-15.994
41	-65.1222	-16.0026
42	-65.0934	-16.0107
43	-65.063	-16.0184
44	-65.0314	-16.0255
45	-64.9994	-16.0323
46	-64.9672	-16.0386
47	-64.9353	-16.0445
48	-64.9039	-16.05
49	-64.8731	-16.0551
50	-64.8433	-16.0598
51	-64.8144	-16.0641
52	-64.7865	-16.0681
53	-64.7598	-16.0718
54	-64.7343	-16.0752
55	-64.71	-16.0783
56	-64.6869	-16.0812
57	-64.665	-16.0838
58	-64.6443	-16.0861
59	-64.6249	-16.0883
60	-64.6066	-16.0902
61	-64.5894	-16.092
62	-64.5734	-16.0936
63	-64.5584	-16.095
64	-64.5444	-16.0962
65	-64.5315	-16.0974
66	-64.5195	-16.0984
67	-64.5085	-16.0993
68	-64.4983	-16.1
69	-64.4889	-16.1007
70	-64.4803	-16.1013
71	-69.6397	-16.1223
72	-72.6143	-16.1727
73	-73.928	-16.2368
74	-74.4164	-16.3053
75	-74.5611	-16.3739
76	-70.526	-16.424
77	-68.4275	-16.4512
78	-67.1191	-16.4654
79	-66.2117	-16.4711
80	-65.5373	-16.4709
81	-64.1018	-16.4629
82	-62.8543	-16.4452
83	-61.6643	-16.4192
84	-60.4226	-16.385
85	-58.9949	-16.3421
86	-58.3424	-16.2926
87	-57.4912	-16.2392
88	-56.284	-16.1798
89	-54.3638	-16.111
90	-50.7096	-16.0247
91	-40.767	-15.8964
92	-60.4933	-11.6299
93	-64.9853	-11.7499
94	-68.5934	-11.8971
95	-70.7308	-12.0611
96	-71.7315	-12.2315
97	-72.0931	-12.4016
98	-72.1441	-12.568
99	-72.0536	-12.7294
100	-71.9007	-12.885
