Time	[Rec]	[Rec_i]	[IL13_Rec]	[p_IL13_Rec]	[p_IL13_Rec_i]	[JAK2]	[pJAK2]	[SHP1]	[STAT5]	[pSTAT5]	[CD274mRNA]	[IL13]
44	1.74199	118.15	0.0041471	0.0353389	0.0274396	23.6957	0.304253	9.4	206.575	2.42503	0.904395	3.776
45	1.74183	118.139	0.00414706	0.0353355	0.027437	23.6958	0.304227	9.4	206.572	2.42778	0.932524	3.776
46	1.74166	118.127	0.00414702	0.0353321	0.0274344	23.6958	0.304201	9.4	206.57	2.43022	0.960683	3.776
47	1.74149	118.116	0.00414698	0.0353287	0.0274317	23.6958	0.304175	9.4	206.568	2.43238	0.988869	3.776
48	1.74133	118.105	0.00414694	0.0353253	0.0274291	23.6959	0.304149	9.4	206.566	2.4343	1.01708	3.776
49	1.74116	118.093	0.0041469	0.035322	0.0274265	23.6959	0.304123	9.4	206.564	2.43599	1.04531	3.776
50	1.74099	118.082	0.00414685	0.0353186	0.0274239	23.6959	0.304097	9.4	206.563	2.43748	1.07356	3.776
51	1.74083	118.071	0.00414681	0.0353152	0.0274212	23.6959	0.304071	9.4	206.561	2.43879	1.10182	3.776
52	1.74066	118.06	0.00414677	0.0353118	0.0274186	23.696	0.304045	9.4	206.56	2.43995	1.1301	3.776
53	1.7405	118.048	0.00414673	0.0353085	0.027416	23.696	0.304019	9.4	206.559	2.44096	1.15839	3.776
54	1.74033	118.037	0.00414669	0.0353051	0.0274134	23.696	0.303993	9.4	206.558	2.44184	1.1867	3.776
55	1.74016	118.026	0.00414665	0.0353017	0.0274108	23.696	0.303967	9.4	206.557	2.44262	1.21501	3.776
56	1.74	118.015	0.00414661	0.0352983	0.0274081	23.6961	0.303941	9.4	206.557	2.44328	1.24333	3.776
57	1.73983	118.003	0.00414657	0.035295	0.0274055	23.6961	0.303915	9.4	206.556	2.44386	1.27166	3.776
58	1.73966	117.992	0.00414652	0.0352916	0.0274029	23.6961	0.303889	9.4	206.556	2.44435	1.29999	3.776
59	1.7395	117.981	0.00414648	0.0352882	0.0274003	23.6961	0.303863	9.4	206.555	2.44477	1.32833	3.776
60	1.73933	117.969	0.00414644	0.0352849	0.0273977	23.6962	0.303837	9.4	206.555	2.44513	1.35667	3.776
61	1.73917	117.958	0.0041464	0.0352815	0.0273951	23.6962	0.303811	9.4	206.555	2.44542	1.38502	3.776
