Time	Values[u]	Values[v]
0	-16.12	-62
1	-16.1215	-62.1217
2	-16.1259	-62.2442
3	-16.1329	-62.3634
4	-16.1421	-62.4758
5	-16.1531	-62.5783
6	-16.1654	-62.6685
7	-16.1786	-62.7448
8	-16.1923	-62.8063
9	-16.206	-62.8527
10	-16.2193	-62.8846
11	-16.232	-62.9026
12	-16.2438	-62.908
13	-16.2544	-62.9022
14	-16.2638	-62.8868
15	-16.2717	-62.8633
16	-16.2783	-62.8333
17	-16.2834	-62.7984
18	-16.2871	-62.7599
19	-16.2895	-62.7192
20	-16.2907	-62.6774
21	-16.2907	-62.6357
22	-16.2896	-62.5949
23	-16.2877	-62.5559
24	-16.285	-62.5194
25	-16.2818	-62.486
26	-16.278	-62.456
27	-16.2739	-62.4299
28	-16.2696	-62.4079
29	-16.2652	-62.39
30	-16.2609	-62.3764
31	-16.2567	-62.367
32	-16.2527	-62.3616
33	-16.249	-62.3601
34	-16.2456	-62.362
35	-16.2427	-62.3672
36	-16.2402	-62.3751
37	-16.2382	-62.3854
38	-16.2366	-62.3976
39	-16.2355	-62.4113
40	-16.2349	-62.4258
41	-16.2264	-61.7863
42	-16.2028	-61.1256
43	-16.1645	-60.4203
44	-16.1115	-59.6362
45	-16.0515	-59.4553
46	-15.993	-59.2917
47	-15.9362	-59.1462
48	-15.8815	-59.02
49	-15.8291	-58.9153
50	-15.7794	-58.8351
51	-15.7328	-58.7838
52	-15.6898	-58.7671
53	-15.6509	-58.7923
54	-15.6171	-58.8687
55	-15.589	-59.0069
56	-15.568	-59.2181
57	-15.5552	-59.5119
58	-15.552	-59.894
59	-15.5597	-60.3621
60	-15.5791	-60.9024
61	-15.6023	-60.803
62	-15.6203	-60.667
63	-15.6328	-60.4928
64	-15.6392	-60.2779
65	-15.6478	-60.7239
66	-15.6674	-61.2227
67	-15.6978	-61.7489
68	-15.7384	-62.2712
69	-15.7877	-62.758
70	-15.8435	-63.1832
71	-15.9036	-63.5296
72	-15.9655	-63.7903
73	-16.0269	-63.9671
74	-16.0859	-64.0676
75	-16.1408	-64.1027
76	-16.1907	-64.0844
77	-16.2349	-64.0241
78	-16.2729	-63.9321
79	-16.3048	-63.8169
80	-16.3305	-63.6859
81	-16.3505	-63.5451
82	-16.3649	-63.3991
83	-16.3744	-63.2517
84	-16.3793	-63.106
85	-16.3802	-62.9644
86	-16.3776	-62.8289
87	-16.372	-62.701
88	-16.3638	-62.5821
89	-16.3536	-62.4732
90	-16.3418	-62.3751
91	-16.3289	-62.2884
92	-16.3152	-62.2138
93	-16.3011	-62.1516
94	-16.287	-62.102
95	-16.2731	-62.065
96	-16.2598	-62.0405
97	-16.2473	-62.0283
98	-16.2359	-62.0279
99	-16.2257	-62.0385
100	-16.2168	-62.0592
