Time	[FeIII]	[FeII]	[FeII_O2]	[FeIII_star]	[FeII_star]	[FeII_star_O2]	[FeIII_NO]	[FeII_NO]	[NADPH]	[O2]	[citruline]	[NO3]	[NO]	[NADPplus]	[FeIII_t]
0	1	0	0	0	0	0	0	0	40	140	0	0	0	0	1
1	0.275677	0.00570301	0.0279904	0.3266	0.00675934	0.033236	0.11859	0.205444	40	140	0	0	0	0	0.602277
2	0.211665	0.00437577	0.0213922	0.23826	0.0049269	0.0241269	0.0857277	0.409525	40	140	0	0	0	0	0.449925
3	0.176297	0.00364253	0.017754	0.190812	0.00394308	0.0192453	0.0675759	0.52073	40	140	0	0	0	0	0.36711
4	0.157012	0.0032427	0.0157701	0.164938	0.00340658	0.0165833	0.0576793	0.581368	40	140	0	0	0	0	0.32195
5	0.146496	0.00302467	0.0146883	0.150829	0.00311404	0.0151317	0.0522828	0.614434	40	140	0	0	0	0	0.297325
6	0.140761	0.00290579	0.0140984	0.143136	0.00295452	0.0143402	0.0493401	0.632464	40	140	0	0	0	0	0.283897
7	0.137634	0.00284096	0.0137767	0.138941	0.00286753	0.0139086	0.0477355	0.642296	40	140	0	0	0	0	0.276575
8	0.135929	0.00280561	0.0136013	0.136653	0.0028201	0.0136732	0.0468605	0.647657	40	140	0	0	0	0	0.272582
9	0.135	0.00278633	0.0135057	0.135406	0.00279423	0.0135449	0.0463834	0.65058	40	140	0	0	0	0	0.270405
10	0.134493	0.00277582	0.0134535	0.134725	0.00278013	0.0134749	0.0461232	0.652174	40	140	0	0	0	0	0.269218
11	0.134216	0.00277009	0.0134251	0.134355	0.00277244	0.0134367	0.0459814	0.653044	40	140	0	0	0	0	0.268571
12	0.134065	0.00276696	0.0134096	0.134152	0.00276825	0.0134159	0.045904	0.653518	40	140	0	0	0	0	0.268218
13	0.133983	0.00276526	0.0134011	0.134042	0.00276596	0.0134046	0.0458618	0.653776	40	140	0	0	0	0	0.268025
14	0.133938	0.00276433	0.0133965	0.133982	0.00276471	0.0133984	0.0458388	0.653917	40	140	0	0	0	0	0.26792
15	0.133914	0.00276382	0.013394	0.133949	0.00276403	0.013395	0.0458263	0.653994	40	140	0	0	0	0	0.267863
16	0.133901	0.00276355	0.0133926	0.133931	0.00276366	0.0133932	0.0458194	0.654036	40	140	0	0	0	0	0.267832
17	0.133893	0.0027634	0.0133919	0.133921	0.00276346	0.0133922	0.0458157	0.654059	40	140	0	0	0	0	0.267815
18	0.133889	0.00276332	0.0133915	0.133916	0.00276335	0.0133916	0.0458136	0.654071	40	140	0	0	0	0	0.267805
19	0.133887	0.00276327	0.0133912	0.133913	0.00276329	0.0133913	0.0458125	0.654078	40	140	0	0	0	0	0.2678
20	0.133886	0.00276324	0.0133911	0.133912	0.00276325	0.0133912	0.0458119	0.654082	40	140	0	0	0	0	0.267797
21	0.133885	0.00276323	0.013391	0.133911	0.00276324	0.0133911	0.0458116	0.654084	40	140	0	0	0	0	0.267796
22	0.133885	0.00276322	0.013391	0.13391	0.00276323	0.013391	0.0458114	0.654085	40	140	0	0	0	0	0.267795
23	0.133885	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458113	0.654086	40	140	0	0	0	0	0.267795
24	0.133885	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458113	0.654086	40	140	0	0	0	0	0.267794
25	0.133885	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
26	0.133885	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
27	0.133885	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
28	0.133885	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
29	0.133885	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
30	0.133885	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
31	0.133885	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
32	0.133885	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
33	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
34	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
35	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
36	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
37	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
38	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
39	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
40	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
41	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
42	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
43	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
44	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
45	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
46	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
47	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
48	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
49	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
50	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
51	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
52	0.133884	0.00276322	0.013391	0.13391	0.00276322	0.013391	0.0458112	0.654086	40	140	0	0	0	0	0.267794
