Time	[ProCasp3]	[XIAP]	[Casp9(p35-p12)]	[ProCasp9]	[C3]	[Casp9(p35-p10)]	[XIAP-Casp3]	[XIAP-Casp9]	[XIAP-Casp9-Casp3]	[XIAP-p2 fragment]	[XIAP-p2frag-Casp3]	[BIR12]	[BIR12-Casp3]	[BIR3R]	[BIR3R-Casp9]	[BIR3R-p2frag]	[XIAP-2*SMAC]	[BIR12-SMAC]	[BIR3R-SMAC]	[SMAC]	[APAF1]	[XIAP-p2frag-2*SMAC]	[Casp3 Substrate]	[Clevage Products]	[SMAC in mitochondrium]	[Cytochrome C in mitochondrium]	[cytosolic Cytochrome C]
15	0.00759205	0.000150539	0.000213996	0.000326499	0.0576148	0.0184706	0.00575802	6.82668e-06	0.000103226	2.60062e-05	0.00156845	0.00205493	0.0420091	0.0245203	0.00359731	0.0137765	0.00173611	0.000410228	0.000138694	0.0796894	3.34233	4.46528e-07	0.170668	0.829332	0.0285303	0.00976563	9.99023
16	0.00284723	0.00010094	9.08759e-05	0.000241546	0.0610532	0.0203821	0.00308371	1.37902e-06	1.82813e-05	1.17361e-05	0.00076436	0.00213157	0.0465347	0.0275788	0.00185311	0.0159591	0.000947577	0.000451767	0.000107215	0.0833764	3.34224	2.2061e-07	0.0834084	0.916592	0.0258406	0.00615196	9.99385
17	0.00117317	7.95079e-05	4.57398e-05	0.000178697	0.0618552	0.0213032	0.00176727	3.96578e-07	4.54766e-06	5.39028e-06	0.000357752	0.00222429	0.0488694	0.0288897	0.000925004	0.0167769	0.000568566	0.000480186	8.98941e-05	0.086011	3.34218	1.07834e-07	0.0398361	0.960164	0.0234044	0.00387549	9.99612
18	0.000631978	7.00786e-05	2.51371e-05	0.000132201	0.0617215	0.0217023	0.0011586	1.47915e-07	1.49053e-06	2.50263e-06	0.000166039	0.00231056	0.0501082	0.0293024	0.000467233	0.0168762	0.000390906	0.000500857	8.14563e-05	0.0880175	3.34213	5.24299e-08	0.0189694	0.981031	0.0211979	0.00244141	9.99756
19	0.000406112	2.09286e-05	1.47533e-05	9.78029e-05	0.0613364	0.0218436	0.000849266	6.31013e-08	6.16627e-07	1.17101e-06	7.7206e-05	0.0023844	0.0508369	0.0294097	0.000243106	0.0166978	0.00029908	0.000516909	7.7593e-05	0.0896452	3.3421	2.5453e-08	0.00906589	0.990934	0.0191995	0.00153799	9.99846
20	0.00012277	5.96968e-06	9.04525e-06	7.23551e-05	0.0611661	0.0218589	0.000403659	1.81185e-08	1.88194e-07	5.46259e-07	3.5963e-05	0.00242503	0.0511212	0.0298282	0.000131622	0.0167742	0.000147641	0.000526865	7.14221e-05	0.0912237	3.34207	1.22959e-08	0.00434621	0.995654	0.0173894	0.000968873	9.99903
21	3.71722e-05	2.84082e-06	5.82506e-06	5.35287e-05	0.0608736	0.0218109	0.000191285	5.62595e-09	5.56421e-08	2.5571e-07	1.67674e-05	0.0024554	0.0510781	0.0299294	7.45294e-05	0.0167688	7.22593e-05	0.000533235	6.83102e-05	0.0924731	3.34205	5.91471e-09	0.00208968	0.99791	0.01575	0.000610352	9.99939
22	1.12993e-05	1.35937e-06	3.91637e-06	3.96008e-05	0.0605531	0.0217303	9.10917e-05	1.83121e-09	1.73633e-08	1.20111e-07	7.83764e-06	0.00247783	0.0508846	0.0298822	4.43381e-05	0.0167225	3.53636e-05	0.000537379	6.68639e-05	0.0934856	3.34204	2.83942e-09	0.00100848	0.998992	0.0142651	0.000384497	9.99962
23	3.45227e-06	6.53762e-07	2.71927e-06	2.92969e-05	0.0602292	0.0216324	4.35908e-05	6.18051e-10	5.65872e-09	5.66127e-08	3.67529e-06	0.00249483	0.0506228	0.0297661	2.77078e-05	0.0166553	1.73214e-05	0.000540034	6.61885e-05	0.094316	3.34203	1.36221e-09	0.000488581	0.999511	0.0129203	0.000242218	9.99976
24	1.06083e-06	3.15923e-07	1.93228e-06	2.1674e-05	0.0599065	0.0215252	2.09586e-05	2.14309e-10	1.90558e-09	2.67786e-08	1.72941e-06	0.00250806	0.050331	0.0296186	1.81038e-05	0.016577	8.4962e-06	0.000541612	6.58485e-05	0.0949978	3.34202	6.5369e-10	0.000237625	0.999762	0.0117022	0.000152588	9.99985
25	3.27959e-07	1.53376e-07	1.39537e-06	1.60345e-05	0.0595852	0.0214125	1.01234e-05	7.58038e-11	6.5762e-10	1.27129e-08	8.16692e-07	0.00251851	0.0500271	0.0294573	1.22753e-05	0.0164928	4.17502e-06	0.000542354	6.56357e-05	0.0955529	3.34202	3.13968e-10	0.000116018	0.999884	0.010599	9.61244e-05	9.9999
