Time	[ProCasp3]	[XIAP]	[Casp9(p35-p12)]	[ProCasp9]	[C3]	[Casp9(p35-p10)]	[XIAP-Casp3]	[XIAP-Casp9]	[XIAP-Casp9-Casp3]	[XIAP-p2 fragment]	[XIAP-p2frag-Casp3]	[BIR12]	[BIR12-Casp3]	[BIR3R]	[BIR3R-Casp9]	[BIR3R-p2frag]	[XIAP-2*SMAC]	[BIR12-SMAC]	[BIR3R-SMAC]	[SMAC]	[APAF1]	[XIAP-p2frag-2*SMAC]	[Casp3 Substrate]	[Clevage Products]	[SMAC in mitochondrium]	[Cytochrome C in mitochondrium]	[cytosolic Cytochrome C]
72	-3.61013e-26	2.90728e-20	1.42394e-12	1.13136e-11	0.0457112	0.0163263	1.23751e-18	-3.86627e-26	3.71249e-26	-1.20563e-13	-5.46544e-14	0.00230551	0.0377559	0.0224363	1.14643e-11	0.0125785	3.92565e-19	0.000371262	4.23938e-05	0.0812742	3.342	1.62341e-13	1.74189e-17	1	0.00010094	3.5653e-14	10
73	1.08764e-26	1.18677e-20	1.06414e-12	8.36895e-12	0.0454509	0.0162319	6.62412e-19	3.55612e-28	-6.41534e-28	2.19747e-13	1.24525e-13	0.002298	0.0375334	0.0223068	8.58122e-12	0.0125058	2.78712e-19	0.00036743	4.19113e-05	0.0808156	3.342	-3.77708e-13	1.00616e-17	1	9.14234e-05	2.2434e-14	10
74	-1.01101e-26	8.76492e-21	7.9529e-13	6.19082e-12	0.0451922	0.016138	4.0039e-19	-7.43541e-27	8.26173e-27	1.96578e-14	-4.90121e-14	0.0022905	0.0373122	0.022178	6.42367e-12	0.0124334	1.39369e-19	0.000363632	4.14338e-05	0.0803588	3.342	-7.39877e-15	5.82541e-18	1	8.28043e-05	1.41191e-14	10
75	-4.67481e-27	3.99792e-21	5.94412e-13	4.57959e-12	0.0449349	0.0160447	2.19479e-19	6.17773e-27	-6.55533e-27	1.13343e-15	-1.60935e-14	0.00228301	0.0370923	0.02205	4.80888e-12	0.0123615	9.29624e-20	0.000359868	4.09614e-05	0.0799037	3.342	-3.31495e-15	3.38102e-18	1	7.49978e-05	8.88637e-15	10
76	1.97589e-27	3.27062e-21	4.44287e-13	3.38759e-12	0.0446792	0.0159519	1.38234e-19	-1.00761e-26	1.03085e-26	-2.64159e-14	6.75841e-15	0.00227553	0.0368737	0.0219227	3.6002e-12	0.01229	4.17238e-20	0.000356138	4.0494e-05	0.0794505	3.342	9.14171e-15	1.96915e-18	1	6.79272e-05	5.59118e-15	10
77	1.45963e-27	2.19993e-21	3.32074e-13	2.50565e-12	0.0444248	0.0158596	8.34316e-20	-8.90028e-27	9.28892e-27	-8.50945e-15	3.64161e-17	0.00226808	0.0366564	0.0217961	2.69531e-12	0.012219	2.05024e-20	0.000352442	4.00316e-05	0.0789993	3.342	7.6897e-16	1.14737e-18	1	6.15233e-05	3.51391e-15	10
78	-4.71861e-28	9.02438e-22	2.48207e-13	1.85323e-12	0.044172	0.0157679	4.4881e-20	-5.42724e-27	5.46468e-27	-7.13625e-14	5.38111e-15	0.00226063	0.0364404	0.0216703	2.01793e-12	0.0121483	1.57107e-20	0.00034878	3.95742e-05	0.0785501	3.342	6.17814e-14	6.68942e-19	1	5.57231e-05	2.20703e-15	10
79	-4.9546e-28	3.87929e-22	1.8553e-13	1.37069e-12	0.0439206	0.0156767	2.30725e-20	7.77968e-27	-7.84303e-27	5.95859e-14	-2.16256e-14	0.00225321	0.0362256	0.0215452	1.51089e-12	0.012078	1.228e-20	0.000345153	3.91217e-05	0.0781029	3.342	-4.07086e-14	3.91263e-19	1	5.04697e-05	1.38636e-15	10
80	3.02312e-29	3.17289e-22	1.38694e-13	1.01384e-12	0.0436706	0.0155861	1.32751e-20	1.20256e-26	-1.20247e-26	5.33872e-13	4.27735e-14	0.0022458	0.0360121	0.0214208	1.13137e-12	0.0120082	7.29926e-21	0.000341559	3.86742e-05	0.0776577	3.342	-5.86082e-13	2.30103e-19	1	4.57115e-05	8.71382e-16	10
81	1.47725e-29	1.51765e-22	1.03698e-13	7.50001e-13	0.043422	0.0154959	9.99231e-21	-1.04408e-26	1.0434e-26	-9.63581e-13	-5.44098e-14	0.00223841	0.0357998	0.0212972	8.47326e-13	0.0119387	2.15908e-21	0.000337999	3.82316e-05	0.0772147	3.342	1.01297e-12	1.36293e-19	1	4.1402e-05	5.48598e-16	10
82	1.04529e-29	1.19619e-22	7.75436e-14	5.54851e-13	0.0431749	0.0154063	4.89717e-21	3.44364e-27	-3.44779e-27	4.70314e-14	2.92276e-14	0.00223104	0.0355888	0.0211742	6.34669e-13	0.0118697	2.25888e-21	0.000334473	3.77939e-05	0.0767739	3.342	-1.06809e-13	8.10613e-20	1	3.74988e-05	3.45589e-16	10
83	5.11076e-30	7.2091e-23	5.79888e-14	4.10476e-13	0.0429292	0.0153172	3.54793e-21	-2.42023e-27	2.41925e-27	8.93628e-15	-1.6861e-14	0.00222369	0.035379	0.021052	4.7542e-13	0.0118011	6.93899e-22	0.000330981	3.7361e-05	0.0763352	3.342	-6.00109e-15	4.83395e-20	1	3.39635e-05	2.17674e-16	10
84	1.65774e-30	3.56281e-23	4.33683e-14	3.03665e-13	0.0426849	0.0152286	1.5694e-21	1.58466e-27	-1.58457e-27	-2.66314e-15	-7.52166e-15	0.00221636	0.0351704	0.0209304	3.56155e-13	0.0117328	9.60325e-22	0.000327522	3.69329e-05	0.0758986	3.342	8.40648e-16	2.89111e-20	1	3.07616e-05	1.371e-16	10
85	1.44594e-30	2.48759e-23	3.24356e-14	2.24645e-13	0.0424421	0.0151406	1.18542e-21	-4.02074e-28	4.02322e-28	4.964e-16	-6.47534e-15	0.00220905	0.034963	0.0208096	2.66827e-13	0.011665	3.1899e-22	0.000324096	3.65096e-05	0.0754643	3.342	-2.29841e-17	1.73344e-20	1	2.78615e-05	8.63348e-17	10
86	3.775e-31	1.29552e-23	2.42606e-14	1.66186e-13	0.0422006	0.015053	5.97254e-22	3.00124e-28	-3.00263e-28	-1.11557e-16	-3.09405e-15	0.00220176	0.0347568	0.0206895	1.99919e-13	0.0115975	3.04137e-22	0.000320704	3.6091e-05	0.0750323	3.342	9.44891e-21	1.04238e-20	1	2.52348e-05	5.43655e-17	10
87	4.30052e-31	7.26445e-24	1.81477e-14	1.22944e-13	0.0419605	0.014966	4.19528e-22	-3.22089e-28	3.23123e-28	6.72526e-15	-9.51653e-15	0.00219449	0.0345519	0.02057	1.49804e-13	0.0115304	1.22074e-22	0.000317345	3.5677e-05	0.0746024	3.342	1.43482e-16	6.29291e-21	1	2.28558e-05	3.42504e-17	10
88	7.57344e-31	4.91547e-24	1.35778e-14	9.0967e-14	0.0417218	0.0148794	2.20269e-22	1.13797e-28	-1.13348e-28	7.83053e-16	-3.31962e-15	0.00218724	0.0343481	0.0204513	1.12274e-13	0.0114637	1.06699e-22	0.000314018	3.52678e-05	0.0741748	3.342	4.69213e-17	3.82567e-21	1	2.0701e-05	2.16211e-17	10
89	3.19645e-31	3.46216e-24	1.01595e-14	6.73068e-14	0.0414844	0.0147934	1.56294e-22	-4.8808e-29	4.84985e-29	-9.30489e-16	-5.6012e-16	0.00218002	0.0341455	0.0203332	8.41538e-14	0.0113974	4.14691e-23	0.000310724	3.48631e-05	0.0737495	3.342	-1.87794e-17	2.33206e-21	1	1.87494e-05	1.3649e-17	10
90	-2.35286e-32	1.9657e-24	7.60138e-15	4.97933e-14	0.0412485	0.0147078	1.02701e-22	-8.87389e-29	8.89452e-29	1.22141e-15	-1.91335e-15	0.00217282	0.0339441	0.0202158	6.30749e-14	0.0113315	1.69403e-23	0.000307462	3.4463e-05	0.0733264	3.342	1.55274e-17	1.41759e-21	1	1.69818e-05	8.59439e-18	10
91	3.0571e-31	7.22875e-25	5.68806e-15	3.68392e-14	0.0410138	0.0146227	3.05236e-23	1.41463e-28	-1.403e-28	2.47479e-15	-3.30814e-15	0.00216564	0.0337438	0.0200991	4.72822e-14	0.011266	4.26519e-23	0.000304233	3.40674e-05	0.0729056	3.342	6.74502e-17	8.6633e-22	1	1.53808e-05	5.418e-18	10
92	6.97392e-31	6.96952e-25	4.25811e-15	2.72661e-14	0.0407806	0.0145382	1.85981e-23	9.96532e-29	-9.91095e-29	-4.12504e-16	-7.09405e-16	0.00215849	0.0335448	0.019983	3.54572e-14	0.0112008	2.67688e-23	0.000301035	3.36762e-05	0.072487	3.342	-1.32297e-17	5.42058e-22	1	1.39307e-05	3.44777e-18	10
93	6.27655e-31	5.90334e-25	3.18906e-15	2.01884e-14	0.0405487	0.0144541	2.50938e-23	-1.91804e-29	1.89336e-29	-8.71356e-16	-2.25229e-16	0.00215136	0.0333468	0.0198677	2.65998e-14	0.0111361	3.77555e-24	0.000297869	3.32895e-05	0.0720707	3.342	-1.18658e-17	3.47309e-22	1	1.26174e-05	2.21612e-18	10
94	2.52533e-31	3.09159e-25	2.38888e-15	1.49493e-14	0.0403181	0.0143705	1.61849e-23	-1.49025e-29	1.4656e-29	7.56545e-17	-7.56555e-16	0.00214425	0.0331501	0.019753	1.99592e-14	0.0110717	2.40137e-24	0.000294734	3.29072e-05	0.0716567	3.342	9.42846e-19	2.23211e-22	1	1.14279e-05	1.42688e-18	10
95	-6.73598e-32	1.17205e-25	1.78906e-15	1.10671e-14	0.0400888	0.0142874	4.19594e-24	2.61608e-29	-2.59886e-29	4.06869e-16	-5.96053e-16	0.00213717	0.0329544	0.0196389	1.49753e-14	0.0110076	7.43678e-24	0.000291631	3.25292e-05	0.071245	3.342	2.04981e-18	1.39526e-22	1	1.03505e-05	9.08608e-19	10
96	-1.12051e-31	1.17677e-25	1.33954e-15	8.18998e-15	0.0398609	0.0142048	1.99614e-24	1.99592e-29	-1.9689e-29	-1.08563e-16	1.45547e-16	0.00213011	0.0327599	0.0195255	1.12339e-14	0.010944	4.88224e-24	0.000288558	3.21555e-05	0.0708355	3.342	5.977e-18	8.38845e-23	1	9.37472e-06	5.68778e-19	10
97	6.53471e-32	1.88846e-25	1.00318e-15	6.0609e-15	0.0396343	0.0141226	8.38273e-24	-3.01644e-29	3.00029e-29	-6.30278e-16	5.67801e-16	0.00212308	0.0325666	0.0194128	8.42763e-15	0.0108807	-4.32143e-24	0.000285516	3.17861e-05	0.0704283	3.342	1.18974e-18	5.13468e-23	1	8.49091e-06	3.5728e-19	10
98	1.34387e-31	4.41645e-26	7.51704e-16	4.48731e-15	0.039409	0.0140409	6.16527e-24	-2.53537e-29	2.49798e-29	1.90029e-16	-3.61118e-16	0.00211607	0.0323743	0.0193007	6.32492e-15	0.0108178	-3.35434e-24	0.000282505	3.14208e-05	0.0700233	3.342	-9.91884e-18	3.43764e-23	1	7.69042e-06	2.31766e-19	10
99	3.81028e-32	-9.81538e-26	5.63252e-16	3.32332e-15	0.039185	0.0139597	-5.36914e-24	4.00285e-29	-3.98903e-29	5.7736e-16	-7.09034e-16	0.00210908	0.0321832	0.0191893	4.74863e-15	0.0107552	7.44202e-24	0.000279524	3.10597e-05	0.0696206	3.342	-6.45284e-20	2.3658e-23	1	6.9654e-06	1.53087e-19	10
100	-5.86143e-32	4.52813e-26	4.21955e-16	2.46097e-15	0.0389623	0.013879	-1.73949e-24	1.61615e-29	-1.57854e-29	-2.57904e-16	2.36707e-16	0.00210212	0.0319932	0.0190785	3.56532e-15	0.010693	2.94909e-24	0.000276572	3.07028e-05	0.0692201	3.342	9.33244e-18	1.51148e-23	1	6.30873e-06	9.92015e-20	10
