Time	[IkBat]	[IkBa]	[IkBan]	[IkBaIKK]	[IkBaNFkB]	[IkBaNFkBn]	[IkBaIKKNFkB]	[NFkB]	[IKK]	[NFkBn]	[IkBbIKK]	[IkBbIKKNFkB]	[IkBbNFkBn]	[IkBbNFkB]	[IkBbn]	[IkBb]	[IkBbt]	[IkBet]	[IkBe]	[IkBen]	[IkBeNFkB]	[IkBeNFkBn]	[IkBeIKKNFkB]	[IkBeIKK]
15	0.00252882	0.0026473	0.000141285	4.34088e-06	0.0568744	1.20983e-05	0.00048803	4.08788e-05	0.00033419	0.00294047	2.74533e-07	0.000124678	3.37346e-06	0.0296415	2.34672e-05	0.000496062	0.000566435	0.000404142	0.000350629	1.65416e-05	0.00982393	2.37293e-06	4.82367e-05	2.5018e-07
16	0.00268804	0.00290376	0.000157869	4.93541e-06	0.0567079	1.46614e-05	0.000486727	4.08912e-05	0.000334383	0.00312923	3.06422e-07	0.000125098	4.0772e-06	0.0296247	2.57981e-05	0.000537817	0.000599361	0.000427634	0.000380385	1.82024e-05	0.00981557	2.87138e-06	4.82687e-05	2.81275e-07
17	0.00284691	0.00316335	0.000174466	5.55697e-06	0.0565443	1.745e-05	0.000485487	4.09018e-05	0.00033458	0.0033141	3.39171e-07	0.000125434	4.83825e-06	0.0296083	2.80749e-05	0.000579297	0.000631739	0.000450735	0.00040995	1.98256e-05	0.00980746	3.41089e-06	4.82898e-05	3.1328e-07
18	0.00300551	0.00342557	0.000190971	6.20316e-06	0.0563839	2.04451e-05	0.000484297	4.091e-05	0.000334774	0.00349489	3.72642e-07	0.000125704	5.65041e-06	0.0295923	3.02872e-05	0.000620431	0.000663578	0.000473452	0.000439273	2.14036e-05	0.00979963	3.98706e-06	4.83029e-05	3.46041e-07
19	0.00316392	0.00369004	0.000207304	6.87174e-06	0.0562267	2.36264e-05	0.000483147	4.09155e-05	0.000334964	0.00367145	4.06705e-07	0.00012592	6.50721e-06	0.0295767	3.24279e-05	0.000661161	0.000694886	0.00049579	0.000468313	2.29313e-05	0.00979208	4.5953e-06	4.83103e-05	3.7942e-07
20	0.0033222	0.00395643	0.000223403	7.56059e-06	0.056073	2.69735e-05	0.00048203	4.09182e-05	0.000335148	0.00384363	4.41241e-07	0.000126094	7.40219e-06	0.0295616	3.4493e-05	0.000701444	0.000725673	0.000517755	0.000497037	2.44056e-05	0.00978483	5.231e-06	4.83136e-05	4.13287e-07
21	0.00348041	0.00422446	0.000239227	8.26775e-06	0.0559228	3.04661e-05	0.000480939	4.09178e-05	0.000335322	0.00401133	4.76141e-07	0.000126234	8.32908e-06	0.0295469	3.64805e-05	0.000741245	0.000755946	0.000539355	0.000525419	2.58249e-05	0.00977788	5.88968e-06	4.83138e-05	4.47526e-07
22	0.00363859	0.00449391	0.000254748	8.99141e-06	0.0557762	3.40852e-05	0.000479872	4.09143e-05	0.000335486	0.00417445	5.11304e-07	0.000126345	9.28192e-06	0.0295327	3.83904e-05	0.000780537	0.000785716	0.000560595	0.00055344	2.71892e-05	0.00977125	6.56709e-06	4.83117e-05	4.8203e-07
23	0.00379677	0.00476459	0.00026995	9.7299e-06	0.0556335	3.78129e-05	0.000478825	4.09076e-05	0.000335639	0.00433289	5.46641e-07	0.000126435	1.02552e-05	0.0295189	4.02242e-05	0.000819301	0.000814989	0.000581481	0.000581087	2.84994e-05	0.00976494	7.25927e-06	4.83079e-05	5.16703e-07
24	0.00395497	0.00503634	0.000284831	1.04817e-05	0.0554945	4.16327e-05	0.000477796	4.08976e-05	0.00033578	0.0044866	5.82068e-07	0.000126506	1.12438e-05	0.0295056	4.19842e-05	0.000857522	0.000843775	0.000602019	0.000608348	2.9757e-05	0.00975896	7.96259e-06	4.83028e-05	5.5146e-07
25	0.0041132	0.00530902	0.000299395	1.12454e-05	0.0553595	4.55299e-05	0.000476784	4.08845e-05	0.000335909	0.00463552	6.17512e-07	0.000126561	1.22432e-05	0.0294927	4.36736e-05	0.000895191	0.000872081	0.000622215	0.000635215	3.09645e-05	0.00975331	8.67377e-06	4.82966e-05	5.86223e-07
26	0.00427146	0.00558251	0.000313654	1.20198e-05	0.0552284	4.94914e-05	0.000475789	4.08681e-05	0.000336024	0.00477962	6.52907e-07	0.000126604	1.32492e-05	0.0294804	4.52962e-05	0.000932301	0.000899916	0.000642075	0.000661686	3.21242e-05	0.00974798	9.3899e-06	4.82896e-05	6.20925e-07
27	0.00442974	0.00585672	0.000327624	1.28037e-05	0.0551012	5.35056e-05	0.000474809	4.08485e-05	0.000336126	0.00491887	6.88193e-07	0.000126636	1.42584e-05	0.0294684	4.68558e-05	0.000968848	0.000927286	0.000661603	0.000687756	3.3239e-05	0.00974299	1.01084e-05	4.8282e-05	6.55505e-07
28	0.00458802	0.00613155	0.000341325	1.3596e-05	0.0549782	5.75626e-05	0.000473845	4.08258e-05	0.000336214	0.00505325	7.23318e-07	0.000126658	1.52675e-05	0.029457	4.83565e-05	0.00100483	0.000954201	0.000680807	0.000713425	3.43119e-05	0.00973833	1.08269e-05	4.82737e-05	6.8991e-07
29	0.00474629	0.00640693	0.000354777	1.43958e-05	0.0548591	6.16534e-05	0.000472895	4.08e-05	0.000336289	0.00518275	7.58234e-07	0.000126673	1.62738e-05	0.029446	4.98026e-05	0.00104025	0.000980668	0.00069969	0.000738693	3.53456e-05	0.009734	1.15436e-05	4.82649e-05	7.24092e-07
30	0.00490451	0.00668276	0.000368005	1.52022e-05	0.0547442	6.57705e-05	0.000471961	4.07711e-05	0.00033635	0.00530736	7.929e-07	0.00012668	1.7275e-05	0.0294355	5.1198e-05	0.00107512	0.00100669	0.000718259	0.000763563	3.63432e-05	0.00973	1.22568e-05	4.82556e-05	7.5801e-07
