Time	[IkBat]	[IkBa]	[IkBan]	[IkBaIKK]	[IkBaNFkB]	[IkBaNFkBn]	[IkBaIKKNFkB]	[NFkB]	[IKK]	[NFkBn]	[IkBbIKK]	[IkBbIKKNFkB]	[IkBbNFkBn]	[IkBbNFkB]	[IkBbn]	[IkBb]	[IkBbt]	[IkBet]	[IkBe]	[IkBen]	[IkBeNFkB]	[IkBeNFkBn]	[IkBeIKKNFkB]	[IkBeIKK]
71	0.0105118	0.0171273	0.000887469	4.72944e-05	0.0532747	0.000211655	0.000448211	3.78549e-05	0.000329272	0.00666664	1.84421e-06	0.000124026	4.46565e-05	0.0293231	9.39436e-05	0.00210404	0.00177143	0.00126388	0.00149764	6.68646e-05	0.00978972	3.17826e-05	4.75728e-05	1.77893e-06
72	0.0106067	0.0173253	0.000901161	4.79226e-05	0.053303	0.000213825	0.000447989	3.77661e-05	0.000328958	0.00662835	1.86089e-06	0.000123922	4.49434e-05	0.0293258	9.49973e-05	0.00212139	0.00178428	0.00127305	0.00151001	6.7616e-05	0.00979491	3.19875e-05	4.75524e-05	1.79506e-06
73	0.010699	0.0175191	0.000914906	4.85384e-05	0.0533332	0.000215901	0.000447781	3.76776e-05	0.000328643	0.00658793	1.87721e-06	0.000123817	4.52132e-05	0.0293286	9.60594e-05	0.00213844	0.00179692	0.00128207	0.00152218	6.83734e-05	0.0098002	3.21802e-05	4.75321e-05	1.81084e-06
74	0.0107887	0.0177087	0.0009287	4.91416e-05	0.0533653	0.000217881	0.000447588	3.75894e-05	0.000328327	0.00654549	1.89319e-06	0.000123712	4.5466e-05	0.0293315	9.71299e-05	0.00215521	0.00180935	0.00129094	0.00153415	6.91367e-05	0.00980557	3.23609e-05	4.75119e-05	1.82629e-06
75	0.0108757	0.0178941	0.000942541	4.9732e-05	0.0533993	0.000219765	0.000447409	3.75018e-05	0.00032801	0.00650113	1.90883e-06	0.000123607	4.57022e-05	0.0293345	9.8209e-05	0.00217171	0.00182157	0.00129966	0.00154592	6.99061e-05	0.00981103	3.25297e-05	4.7492e-05	1.84141e-06
76	0.0109602	0.0180751	0.000956425	5.03096e-05	0.053435	0.000221552	0.000447244	3.74146e-05	0.000327692	0.00645497	1.92414e-06	0.000123501	4.59219e-05	0.0293377	9.92966e-05	0.00218794	0.00183358	0.00130823	0.00155749	7.06815e-05	0.00981657	3.26867e-05	4.74722e-05	1.85621e-06
77	0.0110421	0.0182518	0.000970351	5.0874e-05	0.0534723	0.000223243	0.000447093	3.7328e-05	0.000327375	0.0064071	1.93912e-06	0.000123396	4.61253e-05	0.029341	0.000100393	0.00220389	0.0018454	0.00131666	0.00156888	7.14632e-05	0.00982219	3.28321e-05	4.74526e-05	1.8707e-06
78	0.0111214	0.0184241	0.000984315	5.14252e-05	0.0535111	0.000224836	0.000446955	3.72419e-05	0.000327057	0.00635762	1.95379e-06	0.000123291	4.63127e-05	0.0293444	0.000101498	0.00221958	0.00185702	0.00132495	0.00158007	7.22509e-05	0.00982787	3.29662e-05	4.74332e-05	1.88488e-06
79	0.0111981	0.0185921	0.000998312	5.19632e-05	0.0535514	0.000226333	0.00044683	3.71566e-05	0.000326741	0.00630663	1.96815e-06	0.000123185	4.64844e-05	0.0293479	0.000102611	0.00223502	0.00186844	0.0013331	0.00159109	7.30448e-05	0.00983361	3.30889e-05	4.74141e-05	1.89876e-06
80	0.0112722	0.0187556	0.00101234	5.24877e-05	0.0535931	0.000227733	0.000446718	3.7072e-05	0.000326425	0.00625424	1.9822e-06	0.00012308	4.66405e-05	0.0293514	0.000103733	0.0022502	0.00187968	0.00134112	0.00160192	7.38447e-05	0.00983942	3.32006e-05	4.73953e-05	1.91235e-06
81	0.0113438	0.0189147	0.0010264	5.29988e-05	0.053636	0.000229038	0.000446618	3.69882e-05	0.00032611	0.00620055	1.99596e-06	0.000122976	4.67814e-05	0.0293551	0.000104864	0.00226513	0.00189073	0.001349	0.00161257	7.46507e-05	0.00984528	3.33015e-05	4.73767e-05	1.92565e-06
82	0.0114129	0.0190695	0.00104048	5.34964e-05	0.0536801	0.000230246	0.000446529	3.69051e-05	0.000325796	0.00614566	2.00942e-06	0.000122871	4.69073e-05	0.0293588	0.000106003	0.00227981	0.00190159	0.00135675	0.00162304	7.54627e-05	0.00985118	3.33916e-05	4.73585e-05	1.93867e-06
83	0.0114795	0.0192198	0.00105457	5.39804e-05	0.0537253	0.000231359	0.000446453	3.6823e-05	0.000325485	0.00608966	2.02261e-06	0.000122768	4.70185e-05	0.0293626	0.00010715	0.00229425	0.00191227	0.00136438	0.00163334	7.62805e-05	0.00985714	3.34713e-05	4.73406e-05	1.95142e-06
84	0.0115437	0.0193657	0.00106869	5.44509e-05	0.0537715	0.000232379	0.000446387	3.67418e-05	0.000325175	0.00603265	2.03551e-06	0.000122664	4.71152e-05	0.0293665	0.000108305	0.00230845	0.00192278	0.00137187	0.00164348	7.7104e-05	0.00986313	3.35407e-05	4.73231e-05	1.9639e-06
85	0.0116054	0.0195072	0.00108281	5.49079e-05	0.0538187	0.000233305	0.000446333	3.66615e-05	0.000324867	0.00597473	2.04815e-06	0.000122562	4.71979e-05	0.0293705	0.000109469	0.00232242	0.00193311	0.00137924	0.00165344	7.79332e-05	0.00986916	3.36001e-05	4.73059e-05	1.97612e-06
86	0.0116647	0.0196443	0.00109694	5.53514e-05	0.0538667	0.00023414	0.000446288	3.65822e-05	0.000324562	0.00591599	2.06052e-06	0.00012246	4.72668e-05	0.0293744	0.000110639	0.00233616	0.00194327	0.00138649	0.00166324	7.87678e-05	0.00987522	3.36497e-05	4.72892e-05	1.98809e-06
87	0.0117217	0.0197772	0.00111107	5.57814e-05	0.0539154	0.000234883	0.000446254	3.6504e-05	0.00032426	0.00585653	2.07263e-06	0.00012236	4.73223e-05	0.0293785	0.000111818	0.00234967	0.00195326	0.00139362	0.00167288	7.96077e-05	0.00988131	3.36896e-05	4.72728e-05	1.99981e-06
88	0.0117763	0.0199057	0.0011252	5.6198e-05	0.0539648	0.000235538	0.000446229	3.64268e-05	0.00032396	0.00579643	2.08449e-06	0.00012226	4.73646e-05	0.0293825	0.000113003	0.00236295	0.00196308	0.00140062	0.00168236	8.04527e-05	0.00988742	3.37202e-05	4.72569e-05	2.01128e-06
89	0.0118286	0.0200299	0.00113932	5.66012e-05	0.0540148	0.000236105	0.000446214	3.63508e-05	0.000323664	0.00573579	2.09611e-06	0.000122161	4.73941e-05	0.0293866	0.000114195	0.00237602	0.00197274	0.00140752	0.00169169	8.13026e-05	0.00989355	3.37416e-05	4.72414e-05	2.02252e-06
90	0.0118787	0.0201498	0.00115343	5.69913e-05	0.0540653	0.000236586	0.000446208	3.62759e-05	0.000323371	0.00567469	2.10749e-06	0.000122063	4.74111e-05	0.0293908	0.000115394	0.00238887	0.00198224	0.00141429	0.00170086	8.21572e-05	0.0098997	3.37542e-05	4.72264e-05	2.03353e-06
91	0.0119266	0.0202656	0.00116752	5.73682e-05	0.0541163	0.000236983	0.00044621	3.62021e-05	0.000323081	0.00561322	2.11864e-06	0.000121966	4.7416e-05	0.0293949	0.000116599	0.00240151	0.00199158	0.00142096	0.00170988	8.30161e-05	0.00990585	3.37581e-05	4.72118e-05	2.04432e-06
92	0.0119724	0.0203773	0.00118158	5.77321e-05	0.0541675	0.000237297	0.00044622	3.61295e-05	0.000322795	0.00555145	2.12955e-06	0.000121871	4.74092e-05	0.0293991	0.00011781	0.00241395	0.00200076	0.00142751	0.00171875	8.38793e-05	0.00991201	3.37537e-05	4.71978e-05	2.05489e-06
93	0.012016	0.0204848	0.00119562	5.80831e-05	0.0542191	0.000237532	0.000446238	3.60582e-05	0.000322513	0.00548947	2.14025e-06	0.000121776	4.73911e-05	0.0294033	0.000119027	0.00242617	0.00200979	0.00143395	0.00172747	8.47463e-05	0.00991818	3.37412e-05	4.71842e-05	2.06524e-06
94	0.0120576	0.0205883	0.00120962	5.84214e-05	0.0542709	0.000237687	0.000446263	3.5988e-05	0.000322235	0.00542737	2.15074e-06	0.000121683	4.73619e-05	0.0294075	0.000120248	0.0024382	0.00201867	0.00144029	0.00173605	8.56169e-05	0.00992435	3.37208e-05	4.71711e-05	2.07539e-06
95	0.0120972	0.0206878	0.00122358	5.87472e-05	0.0543229	0.000237767	0.000446295	3.59191e-05	0.000321961	0.0053652	2.16101e-06	0.000121591	4.73221e-05	0.0294117	0.000121474	0.00245003	0.00202741	0.00144652	0.00174449	8.64908e-05	0.00993051	3.36928e-05	4.71585e-05	2.08533e-06
96	0.0121347	0.0207834	0.0012375	5.90606e-05	0.0543749	0.000237774	0.000446334	3.58515e-05	0.000321692	0.00530306	2.17108e-06	0.000121501	4.7272e-05	0.0294159	0.000122705	0.00246166	0.00203599	0.00145265	0.00175279	8.73676e-05	0.00993667	3.36575e-05	4.71464e-05	2.09508e-06
97	0.0121704	0.0208751	0.00125136	5.93617e-05	0.0544269	0.000237708	0.000446379	3.57852e-05	0.000321427	0.005241	2.18095e-06	0.000121412	4.72121e-05	0.0294201	0.000123938	0.0024731	0.00204444	0.00145867	0.00176095	8.82471e-05	0.00994281	3.36153e-05	4.71348e-05	2.10464e-06
98	0.0122042	0.020963	0.00126516	5.96509e-05	0.0544788	0.000237574	0.00044643	3.57202e-05	0.000321166	0.0051791	2.19062e-06	0.000121325	4.71428e-05	0.0294242	0.000125176	0.00248435	0.00205274	0.0014646	0.00176898	8.91288e-05	0.00994895	3.35663e-05	4.71238e-05	2.11401e-06
99	0.0122362	0.0210472	0.00127891	5.99282e-05	0.0545307	0.000237373	0.000446487	3.56564e-05	0.00032091	0.00511742	2.20011e-06	0.000121239	4.70645e-05	0.0294284	0.000126415	0.00249541	0.00206091	0.00147042	0.00177687	9.00124e-05	0.00995506	3.35108e-05	4.71133e-05	2.1232e-06
100	0.0122664	0.0211278	0.00129258	6.01939e-05	0.0545823	0.000237109	0.000446548	3.5594e-05	0.000320658	0.00505602	2.20942e-06	0.000121154	4.69775e-05	0.0294326	0.000127657	0.0025063	0.00206893	0.00147615	0.00178464	9.08976e-05	0.00996116	3.34492e-05	4.71034e-05	2.13221e-06
