Time	[ADP]	[ATP]	[MT]	[20S]	[Hsc70]	[Hsp90]	[CHIP]	[Bag2]	[26S]	[TauH3RUb]	[TauH4RUb]	[Nucleus3]	[Nucleus4]	[Agg33]	[Ap]	[Agg43]	[Bp]	[Tau03R]	[TauN3R]	[TauH3R]	[Tau0*3R]	[Tau03RMT]	[TauN*3R]	[TauN3RMT]	[TauH*3R]	[TauH3RMT]	[TauH3R-Hsc70]	[TauH3R-Hsp90]	[Tau03R-Hsp90]	[TauH3R-CHIP-Hsc70]	[TauH3R-CHIP-Hsc70-Bag2]	[Tau04R]	[TauN4R]	[TauH4R]	[Tau0*4R]	[Tau04RMT]	[TauN*4R]	[TauN4RMT]	[TauH*4R]	[TauH4RMT]	[TauH4R-Hsc70]	[TauH4R-Hsp90]	[Tau04R-Hsp90]	[TauH4R-CHIP-Hsc70]	[TauH4R-CHIP-Hsc70-Bag2]
0	1	0	15	1	0.1	0.1	0.1	0.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.51258	0.48742	14.948	1	0.1	0.1	0.1	0.1	1	1.26464e-16	1.66755e-15	5.70151e-39	1.00311e-36	3.19124e-57	1.32326e-75	7.5057e-54	4.16228e-71	0.00575464	1.18685e-05	7.01604e-09	0.000287252	0.0290481	5.20305e-07	0.00189029	1.67256e-09	6.72629e-08	1.47393e-12	3.9206e-15	6.36583e-17	2.8525e-14	5.07736e-16	0.00385281	8.30845e-05	7.98739e-07	0.000179424	0.0203863	2.23494e-07	0.00064853	1.83118e-08	1.02387e-06	3.14788e-12	1.65199e-14	5.32808e-16	1.91487e-14	1.55525e-20
2	0.277499	0.722501	14.8867	1	0.1	0.1	0.1	0.1	1	9.62722e-15	9.91262e-14	7.0041e-35	8.06522e-33	6.32276e-51	4.22743e-67	8.1415e-48	6.09088e-63	0.00579142	2.92821e-05	6.52296e-08	0.000318154	0.0563085	3.01132e-06	0.0111706	2.92128e-08	1.19064e-06	2.72145e-11	1.4798e-13	5.04292e-15	1.06973e-12	3.97421e-14	0.00382449	0.00017777	3.70616e-06	0.000186168	0.0417389	7.16371e-07	0.00406116	1.66061e-07	1.4839e-05	3.71394e-11	4.4816e-13	3.33099e-14	4.88536e-13	8.38611e-19
3	0.167311	0.832689	14.8257	1	0.1	0.1	0.1	0.1	1	1.12402e-13	7.94712e-13	1.45112e-32	8.53779e-31	2.3293e-47	2.79436e-62	1.1381e-44	1.1295e-58	0.00582654	4.86155e-05	2.40619e-07	0.000342367	0.0769901	7.23085e-06	0.0268608	1.20329e-07	4.88623e-06	1.48595e-10	1.19668e-12	6.14825e-14	8.59856e-12	4.78976e-13	0.00381629	0.000230685	6.64712e-06	0.00019285	0.0601611	1.37551e-06	0.0102604	5.39407e-07	5.6601e-05	1.16492e-10	2.28083e-12	2.81308e-13	2.33166e-12	6.05787e-18
4	0.117256	0.882744	14.7648	1	0.1	0.1	0.1	0.1	1	6.25236e-13	3.0114e-12	6.0771e-31	1.75411e-29	7.30268e-45	6.56781e-59	1.26721e-42	6.79247e-56	0.00586284	7.02878e-05	5.66837e-07	0.000362544	0.0935784	1.25591e-05	0.0465567	2.87033e-07	1.15972e-05	4.7582e-10	5.14341e-12	3.56972e-13	3.67318e-11	2.74913e-12	0.00381964	0.00025837	9.21506e-06	0.000199353	0.0764183	2.17351e-06	0.0185373	1.20174e-06	0.000134497	2.33562e-10	6.32811e-12	1.12173e-12	6.07523e-12	2.06383e-17
5	0.0956596	0.90434	14.7039	1	0.1	0.1	0.1	0.1	1	2.2839e-12	7.82585e-12	1.03864e-29	1.5616e-28	5.81317e-43	2.4199e-56	3.87482e-41	7.1154e-54	0.00589879	9.38512e-05	1.03158e-06	0.000380359	0.107782	1.85623e-05	0.0685928	5.19713e-07	2.08946e-05	1.114e-09	1.53235e-11	1.36051e-12	1.08738e-10	1.03536e-11	0.00382803	0.000273953	1.18243e-05	0.000205596	0.0911281	3.08578e-06	0.0282971	2.19831e-06	0.000253006	3.83279e-10	1.30634e-11	3.05952e-12	1.1829e-11	4.8289e-17
6	0.0873172	0.912683	14.6431	1	0.1	0.1	0.1	0.1	1	6.34373e-12	1.6334e-11	9.91047e-29	8.48516e-28	1.90119e-41	2.71242e-54	5.50644e-40	2.64625e-52	0.0059341	0.000118785	1.60335e-06	0.000396833	0.12061	2.49816e-05	0.0919813	8.01934e-07	3.2088e-05	2.13524e-09	3.59785e-11	3.94223e-12	2.53625e-10	2.96321e-11	0.0038385	0.000284122	1.48461e-05	0.000211584	0.104701	4.0914e-06	0.0391381	3.56186e-06	0.000415056	5.67416e-10	2.28354e-11	6.67796e-12	1.96236e-11	9.1133e-17
7	0.0850233	0.914977	14.5823	1	0.1	0.1	0.1	0.1	1	1.45537e-11	2.96669e-11	6.28725e-28	3.35322e-27	3.32697e-40	1.30617e-52	4.76118e-39	5.01058e-51	0.00596888	0.000144693	2.25063e-06	0.000412568	0.132643	3.16668e-05	0.116151	1.11852e-06	4.455e-05	3.5754e-09	7.16637e-11	9.43493e-12	5.01761e-10	7.0017e-11	0.00384969	0.000291997	1.85059e-05	0.000217344	0.117403	5.17444e-06	0.0507992	5.31765e-06	0.000622826	7.92241e-10	3.60391e-11	1.2632e-11	2.95952e-11	1.50619e-16
8	0.0854008	0.914599	14.5216	1	0.1	0.1	0.1	0.1	1	2.90362e-11	4.90646e-11	2.95664e-27	1.06543e-26	3.67835e-39	3.38921e-51	2.9244e-38	5.95608e-50	0.00600334	0.000171302	2.94864e-06	0.000427928	0.144223	3.85291e-05	0.140764	1.45796e-06	5.78085e-05	5.44206e-09	1.26764e-10	1.96372e-11	8.81446e-10	1.43825e-10	0.00386102	0.000299	2.29339e-05	0.000222907	0.129405	6.3232e-06	0.0631081	7.48667e-06	0.000878081	1.06634e-09	5.31908e-11	2.16666e-11	4.20265e-11	2.28402e-16
9	0.0868879	0.913112	14.4608	1	0.1	0.1	0.1	0.1	1	5.21239e-11	7.59516e-11	1.10771e-26	2.8953e-26	2.86981e-38	5.50884e-50	1.40439e-37	5.06425e-49	0.0060377	0.000198422	3.67986e-06	0.000443141	0.155561	4.55137e-05	0.165612	1.81225e-06	7.15375e-05	7.72429e-09	2.05189e-10	3.67749e-11	1.41688e-09	2.65751e-10	0.00387222	0.000305771	2.82093e-05	0.000228301	0.140827	7.52906e-06	0.0759459	1.00873e-05	0.00118231	1.39934e-09	7.49472e-11	3.46437e-11	5.73265e-11	3.26817e-16
