Time	[E]	[E_P_1]	[P]	[M]	[M1]	[E_M1]	[E_M]	[T]	[E_P_2]	[P2]	[P21]	[E_P21]	[E_P2]	[E_P1]
28	7.79794e-05	5.3179e-05	0.86021	0.113017	5.21799e-08	4.0621e-12	6.3546e-06	0.0204523	6.3949e-06	0.00625434	6.51745e-11	3.13033e-21	5.37676e-08	0
29	7.7951e-05	5.28768e-05	0.855634	0.116035	5.55932e-08	4.32652e-12	6.52194e-06	0.0218063	6.35857e-06	0.00645798	6.97701e-11	3.46613e-21	5.54995e-08	0
30	7.7924e-05	5.25774e-05	0.851085	0.118994	5.90895e-08	4.5973e-12	6.68594e-06	0.0231951	6.32256e-06	0.00666038	7.45125e-11	3.82432e-21	5.72206e-08	0
31	7.78983e-05	5.22808e-05	0.846561	0.121893	6.26668e-08	4.87429e-12	6.84664e-06	0.0246181	6.28689e-06	0.00686154	7.94007e-11	4.20553e-21	5.89309e-08	0
32	7.78741e-05	5.19868e-05	0.842063	0.124735	6.6323e-08	5.15734e-12	7.00412e-06	0.0260745	6.25153e-06	0.00706149	8.4434e-11	4.61038e-21	6.06307e-08	0
33	7.78511e-05	5.16954e-05	0.83759	0.12752	7.00561e-08	5.44629e-12	7.15843e-06	0.0275638	6.21649e-06	0.00726023	8.96113e-11	5.03947e-21	6.232e-08	0
34	7.78295e-05	5.14066e-05	0.833143	0.13025	7.38641e-08	5.74099e-12	7.30963e-06	0.0290851	6.18176e-06	0.00745777	9.4932e-11	5.4934e-21	6.39992e-08	0
35	7.78092e-05	5.11203e-05	0.828719	0.132924	7.7745e-08	6.04132e-12	7.45778e-06	0.030638	6.14733e-06	0.00765412	1.00395e-10	5.97278e-21	6.56683e-08	0
36	7.77901e-05	5.08365e-05	0.824321	0.135543	8.16969e-08	6.34711e-12	7.60293e-06	0.0322217	6.1132e-06	0.00784929	1.06e-10	6.47818e-21	6.73274e-08	0
37	7.77723e-05	5.05552e-05	0.819947	0.13811	8.5718e-08	6.65825e-12	7.74514e-06	0.0338356	6.07937e-06	0.00804329	1.11745e-10	7.01018e-21	6.89769e-08	0
38	7.77557e-05	5.02763e-05	0.815597	0.140623	8.98064e-08	6.97459e-12	7.88445e-06	0.0354791	6.04583e-06	0.00823614	1.1763e-10	7.56936e-21	7.06168e-08	0
