Time	[Notch protein]	[cytosolic NicD]	[nuclear NicD]	[Lunatic fringe mRNA]	[Lunatic Fringe protein]	[phosph. beta-catenin]	[nuclear beta-catenin]	[Axin2 protein]	[Gsk3]	[beta-catenin]	[Axin2 mRNA]	[active Ras]	[active ERK]	[active TF X]	[Dusp6 mRNA]	[Dusp6 protein]	[inactive Ras]	[inactive ERK]	[inactive TF X]	[Ras total]	[ERK total]	[X total]	[Dsh protein]	[Axin2/Gsk3 destruction complex]	[Kt]	[Fgf]
20	0.0425545	0.901923	0.00683819	0.0106269	0.00182056	0.013972	0.607985	0.0937038	1.50085	1.29875	9.57979	1.98878	1.98441	1.97784	2.57444	0.597439	0.0112187	0.0155894	0.0221628	2	2	2	2	1.49915	3	1
21	0.0425547	0.915916	0.00755608	0.0134278	0.00225925	0.0158819	0.600541	0.111199	1.3453	1.27673	10.326	1.98878	1.98223	1.9778	2.70213	0.659229	0.0112187	0.0177658	0.0221969	2	2	2	2	1.6547	3	1
22	0.0425549	0.929519	0.00835488	0.0170265	0.00282794	0.0178274	0.586619	0.131988	1.19067	1.24066	11.0472	1.98878	1.97973	1.97776	2.82888	0.725789	0.0112187	0.0202735	0.0222362	2	2	2	2	1.80933	3	1
23	0.0425553	0.942743	0.0092422	0.021642	0.00356261	0.0197243	0.566178	0.156574	1.04081	1.19073	11.7303	1.98878	1.97681	1.97772	2.95477	0.797505	0.0112187	0.0231856	0.022282	2	2	2	2	1.95919	3	1
24	0.042556	0.955604	0.0102256	0.0275362	0.00450876	0.0214681	0.539486	0.185361	0.899779	1.12781	12.3617	1.98878	1.9734	1.97766	3.07987	0.874783	0.0112187	0.026597	0.0223357	2	2	2	2	2.10022	3	1
25	0.042557	0.968115	0.0113122	0.0350119	0.00572253	0.0229446	0.507171	0.218495	0.771455	1.05363	12.928	1.98878	1.96937	1.9776	3.20425	0.958042	0.0112187	0.0306333	0.0223995	2	2	2	2	2.22855	3	1
26	0.0425587	0.980288	0.0125091	0.0444054	0.00727127	0.0240464	0.470243	0.255666	0.659	0.9707	13.4164	1.98878	1.96454	1.97752	3.32794	1.04771	0.0112187	0.0354627	0.0224761	2	2	2	2	2.341	3	1
27	0.0425615	0.992136	0.0138224	0.0560769	0.00923364	0.0246936	0.430045	0.295929	0.564322	0.882173	13.8169	1.98878	1.95868	1.97743	3.451	1.14424	0.0112187	0.0413167	0.0225693	2	2	2	2	2.43568	3	1
28	0.0425659	1.00367	0.0152576	0.0704029	0.0116994	0.0248508	0.38815	0.337665	0.487739	0.791564	14.1227	1.98878	1.95148	1.97732	3.57347	1.24807	0.0112187	0.0485193	0.0226846	2	2	2	2	2.51226	3	1
29	0.0425728	1.0149	0.0168192	0.0877762	0.0147694	0.0245332	0.346197	0.378781	0.428038	0.702373	14.3321	1.98878	1.94246	1.97717	3.69538	1.35967	0.0112187	0.0575361	0.0228299	2	2	2	2	2.57196	3	1
30	0.0425837	1.02584	0.0185108	0.108611	0.0185569	0.0238016	0.305729	0.417097	0.382939	0.617739	14.4484	1.98878	1.93095	1.97698	3.81677	1.47948	0.0112187	0.0690517	0.0230172	2	2	2	2	2.61706	3	1
31	0.0426004	1.0365	0.020335	0.133348	0.023189	0.022749	0.268051	0.450773	0.349744	0.540178	14.4799	1.98878	1.9159	1.97674	3.93768	1.60796	0.0112187	0.0840973	0.023265	2	2	2	2	2.65026	3	1
32	0.0426259	1.04687	0.0222932	0.162461	0.0288105	0.0214866	0.234135	0.478581	0.325876	0.471429	14.4379	1.98878	1.89575	1.9764	4.05811	1.74557	0.0112187	0.104254	0.0236029	2	2	2	2	2.67412	3	1
33	0.0426641	1.05697	0.0243857	0.196444	0.0355865	0.0201286	0.204576	0.499962	0.30917	0.412396	14.3356	1.98878	1.86803	1.97592	4.17811	1.89273	0.0112187	0.131974	0.0240795	2	2	2	2	2.69083	3	1
34	0.0427207	1.06679	0.0266116	0.235798	0.0437063	0.0187796	0.17959	0.51493	0.297947	0.363203	14.186	1.98878	1.82899	1.97522	4.29769	2.0499	0.0112187	0.171015	0.0247774	2	2	2	2	2.70205	3	1
35	0.0428036	1.07633	0.0289687	0.281014	0.0533858	0.0175226	0.159063	0.523904	0.290953	0.323323	14.0006	1.98878	1.77306	1.97416	4.41686	2.21748	0.0112187	0.226936	0.0258385	2	2	2	2	2.70905	3	1
36	0.0429236	1.08556	0.0314537	0.332547	0.0648701	0.0164114	0.142631	0.527546	0.28727	0.29178	13.789	1.98878	1.69261	1.97249	4.53565	2.39588	0.0112187	0.307394	0.0275121	2	2	2	2	2.71273	3	1
37	0.0430952	1.09446	0.0340617	0.390797	0.078436	0.015471	0.129775	0.526628	0.286221	0.267365	13.5587	1.98878	1.57816	1.96975	4.65405	2.58549	0.0112187	0.42184	0.0302514	2	2	2	2	2.71378	3	1
38	0.0433381	1.10299	0.0367861	0.45608	0.0943936	0.0147025	0.119918	0.521942	0.287307	0.248824	13.3152	1.98878	1.41959	1.96507	4.77206	2.78667	0.0112187	0.580406	0.0349344	2	2	2	2	2.71269	3	1
