Time	[MPFc]	[preMPFc]	[StgPc]	[Wee1c]	[Wee1Pc]	[Stgm]	[Xp]	[Stgc]	[Xm]	[MPFn]	[preMPFn]	[Wee1Pn]	[Wee1n]	[StgPn]	[Stgn]	[FZYa]	[IEa_1]	[N]
42	0.985457	0.0137824	0.780109	0.019757	0.78071	0.917771	0.00117925	0.0200366	0.0871739	0.198487	0.00907932	0.22725	0.111672	0.469138	0.132026	0.857076	0.56615	14.459
43	0.985314	0.0137816	0.780052	0.019761	0.780677	0.91565	0.00127004	0.0200408	0.0944034	0.116142	0.0109749	0.142329	0.225079	0.373497	0.279137	0.987145	0.322464	14.459
44	0.985172	0.0137824	0.779997	0.019765	0.780645	0.913512	0.00136806	0.0200451	0.101633	0.0952294	0.0139906	0.0685131	0.327097	0.26081	0.44227	0.917858	0.0496332	14.459
45	0.98503	0.0137834	0.779943	0.0197689	0.780613	0.911357	0.00147331	0.0200493	0.108862	0.0990455	0.0199721	0.0411812	0.382349	0.164605	0.587919	0.728186	0.0032282	14.459
46	0.98489	0.0137844	0.77989	0.0197728	0.780581	0.909183	0.00158579	0.0200534	0.116092	0.114388	0.0300718	0.0413938	0.409777	0.105994	0.694991	0.534762	0.00390489	14.459
47	0.984751	0.0137854	0.779837	0.0197766	0.780549	0.906988	0.00170549	0.0200574	0.123321	0.139535	0.0463721	0.0508546	0.427681	0.0885638	0.759918	0.343681	0.00517564	14.459
48	0.984614	0.0137864	0.779786	0.0197803	0.780518	0.904773	0.00183243	0.0200613	0.130551	0.180611	0.0730907	0.0699257	0.435701	0.102634	0.792401	0.157943	0.00777341	14.459
49	0.984478	0.0137873	0.779736	0.019784	0.780487	0.902534	0.00196659	0.0200651	0.13778	0.252771	0.11594	0.110222	0.422226	0.150436	0.790227	0.00552602	0.0147404	14.459
50	0.984343	0.0137882	0.779687	0.0197877	0.780457	0.900272	0.00210799	0.0200687	0.14501	0.357745	0.155234	0.194785	0.364216	0.254926	0.730457	0.00207037	0.0371804	14.459
51	0.98421	0.0137891	0.77964	0.0197912	0.780426	0.897985	0.00225661	0.0200722	0.152239	0.504452	0.148279	0.3464	0.238888	0.446026	0.583188	0.0092961	0.114548	14.459
52	0.984078	0.0137899	0.779593	0.0197946	0.780397	0.895672	0.00241247	0.0200753	0.159469	0.685371	0.0766489	0.544072	0.0672414	0.755959	0.316215	0.0721676	0.323531	14.459
53	0.983947	0.0137907	0.779547	0.0197981	0.780367	0.893332	0.00257555	0.0200784	0.166698	0.674145	0.0181654	0.604684	0.0323941	1.04709	0.0671935	0.356018	0.628566	14.459
54	0.984669	0.0137835	0.780253	0.0197794	0.78111	0.890963	0.00274748	0.0200591	0.178642	0.221264	0.00844705	0.255094	0.0953789	0.502007	0.111865	0.802127	0.60562	28.1951
55	0.984392	0.0137807	0.780143	0.0197871	0.781046	0.888565	0.00293317	0.0200672	0.192739	0.123909	0.0105979	0.170429	0.208432	0.411683	0.253418	0.989848	0.375807	28.1951
56	0.984115	0.013782	0.780036	0.0197949	0.780982	0.886133	0.00313296	0.0200756	0.206837	0.0962361	0.0133659	0.0854882	0.321475	0.296804	0.418505	0.943876	0.0993002	28.1951
57	0.983839	0.0137839	0.77993	0.0198026	0.78092	0.883667	0.00334685	0.0200838	0.220934	0.0965872	0.0188579	0.044899	0.389886	0.192281	0.572232	0.765933	0.00312711	28.1951
58	0.983566	0.0137859	0.779827	0.0198101	0.780858	0.881164	0.00357483	0.0200919	0.235032	0.109921	0.0283061	0.0406004	0.421726	0.121168	0.691569	0.572174	0.00369999	28.1951
59	0.983297	0.0137879	0.779726	0.0198175	0.780796	0.878621	0.00381691	0.0200997	0.249129	0.132478	0.0435266	0.0482448	0.441348	0.0922539	0.767744	0.380458	0.0047976	28.1951
60	0.983029	0.0137898	0.779626	0.0198249	0.780736	0.876037	0.00407309	0.0201074	0.263227	0.168916	0.0683944	0.0645714	0.452013	0.0981914	0.808124	0.193112	0.00695653	28.1951
61	0.982765	0.0137916	0.779529	0.0198321	0.780675	0.873409	0.00434336	0.0201148	0.277324	0.232226	0.109091	0.098403	0.444903	0.136187	0.815521	0.0242392	0.0123379	28.1951
62	0.982503	0.0137934	0.779434	0.0198392	0.780616	0.870735	0.00462774	0.0201219	0.291422	0.329715	0.1548	0.171044	0.398717	0.224985	0.771211	0.00157159	0.0291697	28.1951
63	0.982244	0.0137952	0.779341	0.0198461	0.780557	0.868014	0.00492621	0.0201287	0.305519	0.463577	0.16208	0.305664	0.290284	0.39166	0.648135	0.00608081	0.0865762	28.1951
64	0.981988	0.0137968	0.77925	0.0198528	0.780499	0.865242	0.00523878	0.020135	0.319617	0.645777	0.102812	0.510544	0.11133	0.674528	0.407997	0.0436801	0.258136	28.1951
65	0.981735	0.0137983	0.779161	0.0198596	0.780442	0.862418	0.00556544	0.0201409	0.333714	0.715045	0.0265105	0.616006	0.0315339	1.01312	0.111279	0.261642	0.561655	28.1951
66	0.983207	0.0137897	0.78057	0.0198219	0.781909	0.859541	0.00590755	0.0201017	0.353822	0.254154	0.00743492	0.279832	0.0722786	0.526914	0.084717	0.707541	0.647425	54.9804
