Time	[ERKc]	[pERKc]	[ppERKc]	[ERK_ppMEKc]	[pERK_ppMEKc]	[DUSPc]	[pERK_DUSPc]	[ppERK_DUSPc]	[ERKn]	[pERKn]	[ppERKn]	[pERK_DUSPn]	[ppERK_DUSPn]	[STYXn]	[ERK_STYXn]	[pERK_STYXn]	[ppERK_STYXn]	[duspn]	[DUSPn]	[u_ppMEKc_tot]	[ppMEKc_tot]	[ERKc_obs]	[pERKc_obs]	[ppERKc_obs]	[ERK_ppMEKc_obs]
22	24.6665	34.0008	122.463	5.5146	7.6135	30.8653	6.54121	62.5935	292.824	44.75	24.1938	7.88063	8.75565	426.773	2082.24	318.7	172.29	4.12558	35.7827	1	100	24.6665	34.0008	122.463	5.5146
23	25.0415	34.1139	122.323	5.59229	7.63008	30.8807	6.56626	62.5531	296.716	41.611	22.5786	7.82312	8.72338	427.648	2114.34	296.911	161.1	4.15701	38.2018	1	100	25.0415	34.1139	122.323	5.59229
24	25.355	34.208	122.204	5.65713	7.64381	30.8939	6.58722	62.5189	299.99	38.9945	21.2021	7.78655	8.70038	428.38	2141.41	278.687	151.524	4.18593	40.5749	1	100	25.355	34.208	122.204	5.65713
25	25.6219	34.2876	122.099	5.71223	7.65536	30.9058	6.60509	62.4891	302.795	36.7735	20.0104	7.76546	8.68373	429	2164.62	263.171	143.204	4.21258	42.9094	1	100	25.6219	34.2876	122.099	5.71223
26	25.8531	34.356	122.004	5.75991	7.66525	30.9167	6.62062	62.4627	305.24	34.854	18.9647	7.75492	8.67141	429.533	2184.86	249.726	135.881	4.23717	45.2112	1	100	25.8531	34.356	122.004	5.75991
27	26.0564	34.4158	121.918	5.80177	7.67386	30.9268	6.6343	62.4389	307.4	33.1695	18.0373	7.75119	8.66204	429.997	2202.73	237.899	129.369	4.25989	47.4846	1	100	26.0564	34.4158	121.918	5.80177
28	26.2372	34.4686	121.84	5.83898	7.68144	30.9361	6.6465	62.4174	309.328	31.6728	17.2077	7.75173	8.65476	430.406	2218.69	227.369	123.531	4.2809	49.7321	1	100	26.2372	34.4686	121.84	5.83898
29	26.3996	34.5158	121.767	5.87235	7.68818	30.9447	6.65747	62.3978	311.064	30.3302	16.4605	7.75494	8.649	430.771	2233.06	217.906	118.262	4.30034	51.9551	1	100	26.3996	34.5158	121.767	5.87235
30	26.5464	34.5583	121.701	5.9025	7.69423	30.9527	6.66739	62.3799	312.636	29.1168	15.7837	7.75983	8.64441	431.099	2246.08	209.34	113.481	4.31833	54.1544	1	100	26.5464	34.5583	121.701	5.9025
31	26.6798	34.5967	121.64	5.92989	7.69969	30.9601	6.67641	62.3634	314.068	28.0137	15.1676	7.76578	8.64072	431.396	2257.94	201.541	109.123	4.33499	56.3301	1	100	26.6798	34.5967	121.64	5.92989
32	26.8018	34.6316	121.583	5.9549	7.70464	30.967	6.68464	62.3483	315.379	27.0058	14.6044	7.77241	8.63775	431.666	2268.8	194.405	105.134	4.35043	58.4823	1	100	26.8018	34.6316	121.583	5.9549
33	26.9136	34.6635	121.531	5.97783	7.70915	30.9734	6.69219	62.3344	316.582	26.0809	14.0876	7.77945	8.63537	431.913	2278.77	187.85	101.469	4.36474	60.611	1	100	26.9136	34.6635	121.531	5.97783
34	27.0166	34.6928	121.483	5.99893	7.71327	30.9794	6.69913	62.3215	317.691	25.2291	13.6117	7.78673	8.63345	432.14	2287.96	181.805	98.0904	4.37801	62.716	1	100	27.0166	34.6928	121.483	5.99893
35	27.1118	34.7197	121.437	6.01841	7.71706	30.985	6.70554	62.3095	318.716	24.442	13.1722	7.79411	8.63192	432.349	2296.47	176.214	94.9666	4.39031	64.7972	1	100	27.1118	34.7197	121.437	6.01841
36	27.1999	34.7446	121.395	6.03645	7.72054	30.9902	6.71147	62.2984	319.667	23.7123	12.7651	7.80152	8.63071	432.542	2304.36	171.026	92.0704	4.40172	66.8545	1	100	27.1999	34.7446	121.395	6.03645
37	27.2818	34.7676	121.356	6.05321	7.72375	30.995	6.71696	62.288	320.551	23.0342	12.387	7.80889	8.62977	432.721	2311.7	166.201	89.3782	4.4123	68.8878	1	100	27.2818	34.7676	121.356	6.05321
38	27.3581	34.7889	121.319	6.06881	7.72673	30.9996	6.72208	62.2783	321.375	22.4023	12.0349	7.81617	8.62903	432.887	2318.54	161.7	86.8697	4.42213	70.897	1	100	27.3581	34.7889	121.319	6.06881
39	27.4294	34.8087	121.285	6.08337	7.7295	31.0039	6.72685	62.2693	322.145	21.8121	11.7064	7.82333	8.62849	433.043	2324.94	157.494	84.5272	4.43124	72.882	1	100	27.4294	34.8087	121.285	6.08337
40	27.496	34.8272	121.253	6.09698	7.73207	31.0079	6.73131	62.2608	322.865	21.2597	11.3992	7.83034	8.62809	433.188	2330.92	153.554	82.3351	4.4397	74.8427	1	100	27.496	34.8272	121.253	6.09698
41	27.5584	34.8445	121.222	6.10974	7.73447	31.0118	6.73548	62.2528	323.541	20.7416	11.1113	7.83719	8.62782	433.323	2336.54	149.857	80.2799	4.44755	76.7792	1	100	27.5584	34.8445	121.222	6.10974
42	27.6171	34.8607	121.193	6.12172	7.73671	31.0154	6.73939	62.2453	324.176	20.2548	10.8411	7.84386	8.62766	433.451	2341.82	146.381	78.3494	4.45484	78.6914	1	100	27.6171	34.8607	121.193	6.12172
43	27.6723	34.8759	121.166	6.13299	7.73881	31.0188	6.74307	62.2382	324.774	19.7966	10.587	7.85035	8.62758	433.57	2346.79	143.107	76.5331	4.4616	80.5793	1	100	27.6723	34.8759	121.166	6.13299
44	27.7243	34.8902	121.141	6.14361	7.74078	31.022	6.74653	62.2315	325.338	19.3646	10.3477	7.85666	8.62758	433.683	2351.48	140.018	74.8213	4.46788	82.4431	1	100	27.7243	34.8902	121.141	6.14361
45	27.7734	34.9036	121.117	6.15363	7.74264	31.025	6.7498	62.2252	325.87	18.9567	10.1219	7.86279	8.62765	433.789	2355.9	137.101	73.2057	4.47371	84.2826	1	100	27.7734	34.9036	121.117	6.15363
46	27.8198	34.9163	121.094	6.16309	7.74438	31.0279	6.75288	62.2192	326.373	18.571	9.90862	7.86873	8.62777	433.889	2360.09	134.341	71.6788	4.47913	86.0981	1	100	27.8198	34.9163	121.094	6.16309
47	27.8637	34.9283	121.072	6.17205	7.74602	31.0307	6.7558	62.2135	326.85	18.2058	9.70683	7.87449	8.62793	433.983	2364.06	131.726	70.2335	4.48415	87.8896	1	100	27.8637	34.9283	121.072	6.17205
48	27.9053	34.9396	121.051	6.18054	7.74758	31.0333	6.75856	62.2081	327.301	17.8595	9.51568	7.88007	8.62813	434.073	2367.82	129.246	68.8639	4.48882	89.6573	1	100	27.9053	34.9396	121.051	6.18054
49	27.9448	34.9503	121.031	6.1886	7.74904	31.0358	6.76117	62.203	327.73	17.5308	9.33437	7.88548	8.62836	434.158	2371.39	126.89	67.5643	4.49315	91.4012	1	100	27.9448	34.9503	121.031	6.1886
50	27.9824	34.9605	121.013	6.19625	7.75043	31.0382	6.76366	62.1982	328.138	17.2183	9.1622	7.89071	8.62861	434.239	2374.78	124.651	66.3298	4.49717	93.1215	1	100	27.9824	34.9605	121.013	6.19625
51	28.0181	34.9701	120.995	6.20352	7.75175	31.0405	6.76602	62.1935	328.526	16.9211	8.99853	7.89578	8.62889	434.315	2378.01	122.519	65.1557	4.50091	94.8183	1	100	28.0181	34.9701	120.995	6.20352
52	28.052	34.9792	120.978	6.21045	7.753	31.0426	6.76826	62.1891	328.895	16.6379	8.84276	7.9007	8.62919	434.388	2381.09	120.489	64.038	4.50438	96.4918	1	100	28.052	34.9792	120.978	6.21045
53	28.0844	34.988	120.962	6.21705	7.75418	31.0447	6.7704	62.1849	329.247	16.368	8.69437	7.90545	8.6295	434.458	2384.02	118.552	62.9729	4.50759	98.1423	1	100	28.0844	34.988	120.962	6.21705
54	28.1153	34.9962	120.946	6.22334	7.75531	31.0467	6.77244	62.1809	329.583	16.1104	8.55286	7.91006	8.62982	434.524	2386.82	116.702	61.9569	4.51058	99.7698	1	100	28.1153	34.9962	120.946	6.22334
55	28.1448	35.0042	120.931	6.22936	7.75639	31.0486	6.77438	62.177	329.904	15.8643	8.41779	7.91452	8.63014	434.587	2389.49	114.936	60.9868	4.51335	101.375	1	100	28.1448	35.0042	120.931	6.22936
56	28.173	35.0117	120.917	6.2351	7.75741	31.0504	6.77624	62.1734	330.211	15.629	8.28874	7.91884	8.63048	434.647	2392.05	113.246	60.0598	4.51593	102.957	1	100	28.173	35.0117	120.917	6.2351
57	28.2	35.0189	120.903	6.24059	7.75839	31.0521	6.77801	62.1698	330.505	15.4039	8.16536	7.92303	8.63082	434.705	2394.49	111.629	59.1731	4.51832	104.517	1	100	28.2	35.0189	120.903	6.24059
58	28.2258	35.0258	120.89	6.24585	7.75932	31.0538	6.77971	62.1665	330.786	15.1883	8.04728	7.92708	8.63116	434.76	2396.84	110.08	58.3244	4.52053	106.054	1	100	28.2258	35.0258	120.89	6.24585
59	28.2506	35.0324	120.878	6.25089	7.76022	31.0554	6.78133	62.1632	331.055	14.9817	7.93419	7.93101	8.63151	434.813	2399.08	108.595	57.5114	4.52259	107.57	1	100	28.2506	35.0324	120.878	6.25089
60	28.2743	35.0387	120.866	6.25572	7.76107	31.057	6.78289	62.1602	331.313	14.7835	7.82581	7.93482	8.63185	434.864	2401.23	107.17	56.732	4.5245	109.065	1	100	28.2743	35.0387	120.866	6.25572
61	28.2971	35.0447	120.854	6.26035	7.76189	31.0584	6.78439	62.1572	331.561	14.5934	7.72185	7.93852	8.6322	434.912	2403.3	105.803	55.9843	4.52627	110.537	1	100	28.2971	35.0447	120.854	6.26035
