Time	[x]	[y]	[z]	[h1]	[h2]	[h3]
0	90	180	13000	70	70	70
1	91.805	181.11	13080.2	71.6718	70.0677	70.0019
2	93.6753	182.316	13157.9	73.3569	70.2642	70.0142
3	95.5934	183.618	13233	75.059	70.5803	70.0462
4	97.5441	185.016	13305.2	76.7797	71.008	70.1056
5	99.5131	186.509	13374.4	78.5197	71.5399	70.1986
6	101.487	188.095	13440.3	80.2783	72.1691	70.3307
7	103.454	189.772	13502.7	82.0538	72.8894	70.5063
8	105.399	191.536	13561.3	83.8439	73.6946	70.729
9	107.312	193.383	13615.8	85.6452	74.579	71.0014
10	109.179	195.307	13666	87.4536	75.5371	71.3258
11	110.987	197.302	13711.7	89.2644	76.5633	71.7037
12	112.723	199.363	13752.4	91.0721	77.6521	72.136
13	114.374	201.482	13788.1	92.8708	78.7981	72.6231
14	115.928	203.65	13818.4	94.6538	79.9957	73.1651
15	117.37	205.86	13843.1	96.414	81.2392	73.7613
16	118.689	208.102	13861.9	98.1438	82.5229	74.411
17	119.872	210.365	13874.7	99.8354	83.8407	75.1128
18	120.908	212.641	13881.3	101.48	85.1866	75.865
19	121.786	214.917	13881.5	103.07	86.5542	76.6657
20	122.497	217.183	13875.2	104.597	87.9371	77.5123
21	123.032	219.426	13862.4	106.051	89.3286	78.4022
22	123.384	221.636	13843	107.424	90.7219	79.3323
23	123.55	223.801	13817	108.708	92.11	80.2993
24	123.525	225.908	13784.6	109.895	93.4859	81.2995
25	123.309	227.947	13745.8	110.977	94.8425	82.329
26	122.902	229.906	13700.9	111.948	96.1727	83.3836
27	122.31	231.774	13650.1	112.801	97.4694	84.459
28	121.537	233.541	13593.8	113.531	98.7257	85.5505
29	120.591	235.198	13532.2	114.134	99.9348	86.6533
30	119.481	236.736	13465.8	114.606	101.09	87.7624
31	118.22	238.149	13395	114.946	102.186	88.8729
32	116.821	239.429	13320.2	115.152	103.215	89.9795
33	115.296	240.572	13242	115.224	104.173	91.0771
34	113.662	241.573	13160.9	115.165	105.055	92.1605
35	111.934	242.429	13077.2	114.975	105.857	93.2245
36	110.126	243.138	12991.6	114.659	106.574	94.2642
37	108.255	243.7	12904.4	114.221	107.203	95.2745
38	106.335	244.115	12816.1	113.667	107.743	96.2508
39	104.381	244.385	12727.2	113.001	108.19	97.1883
40	102.405	244.511	12638	112.232	108.544	98.083
41	100.421	244.496	12548.9	111.366	108.805	98.9306
42	98.4385	244.346	12460.3	110.41	108.971	99.7274
43	96.4691	244.063	12372.4	109.373	109.045	100.47
44	94.5214	243.653	12285.6	108.262	109.026	101.156
45	92.6032	243.122	12200.2	107.086	108.918	101.781
46	90.7214	242.474	12116.3	105.851	108.722	102.344
47	88.8817	241.717	12034.1	104.567	108.441	102.843
48	87.0889	240.856	11954	103.24	108.077	103.277
49	85.3469	239.898	11875.9	101.877	107.636	103.643
50	83.6587	238.849	11800.1	100.487	107.119	103.942
51	82.0268	237.716	11726.7	99.0749	106.532	104.173
52	80.4528	236.504	11655.8	97.6476	105.878	104.335
53	78.9379	235.221	11587.5	96.211	105.161	104.43
54	77.4828	233.872	11521.8	94.7705	104.387	104.457
55	76.0879	232.464	11459	93.3313	103.56	104.419
56	74.753	231.001	11398.9	91.8981	102.684	104.315
57	73.4779	229.491	11341.7	90.4752	101.764	104.147
58	72.2621	227.938	11287.5	89.0665	100.804	103.918
