Time	[SerE]	[Ser]	[PS]	[Etn]	[PEtn]	[PCho]	[PE]	[PC]	[ChoE]	[Cho]	[EtnE]
0	0.0001	0	0	0	0	0	0	0	5e-05	0	0
1	0.0001	6.97847e-07	5.78285e-10	3.71005e-08	9.92837e-10	6.90886e-10	7.39672e-12	2.88975e-12	5e-05	7.56023e-08	0
2	0.0001	1.32611e-06	2.22084e-09	1.37145e-07	7.41791e-09	2.75494e-09	1.03023e-10	2.18405e-11	5e-05	1.49842e-07	0
3	0.0001	1.89463e-06	4.8064e-09	2.86014e-07	2.34114e-08	6.20994e-09	4.79862e-10	7.02151e-11	5e-05	2.22751e-07	0
4	0.0001	2.41129e-06	8.23303e-09	4.72529e-07	5.19692e-08	1.11054e-08	1.41647e-09	1.59758e-10	5e-05	2.94359e-07	0
5	0.0001	2.88255e-06	1.24148e-08	6.87757e-07	9.51868e-08	1.7513e-08	3.25142e-09	3.01549e-10	5e-05	3.64694e-07	0
6	0.0001	3.31375e-06	1.72793e-08	9.24521e-07	1.54446e-07	2.55193e-08	6.36331e-09	5.06538e-10	5e-05	4.33785e-07	0
7	0.0001	3.70939e-06	2.27658e-08	1.17702e-06	2.30566e-07	3.52198e-08	1.11548e-08	7.85838e-10	5e-05	5.0166e-07	0
8	0.0001	4.07328e-06	2.88239e-08	1.44056e-06	3.23925e-07	4.67141e-08	1.80398e-08	1.15082e-09	5e-05	5.68345e-07	0
9	0.0001	4.40867e-06	3.54121e-08	1.71132e-06	4.34552e-07	6.01026e-08	2.7434e-08	1.6131e-09	5e-05	6.33866e-07	0
10	0.0001	4.71837e-06	4.24972e-08	1.98619e-06	5.62211e-07	7.54832e-08	3.97469e-08	2.18447e-09	5e-05	6.98248e-07	0
11	0.0001	5.00484e-06	5.0053e-08	2.26267e-06	7.06457e-07	9.29498e-08	5.5376e-08	2.87673e-09	5e-05	7.61516e-07	0
12	0.0001	5.27022e-06	5.80602e-08	2.53869e-06	8.66692e-07	1.1259e-07	7.47026e-08	3.70163e-09	5e-05	8.23692e-07	0
13	0.0001	5.51639e-06	6.65052e-08	2.81263e-06	1.0422e-06	1.34484e-07	9.8088e-08	4.67067e-09	5e-05	8.84801e-07	0
14	0.0001	5.74503e-06	7.538e-08	3.08314e-06	1.23219e-06	1.58705e-07	1.25872e-07	5.79501e-09	5e-05	9.44865e-07	0
15	0.0001	5.95762e-06	8.46813e-08	3.34917e-06	1.43582e-06	1.85318e-07	1.5837e-07	7.08533e-09	5e-05	1.0039e-06	0
16	0.0001	6.15548e-06	9.44102e-08	3.60987e-06	1.65219e-06	2.14377e-07	1.95874e-07	8.55175e-09	5e-05	1.06194e-06	0
17	0.0001	6.33981e-06	1.04572e-07	3.86461e-06	1.8804e-06	2.4593e-07	2.38651e-07	1.02038e-08	5e-05	1.119e-06	0
18	0.0001	6.51168e-06	1.15174e-07	4.11287e-06	2.11955e-06	2.80015e-07	2.86942e-07	1.20502e-08	5e-05	1.17509e-06	0
19	0.0001	6.67205e-06	1.26229e-07	4.35428e-06	2.36875e-06	3.16662e-07	3.40966e-07	1.4099e-08	5e-05	1.23024e-06	0
20	0.0001	6.82179e-06	1.37751e-07	4.58858e-06	2.62711e-06	3.55893e-07	4.00915e-07	1.63576e-08	5e-05	1.28447e-06	0
21	0.0001	6.96171e-06	1.49756e-07	4.81559e-06	2.89377e-06	3.97721e-07	4.66959e-07	1.88324e-08	5e-05	1.3378e-06	0
22	0.0001	7.09253e-06	1.62263e-07	5.0352e-06	3.1679e-06	4.42153e-07	5.39245e-07	2.15291e-08	5e-05	1.39023e-06	0
23	0.0001	7.21489e-06	1.75292e-07	5.24737e-06	3.44868e-06	4.89189e-07	6.17901e-07	2.44527e-08	5e-05	1.4418e-06	0
24	0.0001	7.32942e-06	1.88864e-07	5.4521e-06	3.73536e-06	5.38822e-07	7.03031e-07	2.76073e-08	5e-05	1.49252e-06	0
25	0.0001	7.43666e-06	2.03002e-07	5.64946e-06	4.02719e-06	5.91038e-07	7.94721e-07	3.09963e-08	5e-05	1.5424e-06	0
26	0.0001	7.53713e-06	2.1773e-07	5.8395e-06	4.32347e-06	6.4582e-07	8.9304e-07	3.46226e-08	5e-05	1.59146e-06	0
27	0.0001	7.63127e-06	2.33071e-07	6.02235e-06	4.62353e-06	7.03143e-07	9.98038e-07	3.84882e-08	5e-05	1.63972e-06	0
28	0.0001	7.71954e-06	2.49049e-07	6.19814e-06	4.92675e-06	7.6298e-07	1.10975e-06	4.25945e-08	5e-05	1.68719e-06	0
29	0.0001	7.80232e-06	2.6569e-07	6.36701e-06	5.23252e-06	8.25297e-07	1.22819e-06	4.69423e-08	5e-05	1.73389e-06	0
30	0.0001	7.87998e-06	2.83018e-07	6.52913e-06	5.54028e-06	8.90059e-07	1.35338e-06	5.15319e-08	5e-05	1.77983e-06	0
31	0.0001	7.95286e-06	3.01057e-07	6.68467e-06	5.84952e-06	9.57226e-07	1.48529e-06	5.63631e-08	5e-05	1.82503e-06	0
32	0.0001	8.02127e-06	3.19831e-07	6.83381e-06	6.15972e-06	1.02676e-06	1.62391e-06	6.1435e-08	5e-05	1.8695e-06	0
33	0.0001	8.0855e-06	3.39364e-07	6.97675e-06	6.47043e-06	1.0986e-06	1.76922e-06	6.67467e-08	5e-05	1.91326e-06	0
34	0.0001	8.14583e-06	3.59678e-07	7.11367e-06	6.78123e-06	1.17272e-06	1.92116e-06	7.22965e-08	5e-05	1.95631e-06	0
35	0.0001	8.2025e-06	3.80797e-07	7.24476e-06	7.0917e-06	1.24905e-06	2.0797e-06	7.80824e-08	5e-05	1.99867e-06	0
36	0.0001	8.25575e-06	4.02741e-07	7.37023e-06	7.40147e-06	1.32756e-06	2.24477e-06	8.41023e-08	5e-05	2.04036e-06	0
37	0.0001	8.30579e-06	4.25531e-07	7.49026e-06	7.7102e-06	1.40818e-06	2.4163e-06	9.03536e-08	5e-05	2.08138e-06	0
38	0.0001	8.35283e-06	4.49188e-07	7.60504e-06	8.01756e-06	1.49086e-06	2.59422e-06	9.68335e-08	5e-05	2.12176e-06	0
39	0.0001	8.39705e-06	4.73729e-07	7.71477e-06	8.32327e-06	1.57555e-06	2.77845e-06	1.03539e-07	5e-05	2.16149e-06	0
40	0.0001	8.43863e-06	4.99174e-07	7.81964e-06	8.62703e-06	1.6622e-06	2.96891e-06	1.10467e-07	5e-05	2.20059e-06	0
41	0.0001	8.47773e-06	5.25537e-07	7.91982e-06	8.92862e-06	1.75074e-06	3.16551e-06	1.17613e-07	5e-05	2.23908e-06	0
42	0.0001	8.51451e-06	5.52836e-07	8.01551e-06	9.22778e-06	1.84112e-06	3.36815e-06	1.24976e-07	5e-05	2.27696e-06	0
43	0.0001	8.54911e-06	5.81085e-07	8.10686e-06	9.52432e-06	1.93328e-06	3.57673e-06	1.32549e-07	5e-05	2.31425e-06	0
44	0.0001	8.58166e-06	6.10296e-07	8.19407e-06	9.81804e-06	2.02718e-06	3.79115e-06	1.40331e-07	5e-05	2.35096e-06	0
45	0.0001	8.61229e-06	6.40484e-07	8.27728e-06	1.01088e-05	2.12274e-06	4.0113e-06	1.48317e-07	5e-05	2.38709e-06	0
46	0.0001	8.64111e-06	6.71658e-07	8.35668e-06	1.03964e-05	2.21993e-06	4.23708e-06	1.56503e-07	5e-05	2.42266e-06	0
47	0.0001	8.66823e-06	7.03828e-07	8.43241e-06	1.06806e-05	2.31867e-06	4.46838e-06	1.64885e-07	5e-05	2.45767e-06	0
48	0.0001	8.69376e-06	7.37005e-07	8.50462e-06	1.09615e-05	2.41892e-06	4.70508e-06	1.73459e-07	5e-05	2.49214e-06	0
49	0.0001	8.71779e-06	7.71195e-07	8.57347e-06	1.12389e-05	2.52062e-06	4.94707e-06	1.82221e-07	5e-05	2.52608e-06	0
50	0.0001	8.74042e-06	8.06405e-07	8.6391e-06	1.15126e-05	2.62372e-06	5.19424e-06	1.91168e-07	5e-05	2.55949e-06	0
51	0.0001	8.76172e-06	8.42642e-07	8.70165e-06	1.17826e-05	2.72817e-06	5.44647e-06	2.00294e-07	5e-05	2.59239e-06	0
52	0.0001	8.78177e-06	8.79909e-07	8.76124e-06	1.20488e-05	2.83391e-06	5.70364e-06	2.09596e-07	5e-05	2.62478e-06	0
53	0.0001	8.80065e-06	9.1821e-07	8.81802e-06	1.23111e-05	2.94089e-06	5.96563e-06	2.1907e-07	5e-05	2.65667e-06	0
