Time	[taRNA]	[mT7cr]	[mGFPcr]	[pT7]	[pGFP]	[ara]	[pT3]	[mT3cr]
0	0.00679694	0.356941	0.176991	0.0523074	6.33892	0	6.41674e-05	0.00566438
1	0.123193	0.356941	0.176993	0.0539175	6.34927	0.009703	6.80024e-05	0.00566697
2	0.22472	0.356941	0.177003	0.058502	6.37878	0.009403	7.89347e-05	0.00568517
3	0.311881	0.356941	0.177029	0.0656293	6.42473	0.009103	9.60213e-05	0.00573572
4	0.38624	0.356941	0.177076	0.0749151	6.4847	0.008803	0.000118568	0.00583903
5	0.449193	0.356941	0.177148	0.086018	6.55655	0.008503	0.000146179	0.00602124
6	0.501976	0.356941	0.177248	0.0986338	6.63837	0.008203	0.000178808	0.00631533
7	0.545689	0.356941	0.177379	0.112492	6.72847	0.007903	0.000216819	0.00676171
8	0.581309	0.356941	0.177544	0.127352	6.82535	0.007603	0.000261038	0.00740791
9	0.609706	0.356941	0.177747	0.143001	6.92768	0.007303	0.000312791	0.00830796
10	0.63165	0.356941	0.177993	0.159246	7.03429	0.007003	0.00037393	0.00952111
11	0.647828	0.356941	0.178287	0.175919	7.14412	0.006703	0.000446827	0.0111102
12	0.656166	0.356941	0.178639	0.192843	7.2561	0.00594892	0.000534202	0.0131398
13	0.655384	0.356941	0.179058	0.209771	7.36867	0.00527569	0.000638581	0.015671
14	0.647264	0.356941	0.179554	0.22648	7.48043	0.00467865	0.000762417	0.0187564
15	0.633333	0.356941	0.180139	0.242791	7.59028	0.00414917	0.000908007	0.0224376
16	0.614892	0.356941	0.180824	0.258567	7.69734	0.00367962	0.0010773	0.0267425
17	0.593043	0.356941	0.181623	0.273704	7.80099	0.0032632	0.00127173	0.0316856
18	0.568716	0.356941	0.182545	0.288124	7.90075	0.00289391	0.0014921	0.0372667
19	0.542687	0.356941	0.183602	0.301776	7.9963	0.00256641	0.00173852	0.0434722
20	0.5156	0.356941	0.184802	0.314627	8.08744	0.00227598	0.0020104	0.0502759
21	0.487985	0.356941	0.186153	0.326658	8.17407	0.00201841	0.00230645	0.0576404
22	0.460273	0.356941	0.18766	0.337867	8.25617	0.00178999	0.00262478	0.0655186
23	0.432811	0.356941	0.189325	0.348261	8.33377	0.00158742	0.00296294	0.0738561
24	0.405874	0.356941	0.191149	0.357855	8.40696	0.00140777	0.00331809	0.0825927
25	0.379676	0.356941	0.193129	0.36667	8.47584	0.00124846	0.00368707	0.0916641
26	0.354378	0.356941	0.19526	0.374734	8.54057	0.00110717	0.00406653	0.101004
27	0.330099	0.356941	0.197536	0.382076	8.6013	0.000981875	0.00445306	0.110545
28	0.306922	0.356941	0.199948	0.388731	8.65821	0.000870758	0.00484325	0.120222
29	0.284899	0.356941	0.202486	0.394732	8.71148	0.000772216	0.00523382	0.129968
30	0.264058	0.356941	0.205137	0.400115	8.76127	0.000684826	0.00562167	0.139724
31	0.244408	0.356941	0.20789	0.404916	8.80779	0.000607325	0.00600392	0.14943
32	0.334499	0.356941	0.210752	0.410671	8.86262	0.009703	0.00647634	0.159096
33	0.412564	0.356941	0.213827	0.418698	8.93622	0.009403	0.00713668	0.168978
34	0.478866	0.356941	0.217226	0.428646	9.02651	0.009103	0.00797962	0.179359
35	0.534685	0.356941	0.221047	0.440199	9.13171	0.008803	0.00900077	0.190483
36	0.581154	0.356941	0.225373	0.45308	9.25034	0.008503	0.0101972	0.202568
37	0.619285	0.356941	0.230278	0.46704	9.38116	0.008203	0.0115675	0.215802
38	0.649972	0.356941	0.235826	0.481859	9.52315	0.007903	0.0131116	0.23035
39	0.674014	0.356941	0.242075	0.497338	9.67547	0.007603	0.0148306	0.246356
40	0.692117	0.356941	0.249076	0.513305	9.83746	0.007303	0.0167267	0.26394
41	0.70491	0.356941	0.256876	0.529602	10.0086	0.007003	0.0188022	0.283201
42	0.712953	0.356941	0.265518	0.546091	10.1884	0.006703	0.0210595	0.304216
43	0.714059	0.356941	0.275039	0.562623	10.3763	0.00594892	0.0234973	0.327037
44	0.706849	0.356941	0.285468	0.578975	10.5707	0.00527569	0.0261	0.351682
45	0.693015	0.356941	0.296817	0.594946	10.7703	0.00467865	0.0288481	0.378115
46	0.674004	0.356941	0.309088	0.610376	10.9737	0.00414918	0.031722	0.406258
47	0.651047	0.356941	0.322265	0.625146	11.1798	0.00367962	0.0347013	0.435996
48	0.625184	0.356941	0.336324	0.639165	11.3876	0.0032632	0.0377647	0.467179
49	0.597288	0.356941	0.351228	0.652371	11.5962	0.00289391	0.0408905	0.499633
50	0.568086	0.356941	0.366934	0.664724	11.8049	0.00256642	0.0440568	0.533164
51	0.538179	0.356941	0.383385	0.676201	12.0128	0.00227598	0.0472415	0.567564
52	0.508057	0.356941	0.400519	0.686794	12.2193	0.00201841	0.0504231	0.602618
53	0.478116	0.356941	0.418268	0.696508	12.4238	0.00178999	0.0535807	0.638109
54	0.448673	0.356941	0.436557	0.705358	12.6257	0.00158742	0.0566944	0.673819
55	0.419975	0.356941	0.455307	0.713366	12.8245	0.00140778	0.0597458	0.709537
56	0.392211	0.356941	0.474437	0.720558	13.0198	0.00124846	0.0627183	0.745061
57	0.365521	0.356941	0.493862	0.726968	13.2111	0.00110717	0.0655967	0.780201
58	0.340005	0.356941	0.5135	0.732631	13.3981	0.000981876	0.0683682	0.814777
59	0.315728	0.356941	0.533266	0.737582	13.5805	0.000870759	0.0710216	0.848628
60	0.292727	0.356941	0.553078	0.741862	13.7581	0.000772217	0.0735479	0.881606
61	0.271017	0.356941	0.572859	0.745508	13.9306	0.000684826	0.0759402	0.913579
62	0.250594	0.356941	0.59253	0.748559	14.098	0.000607326	0.0781932	0.944433
63	0.339998	0.356941	0.612129	0.752554	14.293	0.009703	0.0809119	0.974229
64	0.417453	0.356941	0.632107	0.758813	14.547	0.009403	0.0846624	1.00365
65	0.483212	0.356941	0.652938	0.766987	14.8554	0.009103	0.0893497	1.03341
66	0.538548	0.356941	0.675009	0.776763	15.2143	0.008803	0.094887	1.0641
67	0.584589	0.356941	0.698629	0.787864	15.6204	0.008503	0.101196	1.09618
68	0.622337	0.356941	0.724039	0.800043	16.0709	0.008203	0.108207	1.13006
69	0.652686	0.356941	0.751421	0.81308	16.5633	0.007903	0.115859	1.16602
70	0.676426	0.356941	0.780908	0.82678	17.0956	0.007603	0.124095	1.2043
71	0.694261	0.356941	0.812593	0.840969	17.6658	0.007303	0.132867	1.24507
72	0.706816	0.356941	0.846533	0.855491	18.2723	0.007003	0.142128	1.28843
73	0.714648	0.356941	0.882753	0.870209	18.9136	0.006703	0.151837	1.33443
74	0.718248	0.356941	0.921256	0.885	19.5881	0.006403	0.161954	1.3831
75	0.718055	0.356941	0.96202	0.899753	20.2943	0.006103	0.172438	1.43439
76	0.714457	0.356941	1.005	0.914371	21.0304	0.005803	0.18325	1.48823
77	0.707801	0.356941	1.05015	0.928768	21.7949	0.005503	0.194351	1.54451
78	0.698392	0.356941	1.09738	0.942864	22.5857	0.005203	0.205698	1.60307
79	0.686503	0.356941	1.14661	0.95659	23.4007	0.004903	0.217247	1.66375
80	0.672374	0.356941	1.19773	0.969885	24.2376	0.004603	0.228954	1.72635
81	0.656219	0.356941	1.25063	0.982692	25.0938	0.004303	0.240768	1.79063
82	0.638229	0.356941	1.30516	0.994961	25.9666	0.004003	0.25264	1.85636
83	0.618572	0.356941	1.36119	1.00665	26.853	0.003703	0.264513	1.92326
84	0.597395	0.356941	1.41856	1.01771	27.7495	0.003403	0.276332	1.99107
85	0.574251	0.356941	1.47709	1.02811	28.6525	0.00301886	0.288032	2.05948
86	0.549103	0.356941	1.5366	1.0378	29.5568	0.00267722	0.299531	2.12819
87	0.522644	0.356941	1.59689	1.04672	30.4576	0.00237424	0.310753	2.19686
88	0.495446	0.356941	1.65773	1.05486	31.3507	0.00210555	0.321631	2.26517
89	0.467979	0.356941	1.7189	1.06221	32.2322	0.00186727	0.332109	2.33279
90	0.440621	0.356941	1.78017	1.06877	33.0989	0.00165595	0.342143	2.39938
91	0.413673	0.356941	1.84131	1.07456	33.9479	0.00146855	0.351693	2.46465
92	0.387371	0.356941	1.90212	1.07958	34.777	0.00130236	0.360731	2.5283
93	0.361899	0.356941	1.96237	1.08387	35.5841	0.00115497	0.369235	2.59007
94	0.337392	0.356941	2.02187	1.08746	36.3677	0.00102427	0.37719	2.64973
95	0.313945	0.356941	2.08044	1.09037	37.1266	0.000908354	0.38459	2.70706
96	0.291623	0.356941	2.13789	1.09264	37.8599	0.000805557	0.39143	2.76187
97	0.270463	0.356941	2.19407	1.0943	38.5671	0.000714394	0.397714	2.81402
98	0.250483	0.356941	2.24884	1.0954	39.248	0.000633547	0.40345	2.86336
99	0.231679	0.356941	2.30207	1.09596	39.9025	0.00056185	0.408647	2.9098
100	0.214038	0.356941	2.35364	1.09602	40.5308	0.000498266	0.413321	2.95326
