Time	[free_BoNT/A]	[bound_BoNT/A]	[transloc_BoNT/A]	[lytic_BoNT/A]
0	1	0	0	0
1	0.94365	0.0525219	0.00381135	1.68094e-05
2	0.890475	0.095177	0.0142201	0.000127649
3	0.840297	0.12943	0.0298643	0.00040919
4	0.792946	0.156542	0.0495899	0.000921781
5	0.748264	0.177602	0.0724222	0.00171197
6	0.706099	0.193546	0.0975406	0.00281465
7	0.66631	0.205178	0.124257	0.00425493
8	0.628764	0.213191	0.151996	0.00604974
9	0.593333	0.218178	0.18028	0.00820917
10	0.559898	0.220648	0.208716	0.0107377
11	0.528348	0.221037	0.236979	0.013635
12	0.498576	0.219719	0.264809	0.0168972
13	0.470481	0.217009	0.291993	0.0205172
14	0.443969	0.213181	0.318364	0.0244855
15	0.418952	0.208463	0.343794	0.0287906
16	0.395344	0.203052	0.368184	0.0334197
17	0.373066	0.197113	0.391462	0.0383586
18	0.352044	0.190785	0.413579	0.0435927
19	0.332206	0.184184	0.434503	0.0491065
20	0.313486	0.17741	0.454219	0.0548845
21	0.295821	0.170544	0.472724	0.0609109
22	0.279152	0.163653	0.490026	0.0671701
23	0.263421	0.156792	0.50614	0.0736465
24	0.248578	0.150008	0.52109	0.0803247
25	0.23457	0.143336	0.534904	0.0871899
26	0.221352	0.136806	0.547615	0.0942274
27	0.208879	0.13044	0.559258	0.101423
28	0.197109	0.124257	0.569871	0.108764
29	0.186002	0.118268	0.579495	0.116236
30	0.17552	0.112484	0.58817	0.123826
31	0.16563	0.10691	0.595937	0.131524
32	0.156297	0.101549	0.602837	0.139317
33	0.147489	0.0964032	0.608913	0.147194
34	0.139178	0.0914716	0.614205	0.155145
35	0.131336	0.086752	0.618752	0.16316
36	0.123935	0.0822412	0.622594	0.17123
37	0.116951	0.0779349	0.625769	0.179345
38	0.110361	0.0738281	0.628314	0.187497
39	0.104142	0.0699153	0.630264	0.195679
40	0.0982736	0.0661904	0.631654	0.203882
41	0.0927359	0.0626472	0.632518	0.212099
42	0.0875102	0.0592791	0.632886	0.220325
43	0.082579	0.0560794	0.632789	0.228552
44	0.0779257	0.0530416	0.632257	0.236776
45	0.0735345	0.0501589	0.631317	0.244989
46	0.0693909	0.0474246	0.629996	0.253188
47	0.0654807	0.0448323	0.628319	0.261368
48	0.0617908	0.0423755	0.626311	0.269523
49	0.0583089	0.0400481	0.623993	0.27765
50	0.0550232	0.0378438	0.621387	0.285746
51	0.0519227	0.0357569	0.618515	0.293805
52	0.0489968	0.0337815	0.615396	0.301826
53	0.0462358	0.0319123	0.612047	0.309805
54	0.0436304	0.0301439	0.608487	0.317738
55	0.0411719	0.0284712	0.604733	0.325624
56	0.0388518	0.0268894	0.600798	0.33346
57	0.0366625	0.0253937	0.596699	0.341244
58	0.0345966	0.0239797	0.59245	0.348974
59	0.0326471	0.0226432	0.588062	0.356647
60	0.0308074	0.0213801	0.583549	0.364263
61	0.0290714	0.0201864	0.578923	0.371819
62	0.0274332	0.0190586	0.574194	0.379315
63	0.0258874	0.017993	0.569372	0.386748
64	0.0244286	0.0169864	0.564467	0.394118
65	0.0230521	0.0160356	0.559489	0.401424
66	0.0217531	0.0151374	0.554445	0.408664
67	0.0205273	0.0142892	0.549344	0.415839
68	0.0193706	0.0134882	0.544194	0.422947
69	0.0182791	0.0127317	0.539001	0.429988
70	0.017249	0.0120174	0.533773	0.436961
71	0.016277	0.0113429	0.528514	0.443866
72	0.0153598	0.0107061	0.523232	0.450702
73	0.0144943	0.0101049	0.517931	0.45747
74	0.0136776	0.00953725	0.512617	0.464168
75	0.0129068	0.00900137	0.507294	0.470798
76	0.0121795	0.00849549	0.501967	0.477358
77	0.0114932	0.00801793	0.49664	0.483849
78	0.0108456	0.00756713	0.491317	0.490271
79	0.0102344	0.00714161	0.486001	0.496623
80	0.00965771	0.00673994	0.480696	0.502907
81	0.0091135	0.00636081	0.475404	0.509121
82	0.00859995	0.00600295	0.47013	0.515267
83	0.00811535	0.00566519	0.464875	0.521345
84	0.00765805	0.00534639	0.459641	0.527354
85	0.00722652	0.0050455	0.454432	0.533296
86	0.0068193	0.00476151	0.44925	0.53917
87	0.00643503	0.00449348	0.444095	0.544976
88	0.00607242	0.00424052	0.438971	0.550716
89	0.00573024	0.00400178	0.433878	0.55639
90	0.00540734	0.00377647	0.428819	0.561997
91	0.00510264	0.00356383	0.423794	0.567539
92	0.0048151	0.00336315	0.418806	0.573016
93	0.00454377	0.00317375	0.413854	0.578428
94	0.00428773	0.00299502	0.408941	0.583776
95	0.00404611	0.00282634	0.404067	0.589061
96	0.00381811	0.00266716	0.399233	0.594282
97	0.00360296	0.00251693	0.394439	0.599441
98	0.00339994	0.00237516	0.389687	0.604538
99	0.00320835	0.00224137	0.384977	0.609573
100	0.00302756	0.00211512	0.38031	0.614547
