Time	[pRB]	[pRBp]	[E2F1]	[AP1]	[pRBpp]	[CycE/cdk2(i)]	[CycEa/cdk2(a)]
0	0.1	0.1	0.1	0.1	0.1	0.1	0.1
1	0.258133	0.0787687	0.139535	0.104592	0.092695	0.0941801	0.10045
2	0.407554	0.0689483	0.1762	0.108948	0.0853792	0.0895835	0.10054
3	0.548137	0.0660527	0.210383	0.113198	0.0786239	0.0858762	0.100357
4	0.680757	0.0672469	0.242392	0.117372	0.0726978	0.0828454	0.099968
5	0.806377	0.0707623	0.272477	0.121486	0.0676878	0.0803435	0.0994219
6	0.925846	0.0755079	0.300847	0.125545	0.0635777	0.0782621	0.0987585
7	1.03987	0.0808177	0.327672	0.129553	0.0602968	0.0765192	0.0980088
8	1.14902	0.0862915	0.353099	0.133514	0.05775	0.0750511	0.0971974
9	1.25378	0.091694	0.377251	0.137428	0.0558349	0.0738076	0.096344
10	1.35456	0.0968917	0.400233	0.141298	0.0544519	0.0727486	0.095464
11	1.45169	0.101814	0.422138	0.145126	0.0535088	0.0718416	0.0945698
12	1.54547	0.106428	0.443046	0.148911	0.0529237	0.0710601	0.0936712
13	1.63615	0.110724	0.463025	0.152654	0.052625	0.0703825	0.0927758
14	1.72396	0.114706	0.482139	0.156358	0.0525514	0.0697911	0.0918895
15	1.80909	0.118385	0.500441	0.160021	0.0526512	0.069271	0.0910169
16	1.89172	0.121779	0.51798	0.163645	0.052881	0.0688101	0.0901614
17	1.97199	0.124904	0.534799	0.167231	0.0532053	0.0683981	0.0893255
18	2.05005	0.12778	0.550937	0.170779	0.0535947	0.0680267	0.088511
19	2.12602	0.130425	0.56643	0.174289	0.0540256	0.0676887	0.087719
20	2.20001	0.132859	0.581309	0.177762	0.054479	0.0673782	0.0869502
21	2.27212	0.135099	0.595603	0.181199	0.05494	0.0670903	0.086205
22	2.34244	0.137161	0.609339	0.1846	0.0553971	0.0668207	0.0854833
23	2.41105	0.139063	0.62254	0.187965	0.0558413	0.0665661	0.0847849
24	2.47803	0.140818	0.63523	0.191295	0.0562662	0.0663235	0.0841092
25	2.54344	0.142442	0.647429	0.19459	0.0566673	0.0660905	0.0834558
26	2.60735	0.143948	0.659154	0.19785	0.0570413	0.065865	0.0828239
