Time	[G6P]	[ATP]	[ADP]	[Pint]	[F6P]	[FBP]	[G3P]	[BPG]	[PEP]	[NAD]	[NADH]	[PYR]	[AcetCoA]	[Acetoin]	[Mannitol]	[Mannitol1Phosphate]	[CoA]	[Pext]	[Lactate]	[Ethanol]	[Acetate]	[Butanediol]	[Glucose]	[Acetoin_Ext]	[Mannitol_Ext]	[Formate]
85	0.378201	5.66798	19.604	2.77215	0.138438	39.3724	1.45831	0.0618786	4.52937	4.56846	0.10154	0.000741519	1.55956e-08	1.56108e-07	0.000401811	0.747499	1	46.1259	18.3065	2.01516e-09	1.43927e-05	5.76746e-07	69.6014	9.47439e-05	0.000206873	1.43954e-05
86	0.376958	5.66533	19.6067	2.77605	0.138021	39.4819	1.46039	0.0617778	4.5272	4.56765	0.10235	0.000736833	1.54791e-08	1.54138e-07	0.000400431	0.744441	1	46.0872	18.4918	2.01583e-09	1.44609e-05	5.77096e-07	69.5038	9.48751e-05	0.000205886	1.44636e-05
87	0.375737	5.66279	19.6092	2.77991	0.137611	39.5903	1.46246	0.0616809	4.52515	4.56685	0.103148	0.000732313	1.53666e-08	1.52249e-07	0.000399111	0.741518	1	46.0486	18.6767	2.0165e-09	1.45286e-05	5.77444e-07	69.4065	9.50047e-05	0.000204942	1.45313e-05
88	0.374538	5.66037	19.6116	2.78373	0.137208	39.6974	1.4645	0.0615879	4.52321	4.56607	0.103933	0.000727952	1.5258e-08	1.50438e-07	0.000397848	0.738727	1	46.0102	18.8611	2.01717e-09	1.45958e-05	5.77791e-07	69.3095	9.51327e-05	0.000204041	1.45985e-05
89	0.37336	5.65805	19.614	2.7875	0.136813	39.8034	1.46651	0.0614987	4.52139	4.5653	0.104705	0.000723746	1.51531e-08	1.48702e-07	0.000396642	0.736064	1	45.972	19.0451	2.01786e-09	1.46625e-05	5.78136e-07	69.2127	9.52592e-05	0.000203181	1.46653e-05
90	0.372204	5.65584	19.6162	2.79124	0.136424	39.9081	1.46849	0.0614131	4.51968	4.56454	0.105466	0.000719688	1.50518e-08	1.47036e-07	0.000395491	0.733526	1	45.934	19.2287	2.01854e-09	1.47289e-05	5.7848e-07	69.1161	9.53842e-05	0.000202361	1.47316e-05
91	0.371068	5.65374	19.6183	2.79493	0.136042	40.0117	1.47046	0.0613311	4.51807	4.56379	0.106213	0.000715773	1.49539e-08	1.45437e-07	0.000394394	0.731109	1	45.8962	19.412	2.01924e-09	1.47947e-05	5.78822e-07	69.0198	9.55079e-05	0.00020158	1.47975e-05
92	0.369952	5.65174	19.6203	2.79857	0.135667	40.1141	1.47239	0.0612526	4.51656	4.56305	0.106949	0.000711998	1.48594e-08	1.43904e-07	0.000393349	0.728809	1	45.8585	19.5948	2.01993e-09	1.48602e-05	5.79162e-07	68.9238	9.56303e-05	0.000200837	1.48629e-05
93	0.368857	5.64984	19.6222	2.80218	0.135298	40.2153	1.4743	0.0611774	4.51516	4.56233	0.107672	0.000708357	1.47682e-08	1.42433e-07	0.000392355	0.726623	1	45.821	19.7773	2.02064e-09	1.49253e-05	5.79501e-07	68.8279	9.57513e-05	0.00020013	1.4928e-05
94	0.367781	5.64803	19.624	2.80574	0.134936	40.3153	1.47619	0.0611055	4.51384	4.56162	0.108383	0.000704844	1.468e-08	1.41021e-07	0.00039141	0.724547	1	45.7837	19.9594	2.02135e-09	1.499e-05	5.79839e-07	68.7323	9.58712e-05	0.000199459	1.49927e-05
95	0.366725	5.64633	19.6257	2.80926	0.13458	40.4141	1.47805	0.0610367	4.51263	4.56092	0.109081	0.000701457	1.45949e-08	1.39666e-07	0.000390513	0.722578	1	45.7465	20.1411	2.02206e-09	1.50543e-05	5.80175e-07	68.637	9.59899e-05	0.000198821	1.5057e-05
96	0.365688	5.64471	19.6273	2.81274	0.134231	40.5117	1.47988	0.0609711	4.51149	4.56023	0.109768	0.000698191	1.45126e-08	1.38365e-07	0.000389663	0.720712	1	45.7095	20.3225	2.02278e-09	1.51182e-05	5.80511e-07	68.5418	9.61075e-05	0.000198217	1.51209e-05
97	0.36467	5.64319	19.6288	2.81618	0.133888	40.6082	1.48169	0.0609084	4.51045	4.55956	0.110442	0.000695041	1.44332e-08	1.37117e-07	0.000388857	0.718947	1	45.6727	20.5035	2.02351e-09	1.51818e-05	5.80845e-07	68.4469	9.6224e-05	0.000197645	1.51845e-05
98	0.36367	5.64175	19.6303	2.81957	0.13355	40.7034	1.48348	0.0608486	4.50949	4.5589	0.111105	0.000692005	1.43565e-08	1.35919e-07	0.000388095	0.717278	1	45.636	20.6842	2.02424e-09	1.5245e-05	5.81178e-07	68.3522	9.63394e-05	0.000197104	1.52477e-05
99	0.362688	5.6404	19.6316	2.82293	0.133219	40.7976	1.48524	0.0607917	4.50861	4.55825	0.111756	0.000689078	1.42825e-08	1.34769e-07	0.000387375	0.715703	1	45.5995	20.8646	2.02498e-09	1.53079e-05	5.8151e-07	68.2577	9.64539e-05	0.000196593	1.53106e-05
100	0.361725	5.63914	19.6329	2.82624	0.132894	40.8905	1.48698	0.0607374	4.5078	4.55761	0.112395	0.000686256	1.42109e-08	1.33665e-07	0.000386696	0.714218	1	45.5631	21.0447	2.02572e-09	1.53705e-05	5.81841e-07	68.1634	9.65674e-05	0.000196111	1.53732e-05
