Time	[EpoR]	[SAv]	[SAv_EpoR]	[SAv_EpoRi]	[dSAvi]	[dSAve]
0	76	999.293	0	0	0	0
1	75.8294	999.12	0.170597	0.00280047	2.98534e-06	1.54063e-05
2	75.6659	998.948	0.334143	0.0109346	2.34544e-05	0.00012104
3	75.5091	998.778	0.490929	0.0240178	7.77445e-05	0.000401212
4	75.3588	998.609	0.641234	0.0416863	0.000181004	0.000934095
5	75.2147	998.442	0.785324	0.0635959	0.000347255	0.00179206
6	75.0765	998.276	0.923457	0.0894216	0.000589458	0.00304199
7	74.9441	998.113	1.05588	0.118856	0.000919569	0.00474557
8	74.8172	997.95	1.18282	0.151609	0.00134859	0.00695961
9	74.6955	997.789	1.30451	0.187407	0.00188664	0.00973627
10	74.5788	997.63	1.42117	0.225991	0.00254297	0.0131234
11	74.467	997.472	1.53299	0.267117	0.00332605	0.0171646
12	74.3598	997.316	1.64019	0.310556	0.0042436	0.0218997
13	74.257	997.161	1.74296	0.356091	0.00530261	0.0273649
14	74.1585	997.008	1.84146	0.403517	0.00650942	0.0335928
15	74.0641	996.856	1.93589	0.452642	0.00786973	0.0406129
16	73.9736	996.705	2.02641	0.503286	0.00938866	0.0484516
17	73.8868	996.556	2.11318	0.555279	0.0110708	0.0571323
18	73.8036	996.409	2.19635	0.608461	0.0129201	0.0666759
19	73.7239	996.262	2.27608	0.662682	0.0149401	0.0771006
20	73.6475	996.117	2.3525	0.717802	0.017134	0.0884224
21	73.5743	995.973	2.42575	0.773687	0.0195043	0.100655
22	73.504	995.831	2.49596	0.830215	0.0220533	0.113809
23	73.4367	995.69	2.56326	0.887269	0.0247829	0.127896
24	73.3722	995.55	2.62777	0.944742	0.0276945	0.142921
25	73.3104	995.411	2.6896	1.00253	0.0307893	0.158893
26	73.2511	995.274	2.74887	1.06054	0.0340682	0.175814
27	73.1943	995.137	2.80567	1.11869	0.0375318	0.193688
28	73.1399	995.002	2.86011	1.17689	0.0411803	0.212517
29	73.0877	994.868	2.91229	1.23506	0.0450137	0.2323
30	73.0377	994.735	2.96231	1.29314	0.049032	0.253037
31	72.9898	994.604	3.01024	1.35105	0.0532346	0.274725
32	72.9438	994.473	3.05618	1.40875	0.057621	0.297361
33	72.8998	994.344	3.1002	1.46616	0.0621903	0.320942
34	72.8576	994.215	3.1424	1.52324	0.0669416	0.345462
35	72.8172	994.087	3.18284	1.57994	0.0718738	0.370915
36	72.7784	993.961	3.22159	1.63622	0.0769855	0.397295
37	72.7413	993.835	3.25873	1.69203	0.0822754	0.424594
38	72.7057	993.711	3.29431	1.74734	0.087742	0.452805
39	72.6716	993.587	3.32842	1.80212	0.0933835	0.481919
40	72.6389	993.464	3.3611	1.85632	0.0991982	0.511927
41	72.6076	993.343	3.39242	1.90993	0.105184	0.542819
42	72.5776	993.222	3.42242	1.96292	0.11134	0.574585
43	72.5488	993.102	3.45118	2.01527	0.117663	0.607216
44	72.5213	992.982	3.47873	2.06695	0.124151	0.640699
45	72.4949	992.864	3.50513	2.11795	0.130802	0.675025
46	72.4696	992.747	3.53042	2.16825	0.137615	0.710182
47	72.4453	992.63	3.55465	2.21784	0.144586	0.746158
48	72.4221	992.514	3.57787	2.2667	0.151714	0.782942
49	72.3999	992.399	3.60011	2.31483	0.158996	0.820521
50	72.3786	992.284	3.62142	2.36222	0.16643	0.858884
51	72.3582	992.17	3.64184	2.40885	0.174013	0.898018
52	72.3386	992.057	3.66139	2.45473	0.181743	0.93791
53	72.3199	991.945	3.68013	2.49984	0.189618	0.978549
54	72.3019	991.833	3.69807	2.54419	0.197635	1.01992
55	72.2847	991.722	3.71526	2.58778	0.205791	1.06202
56	72.2683	991.612	3.73172	2.6306	0.214085	1.10482
57	72.2525	991.502	3.74749	2.67264	0.222514	1.14832
58	72.2374	991.393	3.76259	2.71393	0.231076	1.1925
59	72.2229	991.284	3.77705	2.75444	0.239767	1.23735
60	72.2091	991.176	3.7909	2.7942	0.248586	1.28286
61	72.1958	991.069	3.80417	2.8332	0.25753	1.32902
62	72.1831	990.962	3.81687	2.87144	0.266597	1.37581
63	72.171	990.856	3.82902	2.90894	0.275784	1.42323
64	72.1593	990.75	3.84067	2.94569	0.28509	1.47125
65	72.1482	990.645	3.85181	2.9817	0.294511	1.51986
66	72.1375	990.54	3.86248	3.01699	0.304045	1.56907
67	72.1273	990.436	3.8727	3.05154	0.31369	1.61884
68	72.1175	990.333	3.88248	3.08538	0.323444	1.66918
69	72.1082	990.229	3.89184	3.11852	0.333304	1.72007
70	72.0992	990.127	3.90079	3.15095	0.343269	1.77149
71	72.0906	990.024	3.90936	3.18268	0.353335	1.82344
72	72.0824	989.922	3.91757	3.21374	0.363502	1.8759
73	72.0746	989.821	3.92542	3.24411	0.373766	1.92887
74	72.0671	989.72	3.93293	3.27382	0.384125	1.98234
75	72.0599	989.619	3.94011	3.30288	0.394578	2.03628
76	72.053	989.519	3.94698	3.33129	0.405122	2.09069
77	72.0464	989.419	3.95356	3.35906	0.415756	2.14557
78	72.0402	989.32	3.95984	3.3862	0.426477	2.2009
79	72.0341	989.22	3.96586	3.41272	0.437283	2.25666
