Time	[EmptySet]	[u]	[z]	[v]
0	1	0	0	0
1	1	9.86924e-05	0.0148658	0.0149645
2	1	0.00030252	0.0294662	0.0297688
3	1	0.000542638	0.0438052	0.0443478
4	1	0.000794405	0.0578853	0.0586798
5	1	0.00104942	0.0717085	0.072758
6	1	0.00130518	0.0852755	0.0865807
7	1	0.00156134	0.0985861	0.100147
8	1	0.00181833	0.111639	0.113458
9	1	0.00207685	0.124433	0.12651
10	1	0.00233774	0.136966	0.139303
11	1	0.00260191	0.149232	0.151834
12	1	0.00287032	0.161228	0.164098
13	1	0.00314403	0.172947	0.176091
14	1	0.00342421	0.184384	0.187808
15	1	0.00371217	0.195528	0.19924
16	1	0.0040094	0.206371	0.21038
17	1	0.00431764	0.2169	0.221218
18	1	0.00463892	0.227102	0.231741
19	1	0.00497573	0.236959	0.241935
20	1	0.00533109	0.246452	0.251783
21	1	0.00570879	0.255556	0.261265
22	1	0.00611369	0.264243	0.270356
23	1	0.00655219	0.272474	0.279026
24	1	0.0070329	0.280205	0.287238
25	1	0.00756792	0.287375	0.294943
26	1	0.00817486	0.293903	0.302078
27	1	0.00888063	0.299679	0.30856
28	1	0.00972908	0.30454	0.31427
29	1	0.0107975	0.308232	0.319029
30	1	0.0122375	0.310315	0.322552
31	1	0.0143954	0.309925	0.324321
32	1	0.0182738	0.304939	0.323213
33	1	0.0283566	0.287541	0.315897
34	1	0.104343	0.175964	0.280308
35	1	0.128422	0.00495448	0.133377
36	1	0.0525239	0.0109442	0.0634681
37	1	0.0214896	0.0222437	0.0437332
38	1	0.00884001	0.0356789	0.044519
39	1	0.00390758	0.0496341	0.0535417
40	1	0.00214359	0.0635312	0.0656748
41	1	0.00162817	0.077222	0.0788501
42	1	0.0015912	0.0906725	0.0922637
43	1	0.00173588	0.103873	0.105609
44	1	0.00195032	0.116819	0.118769
45	1	0.00219285	0.129506	0.131699
46	1	0.00244825	0.141931	0.14438
47	1	0.00271128	0.154089	0.1568
48	1	0.00298056	0.165974	0.168955
49	1	0.00325624	0.177581	0.180837
50	1	0.00353918	0.188901	0.19244
51	1	0.00383058	0.199925	0.203756
52	1	0.00413197	0.210644	0.214776
53	1	0.00444516	0.221043	0.225488
54	1	0.00477236	0.231108	0.23588
55	1	0.00511622	0.240821	0.245938
56	1	0.00548005	0.250161	0.255641
57	1	0.00586803	0.259101	0.26497
58	1	0.00628556	0.26761	0.273895
59	1	0.00673984	0.275646	0.282386
60	1	0.00724069	0.28316	0.2904
61	1	0.00780211	0.290083	0.297885
62	1	0.00844483	0.296324	0.304769
63	1	0.00920136	0.301756	0.310957
64	1	0.0101262	0.306184	0.316311
65	1	0.0113191	0.309297	0.320617
66	1	0.0129869	0.31053	0.323517
67	1	0.0156421	0.308681	0.324323
68	1	0.0209896	0.300396	0.321386
69	1	0.0394042	0.269192	0.308596
70	1	0.193457	0.029387	0.222844
71	1	0.0896585	0.00635156	0.09601
72	1	0.0366814	0.0150721	0.0517535
73	1	0.0149967	0.0275109	0.0425076
74	1	0.00626926	0.0412768	0.047546
75	1	0.00296305	0.0552426	0.0582057
76	1	0.00184547	0.0690645	0.07091
77	1	0.00157879	0.0826606	0.0842394
78	1	0.00163625	0.0960114	0.0976476
79	1	0.00181698	0.10911	0.110927
80	1	0.00204568	0.121952	0.123998
81	1	0.00229443	0.134535	0.136829
82	1	0.00255323	0.146853	0.149406
83	1	0.00281883	0.158902	0.16172
84	1	0.00309061	0.170676	0.173766
85	1	0.00336909	0.182168	0.185537
86	1	0.00365527	0.19337	0.197026
87	1	0.00395049	0.204273	0.208223
88	1	0.00425638	0.214865	0.219121
89	1	0.00457492	0.225132	0.229706
90	1	0.00490846	0.235058	0.239966
91	1	0.00525991	0.244624	0.249884
92	1	0.00563289	0.253806	0.259439
93	1	0.00603203	0.262577	0.268609
94	1	0.00646335	0.270901	0.277364
95	1	0.00693498	0.278734	0.285669
96	1	0.00745821	0.286019	0.293477
97	1	0.00804931	0.292681	0.30073
98	1	0.00873298	0.298615	0.307348
99	1	0.00954883	0.303671	0.31322
100	1	0.0105655	0.307618	0.318184
