Time	[EI]	[PyrPI]	[EIP]	[HPr]	[EIPHPr]	[HPrP]	[EIIA]	[HPrPIIA]	[EIIAP]	[EIICB]	[EIIAPIICB]	[EIICBP]	[EIICBPGlc]	[PEP]	[Pyr]	[GlcP]	[Glc]
0	3	0	2	25	0	25	20	0	20	5	0	5	0	2800	900	50	500
1	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
2	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
3	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
4	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
5	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
6	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
7	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
8	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
9	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
10	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
11	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
12	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
13	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
14	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
15	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
16	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
17	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
18	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
19	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
20	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
21	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
22	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
23	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
24	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
25	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
26	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
27	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
28	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
29	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
30	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
31	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
32	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
33	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
34	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
35	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
36	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
37	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
38	0.269274	3.04875	1.19006	1.27613	0.491908	29.782	0.641481	18.45	15.4357	1.41281	5.47284	0.119536	2.99481	2800	900	50	500
