Time	[α-factor]	[Ste2]	[Ste2active]	[Gαβγ]	[GαGTP]	[Gβγ]	[GαGDP]	[complexC]	[complexD]	[Ste5]	[Ste11]	[complexA]	[Ste7]	[Fus3]	[complexB]	[Ste20]	[complexE]	[complexF]	[complexG]	[complexH]	[complexI]	[complexL]	[Fus3PP]	[complexK]	[Ste12]	[Ste12active]	[Bar1]	[Bar1active]	[Bar1activeEx]	[Far1]	[Far1PP]	[Far1ubiquitin]	[complexM]	[complexN]	[Cdc28]	[Sst2]	[p]
66	4.09904e-36	289.951	7.83545e-19	1665.35	9.18945e-17	1.54221e-05	1.32022	235.906	7.75752e-08	154.653	154.653	109.029	41.5593	572.849	72.1234	999.589	2.42856e-05	4.67347e-06	6.27643e-07	3.93955e-06	0.259652	0.00636562	0.795867	0.145325	82.0787	117.921	0.874149	103.242	95.8838	0.00112066	0.00633041	481.483	0.908831	17.6009	282.399	8.8084	0
67	-2.35694e-36	283.075	3.38329e-19	1665.39	5.74847e-17	1.48833e-05	1.28082	236.026	7.4901e-08	154.691	154.691	108.902	41.3478	576.079	72.2449	999.619	2.34489e-05	4.51243e-06	6.06016e-07	3.80379e-06	0.240509	0.00586325	0.742273	0.134611	85.4679	114.532	0.890808	102.198	96.911	0.00112033	0.0063283	481.489	0.899788	17.6036	282.396	7.69528	0
68	-2.10848e-37	276.362	1.46376e-19	1665.42	3.67246e-17	1.43668e-05	1.2439	236.144	7.23357e-08	154.728	154.728	108.775	41.1382	579.309	72.3649	999.647	2.2646e-05	4.35792e-06	5.85264e-07	3.67352e-06	0.222875	0.00540312	0.692761	0.124742	88.858	111.142	0.90857	101.164	97.9278	0.00111999	0.00632619	481.495	0.890835	17.6062	282.394	6.72685	0
69	1.2845e-38	269.809	6.32086e-20	1665.46	2.39368e-17	1.38725e-05	1.20927	236.259	6.9879e-08	154.764	154.764	108.65	40.931	582.53	72.4831	999.673	2.18771e-05	4.20991e-06	5.65386e-07	3.54873e-06	0.206626	0.0049815	0.646981	0.115647	92.2413	107.759	0.927473	100.138	98.9343	0.00111965	0.00632407	481.502	0.881971	17.6088	282.391	5.88426	0
70	-2.75689e-38	263.41	2.72102e-20	1665.49	1.58974e-17	1.34002e-05	1.17674	236.37	6.753e-08	154.799	154.799	108.528	40.7266	585.737	72.5995	999.696	2.11416e-05	4.06836e-06	5.46376e-07	3.42939e-06	0.191644	0.00459504	0.604615	0.107263	95.6104	104.39	0.947556	99.1218	99.9306	0.0011193	0.00632196	481.508	0.873195	17.6112	282.389	5.151	0
71	1.07019e-38	257.164	1.17357e-20	1665.52	1.07527e-17	1.29495e-05	1.14614	236.479	6.52871e-08	154.833	154.833	108.407	40.5253	588.923	72.7139	999.718	2.04394e-05	3.93318e-06	5.28221e-07	3.31541e-06	0.177825	0.00424065	0.565375	0.0995282	98.9587	101.041	0.968861	98.1143	100.917	0.00111896	0.00631985	481.514	0.864507	17.6136	282.386	4.51262	0
72	7.63569e-40	251.065	5.03302e-21	1665.55	7.39398e-18	1.252e-05	1.11732	236.585	6.31485e-08	154.866	154.866	108.288	40.3275	592.082	72.8261	999.739	1.97696e-05	3.80427e-06	5.10907e-07	3.20671e-06	0.165072	0.00391554	0.528999	0.0923906	102.279	97.7207	0.991432	97.1156	101.893	0.0011186	0.00631774	481.521	0.855905	17.6159	282.384	3.95655	0
73	4.69018e-40	245.111	2.17429e-21	1665.58	5.16297e-18	1.21111e-05	1.09014	236.688	6.11117e-08	154.898	154.898	108.172	40.1335	595.208	72.936	999.757	1.91317e-05	3.68147e-06	4.94414e-07	3.10316e-06	0.153297	0.00361715	0.495248	0.0858005	105.566	94.4336	1.01532	96.1255	102.859	0.00111825	0.00631562	481.527	0.847389	17.6181	282.382	3.47187	0
74	2.2087e-41	239.299	9.3909e-22	1665.6	3.65517e-18	1.17224e-05	1.06447	236.788	5.9174e-08	154.929	154.929	108.058	39.9435	598.297	73.0435	999.774	1.85247e-05	3.56463e-06	4.78723e-07	3.00464e-06	0.14242	0.00334317	0.463907	0.0797129	108.814	91.1859	1.04056	95.1439	103.815	0.0011179	0.00631351	481.533	0.838957	17.6202	282.38	3.04908	0
75	3.18822e-42	233.624	3.93027e-22	1665.63	2.61977e-18	1.13532e-05	1.04019	236.884	5.73326e-08	154.959	154.959	107.947	39.7578	601.343	73.1484	999.79	1.79478e-05	3.45359e-06	4.63809e-07	2.911e-06	0.132368	0.00309148	0.434778	0.0740869	112.017	87.9827	1.06722	94.1707	104.762	0.00111754	0.00631139	481.54	0.830609	17.6222	282.378	2.68	0
76	1.01244e-43	228.084	1.54274e-22	1665.65	1.8981e-18	1.10029e-05	1.0172	236.978	5.55843e-08	154.988	154.988	107.839	39.5764	604.343	73.2507	999.805	1.74001e-05	3.34814e-06	4.49647e-07	2.82209e-06	0.123074	0.00286015	0.407683	0.068885	115.171	84.8288	1.09535	93.2057	105.699	0.00111718	0.00630927	481.546	0.822345	17.6242	282.376	2.35752	0
77	1.50997e-45	222.675	6.40438e-23	1665.67	1.3885e-18	1.06706e-05	0.995392	237.069	5.39257e-08	155.016	155.016	107.734	39.3997	607.291	73.3504	999.819	1.68804e-05	3.2481e-06	4.3621e-07	2.73772e-06	0.114476	0.00264744	0.38246	0.0640729	118.271	81.7286	1.125	92.2488	106.626	0.00111682	0.00630716	481.552	0.814162	17.6261	282.374	2.0755	0
78	8.06499e-47	217.394	2.55763e-23	1665.69	1.02443e-18	1.03559e-05	0.974684	237.156	5.23535e-08	155.044	155.044	107.631	39.2277	610.185	73.4473	999.831	1.63877e-05	3.15326e-06	4.23473e-07	2.65774e-06	0.106519	0.00245175	0.358961	0.0596194	121.314	78.6859	1.15623	91.2998	107.544	0.00111646	0.00630504	481.559	0.806061	17.6279	282.372	1.82865	0
79	3.65e-47	212.239	1.0985e-23	1665.71	7.61522e-19	1.00578e-05	0.954991	237.241	5.08642e-08	155.07	155.07	107.532	39.0605	613.021	73.5415	999.843	1.5921e-05	3.06341e-06	4.11405e-07	2.58197e-06	0.0991513	0.00227162	0.337051	0.0554959	124.296	75.7042	1.18912	90.3587	108.452	0.0011161	0.00630292	481.565	0.798041	17.6296	282.37	1.61238	0
80	-2.15413e-48	207.206	4.7586e-24	1665.73	5.69843e-19	9.77581e-06	0.93624	237.323	4.94543e-08	155.095	155.095	107.436	38.8981	615.797	73.6329	999.854	1.54791e-05	2.97834e-06	3.9998e-07	2.51023e-06	0.0923265	0.00210573	0.316607	0.0516761	127.214	72.7865	1.22372	89.4251	109.351	0.00111573	0.0063008	481.571	0.7901	17.6312	282.369	1.42272	0
81	6.20507e-48	202.292	2.47584e-24	1665.75	4.28901e-19	9.50907e-06	0.91836	237.402	4.81203e-08	155.12	155.12	107.342	38.7407	618.51	73.7214	999.864	1.5061e-05	2.89784e-06	3.89169e-07	2.44235e-06	0.0860018	0.00195288	0.297517	0.0481362	130.065	69.9353	1.26011	88.4991	110.241	0.00111537	0.00629868	481.578	0.782238	17.6328	282.367	1.25626	0
82	-1.39765e-48	197.495	-2.62719e-24	1665.77	3.24474e-19	9.25691e-06	0.901288	237.478	4.68587e-08	155.144	155.144	107.252	38.5882	621.157	73.8072	999.873	1.46655e-05	2.82171e-06	3.78944e-07	2.37815e-06	0.0801378	0.00181198	0.279679	0.0448541	132.847	67.1529	1.29836	87.5805	111.121	0.001115	0.00629656	481.584	0.774455	17.6343	282.366	1.11002	0
83	5.26496e-48	192.812	-5.23782e-24	1665.78	2.46566e-19	9.01863e-06	0.884969	237.551	4.5666e-08	155.166	155.166	107.164	38.4407	623.738	73.8901	999.882	1.42916e-05	2.74974e-06	3.69278e-07	2.31745e-06	0.0746988	0.00168201	0.262999	0.0418099	135.559	64.441	1.33855	86.6691	111.992	0.00111463	0.00629443	481.59	0.766749	17.6357	282.364	0.981422	0
84	1.13468e-47	188.239	-9.4273e-24	1665.8	1.88127e-19	8.79354e-06	0.869347	237.621	4.4539e-08	155.188	155.188	107.08	38.2981	626.251	73.9702	999.89	1.39383e-05	2.68172e-06	3.60142e-07	2.26009e-06	0.0696517	0.00156208	0.247393	0.0389851	138.199	61.8013	1.38075	85.7647	112.855	0.00111427	0.00629231	481.596	0.75912	17.637	282.363	0.868253	0
85	1.90473e-48	183.775	-1.23537e-23	1665.81	1.43981e-19	8.58098e-06	0.854374	237.689	4.34743e-08	155.209	155.209	106.999	38.1604	628.694	74.0476	999.897	1.36046e-05	2.61747e-06	3.51512e-07	2.2059e-06	0.0649665	0.00145135	0.232782	0.0363628	140.765	59.2347	1.42506	84.8672	113.708	0.0011139	0.00629018	481.603	0.751566	17.6383	282.362	0.768572	0
86	9.28453e-50	179.417	-5.33747e-24	1665.83	1.10544e-19	8.38031e-06	0.840007	237.754	4.24688e-08	155.229	155.229	106.92	38.0275	631.068	74.1222	999.904	1.32894e-05	2.55678e-06	3.43362e-07	2.15472e-06	0.0606155	0.00134905	0.219095	0.0339275	143.258	56.7422	1.47157	83.9765	114.552	0.00111353	0.00628806	481.609	0.744088	17.6395	282.361	0.680703	0
87	6.04636e-51	175.162	-2.30981e-24	1665.84	8.51201e-20	8.19089e-06	0.826203	237.817	4.15194e-08	155.249	155.249	106.845	37.8995	633.37	74.1941	999.91	1.29917e-05	2.49948e-06	3.35665e-07	2.10639e-06	0.0565732	0.00125452	0.206265	0.031665	145.676	54.3242	1.52037	83.0924	115.387	0.00111316	0.00628593	481.615	0.736684	17.6406	282.359	0.603187	0
88	7.27843e-54	171.008	-1.15597e-24	1665.85	6.57094e-20	8.01214e-06	0.812926	237.877	4.06231e-08	155.267	155.267	106.772	37.7762	635.602	74.2634	999.916	1.27107e-05	2.44538e-06	3.284e-07	2.06077e-06	0.0528163	0.0011671	0.194234	0.0295623	148.019	51.981	1.57155	82.2147	116.214	0.00111279	0.00628381	481.622	0.729354	17.6417	282.358	0.534751	0
89	2.04018e-51	166.953	3.84449e-24	1665.87	5.08437e-20	7.84346e-06	0.800139	237.934	3.97772e-08	155.285	155.285	106.702	37.6575	637.763	74.33	999.922	1.24455e-05	2.39432e-06	3.21542e-07	2.01771e-06	0.0493235	0.00108622	0.182944	0.0276073	150.287	49.7127	1.62521	81.3432	117.032	0.00111242	0.00628168	481.628	0.722097	17.6426	282.357	0.47429	0
90	-8.15624e-52	162.994	8.50133e-24	1665.88	3.94526e-20	7.68433e-06	0.787812	237.99	3.89789e-08	155.302	155.302	106.635	37.5434	639.853	74.394	999.927	1.21952e-05	2.34613e-06	3.1507e-07	1.97706e-06	0.0460749	0.00101137	0.172347	0.025789	152.481	47.5189	1.68148	80.4779	117.841	0.00111205	0.00627955	481.634	0.714912	17.6435	282.356	0.42084	0
91	-1.40395e-52	159.129	3.21543e-24	1665.89	3.06631e-20	7.53419e-06	0.775914	238.043	3.82255e-08	155.319	155.319	106.57	37.4338	641.873	74.4556	999.932	1.1959e-05	2.30066e-06	3.08962e-07	1.93871e-06	0.0430524	0.000942054	0.162394	0.0240973	154.601	45.3993	1.74044	79.6184	118.641	0.00111167	0.00627742	481.64	0.707799	17.6444	282.356	0.373556	0
92	1.65908e-52	155.355	5.31175e-24	1665.9	2.38591e-20	7.39257e-06	0.76442	238.093	3.75146e-08	155.335	155.335	106.509	37.3285	643.823	74.5147	999.936	1.17361e-05	2.25774e-06	3.03199e-07	1.90252e-06	0.0402394	0.000877836	0.153042	0.0225228	156.647	43.3533	1.80222	78.7647	119.433	0.0011113	0.00627529	481.647	0.700756	17.6451	282.355	0.331704	0
93	-3.92968e-52	151.671	7.13881e-24	1665.91	1.86051e-20	7.25897e-06	0.753302	238.142	3.68439e-08	155.35	155.35	106.449	37.2275	645.704	74.5714	999.94	1.15258e-05	2.21726e-06	2.97761e-07	1.86838e-06	0.0376205	0.000818315	0.144252	0.021057	158.62	41.38	1.86695	77.9166	120.216	0.00111093	0.00627316	481.653	0.693783	17.6458	282.354	0.294638	0
94	-1.70664e-52	148.074	7.40754e-24	1665.92	1.45409e-20	7.13295e-06	0.742539	238.188	3.6211e-08	155.364	155.364	106.392	37.1307	647.517	74.6257	999.944	1.13274e-05	2.17905e-06	2.9263e-07	1.83616e-06	0.0351816	0.000763123	0.135987	0.0196919	160.521	39.4785	1.93473	77.0739	120.991	0.00111055	0.00627103	481.659	0.68688	17.6465	282.354	0.261793	0
95	3.07476e-53	144.563	3.16338e-24	1665.93	1.13741e-20	7.01407e-06	0.732109	238.232	3.56139e-08	155.378	155.378	106.338	37.0379	649.263	74.6778	999.948	1.11401e-05	2.14301e-06	2.87789e-07	1.80576e-06	0.0329095	0.000711921	0.128213	0.0184202	162.352	37.6478	2.0057	76.2363	121.758	0.00111018	0.0062689	481.666	0.680045	17.647	282.353	0.232675	0
96	-2.18388e-53	141.134	1.31434e-24	1665.94	8.89216e-21	6.90193e-06	0.721993	238.275	3.50506e-08	155.391	155.391	106.286	36.9491	650.942	74.7277	999.951	1.09635e-05	2.109e-06	2.83221e-07	1.77707e-06	0.0307923	0.000664403	0.120898	0.0172351	164.113	35.8866	2.08	75.4039	122.516	0.0011098	0.00626677	481.672	0.673279	17.6476	282.352	0.206849	0
97	7.38844e-54	137.788	-1.20661e-25	1665.95	6.95306e-21	6.79614e-06	0.712171	238.315	3.4519e-08	155.403	155.403	106.236	36.8641	652.557	74.7754	999.954	1.07968e-05	2.07691e-06	2.78911e-07	1.75001e-06	0.0288188	0.000620283	0.114014	0.0161306	165.806	34.1935	2.15775	74.5762	123.266	0.00110943	0.00626463	481.678	0.66658	17.648	282.352	0.183934	0
98	-6.06914e-55	134.52	2.30071e-24	1665.96	5.44544e-21	6.69635e-06	0.702627	238.354	3.40174e-08	155.415	155.415	106.188	36.7827	654.108	74.821	999.957	1.06395e-05	2.04663e-06	2.74844e-07	1.72447e-06	0.0269788	0.000579304	0.107532	0.0151007	167.433	32.5673	2.23909	73.7532	124.008	0.00110905	0.0062625	481.684	0.659947	17.6484	282.352	0.163592	0
99	-4.13274e-55	131.33	2.20994e-24	1665.97	4.27481e-21	6.60219e-06	0.693346	238.39	3.35441e-08	155.427	155.427	106.143	36.705	655.598	74.8647	999.96	1.04911e-05	2.01806e-06	2.71007e-07	1.70038e-06	0.0252628	0.000541226	0.101429	0.0141402	168.994	31.0064	2.32418	72.9347	124.741	0.00110868	0.00626036	481.691	0.65338	17.6487	282.351	0.145529	0
100	5.08391e-55	128.216	9.63009e-25	1665.98	3.35525e-21	6.51335e-06	0.684312	238.425	3.30974e-08	155.438	155.438	106.1	36.6307	657.026	74.9064	999.963	1.03511e-05	1.99109e-06	2.67385e-07	1.67764e-06	0.0236621	0.00050583	0.0956805	0.0132442	170.491	29.5093	2.41316	72.1204	125.466	0.0011083	0.00625823	481.697	0.646879	17.6489	282.351	0.129484	0
