Time	[α-factor]	[Ste2]	[Ste2active]	[Gαβγ]	[GαGTP]	[Gβγ]	[GαGDP]	[complexC]	[complexD]	[Ste5]	[Ste11]	[complexA]	[Ste7]	[Fus3]	[complexB]	[Ste20]	[complexE]	[complexF]	[complexG]	[complexH]	[complexI]	[complexL]	[Fus3PP]	[complexK]	[Ste12]	[Ste12active]	[Bar1]	[Bar1active]	[Bar1activeEx]	[Far1]	[Far1PP]	[Far1ubiquitin]	[complexM]	[complexN]	[Cdc28]	[Sst2]	[p]
14	0.489391	1008.23	2.67204	1626.35	2.51842	0.000259532	37.7962	203.752	1.17464e-06	143.94	143.94	113.522	47.6253	431.677	59.8366	961.214	0.000362745	7.03504e-05	9.45887e-06	5.9809e-05	24.3608	0.792322	68.3526	13.6321	1.61232	198.388	0.87607	173.721	25.4026	0.000570939	0.00653971	481.178	1.52868	17.2859	282.714	199.434	0
15	0.22254	985.096	1.41401	1630.1	1.34452	0.000168074	35.218	206.629	7.68347e-07	144.933	144.933	113.389	47.5702	438.273	60.7517	964.951	0.000237708	4.60725e-05	6.19406e-06	3.9143e-05	22.0205	0.705437	61.7848	12.3226	1.78217	198.218	0.868133	172.001	27.1312	0.000610735	0.00653079	481.182	1.51347	17.2977	282.702	199.306	0
16	0.0961065	962.173	0.723187	1633.45	0.693356	0.000114026	32.5212	209.197	5.25798e-07	145.814	145.814	113.273	47.519	444.192	61.5683	968.284	0.000162659	3.14934e-05	4.23337e-06	2.67261e-05	19.9319	0.630027	55.9238	11.1539	1.9671	198.033	0.860333	170.297	28.8426	0.000651784	0.00652156	481.185	1.49841	17.3092	282.691	199.151	0
17	0.0394375	939.592	0.358568	1636.45	0.346446	8.28065e-05	29.8724	211.495	3.84717e-07	146.598	146.598	113.172	47.4707	449.524	62.2994	971.265	0.000118817	2.29719e-05	3.08724e-06	1.94641e-05	18.0628	0.564184	50.6793	10.1081	2.16844	197.832	0.852675	168.61	30.5372	0.000693374	0.00651214	481.189	1.4835	17.3202	282.68	198.965	0
18	0.015385	917.433	0.172917	1639.14	0.168282	6.51658e-05	27.3632	213.557	3.04762e-07	147.298	147.298	113.082	47.4247	454.344	62.9559	973.937	9.39029e-05	1.81269e-05	2.43555e-06	1.53329e-05	16.3862	0.506393	45.9752	9.16994	2.38764	197.612	0.845161	166.94	32.2149	0.000734763	0.00650269	481.193	1.46874	17.3309	282.669	198.742	0
19	0.00570868	895.738	0.0813851	1641.55	0.0797394	5.53622e-05	25.0359	215.411	2.60439e-07	147.925	147.925	113.002	47.3804	458.715	63.547	976.339	8.00903e-05	1.54396e-05	2.07407e-06	1.30405e-05	14.8792	0.455444	41.747	8.32665	2.62626	197.374	0.837797	165.286	33.876	0.000775236	0.00649336	481.197	1.45412	17.3412	282.659	198.474	0
20	0.00201576	874.526	0.0375168	1643.73	0.036991	4.99413e-05	22.9025	217.083	2.36185e-07	148.488	148.488	112.93	47.3371	462.694	64.0805	978.5	7.25622e-05	1.39747e-05	1.87701e-06	1.17904e-05	13.5221	0.410348	37.9396	7.56724	2.88597	197.114	0.830586	163.649	35.5207	0.000814146	0.00648427	481.202	1.43965	17.3512	282.649	198.152	0
21	0.000677676	853.802	0.0169985	1645.69	0.0168604	4.68981e-05	20.9592	218.592	2.22861e-07	148.994	148.994	112.864	47.2945	466.328	64.5632	980.449	6.84692e-05	1.31783e-05	1.76989e-06	1.1111e-05	12.2981	0.370297	34.5057	6.88226	3.16859	196.831	0.823533	162.027	37.149	0.00085095	0.00647552	481.207	1.42533	17.3608	282.639	197.768	0
22	0.000217018	833.561	0.00759564	1647.46	0.0075771	4.51102e-05	19.1943	219.956	2.153e-07	149.45	149.45	112.803	47.2521	469.659	65.001	982.209	6.61911e-05	1.27354e-05	1.71031e-06	1.07335e-05	11.1924	0.334618	31.4041	6.26355	3.47605	196.524	0.816644	160.422	38.7613	0.000885237	0.00646722	481.211	1.41115	17.37	282.63	197.308	0
23	6.62316e-05	813.796	0.00335773	1649.07	0.00336834	4.39698e-05	17.593	221.192	2.10687e-07	149.862	149.862	112.746	47.2094	472.723	65.3988	983.801	6.48398e-05	1.24732e-05	1.67505e-06	1.05103e-05	10.1925	0.302749	28.5992	5.70397	3.81042	196.19	0.809925	158.833	40.3575	0.000916731	0.0064594	481.217	1.39711	17.3789	282.621	196.76	0
24	1.92726e-05	794.499	0.00147248	1650.52	0.00148551	4.31568e-05	16.1404	222.314	2.07532e-07	150.235	150.235	112.693	47.1662	475.555	65.7613	985.241	6.39442e-05	1.22998e-05	1.65174e-06	1.03632e-05	9.28706	0.274215	26.0597	5.19731	4.17393	195.826	0.803382	157.259	41.938	0.000945288	0.00645211	481.222	1.38321	17.3876	282.612	196.107	0
25	5.34971e-06	775.659	0.00064205	1651.84	0.000651566	4.25065e-05	14.8221	223.333	2.05068e-07	150.573	150.573	112.642	47.1219	478.181	66.0923	986.547	6.32607e-05	1.21678e-05	1.63401e-06	1.02516e-05	8.46647	0.248614	23.7582	4.73809	4.56895	195.431	0.797022	155.7	43.5028	0.000970881	0.00644535	481.227	1.36944	17.3959	282.604	195.331	0
26	1.41721e-06	757.265	0.000278869	1653.04	0.000284808	4.1935e-05	13.6248	224.259	2.02906e-07	150.879	150.879	112.592	47.0763	480.63	66.3953	987.731	6.26661e-05	1.20533e-05	1.61863e-06	1.01549e-05	7.72205	0.2256	21.6704	4.32151	4.99803	195.002	0.790853	154.157	45.052	0.000993578	0.00643911	481.233	1.35582	17.4039	282.596	194.411	0
27	3.58471e-07	739.307	0.000120818	1654.13	0.000124264	4.13999e-05	12.5367	225.103	2.00853e-07	151.158	151.158	112.544	47.0291	482.923	66.6733	988.806	6.20991e-05	1.19442e-05	1.60398e-06	1.0063e-05	7.0462	0.204879	19.7752	3.94329	5.46386	194.536	0.784882	152.629	46.586	0.00101352	0.00643337	481.238	1.34233	17.4118	282.588	193.322	0
28	8.66144e-08	721.775	5.22619e-05	1655.12	5.41834e-05	4.08792e-05	11.547	225.873	1.98809e-07	151.412	151.412	112.497	46.9798	485.082	66.9291	989.782	6.1529e-05	1.18346e-05	1.58927e-06	9.97073e-06	6.43214	0.186193	18.0533	3.59966	5.96929	194.031	0.779118	151.116	48.1047	0.0010309	0.00642809	481.244	1.32897	17.4193	282.581	192.036	0
29	2.00007e-08	704.658	2.2586e-05	1656.02	2.36319e-05	4.03613e-05	10.6463	226.576	1.96725e-07	151.643	151.643	112.45	46.9282	487.127	67.1652	990.669	6.09406e-05	1.17216e-05	1.57408e-06	9.87557e-06	5.87387	0.169319	16.4881	3.28723	6.51735	193.483	0.77357	149.618	49.6083	0.00104593	0.00642324	481.25	1.31575	17.4267	282.573	190.522	0
30	4.41595e-09	687.948	9.75591e-06	1656.84	1.03166e-05	3.98396e-05	9.82586	227.219	1.94576e-07	151.854	151.854	112.404	46.874	489.075	67.3838	991.477	6.0326e-05	1.16035e-05	1.55823e-06	9.7762e-06	5.366	0.154064	15.0643	3.00302	7.11124	192.889	0.76825	148.135	51.0971	0.00105885	0.00641878	481.256	1.30265	17.4338	282.566	188.746	0
31	9.32577e-10	671.634	4.21286e-06	1657.59	4.51039e-06	3.931e-05	9.07816	227.808	1.92345e-07	152.047	152.047	112.356	46.8167	490.943	67.5868	992.212	5.9681e-05	1.14796e-05	1.54159e-06	9.67192e-06	4.90375	0.140257	13.7686	2.74434	7.75431	192.246	0.763166	146.666	52.5711	0.00106989	0.00641465	481.262	1.28969	17.4407	282.559	186.672	0
32	1.8846e-10	655.706	1.81896e-06	1658.27	1.97571e-06	3.87698e-05	8.3963	228.348	1.90024e-07	152.224	152.224	112.308	46.7562	492.745	67.776	992.881	5.90033e-05	1.13494e-05	1.52411e-06	9.56235e-06	4.48281	0.127749	12.5888	2.50877	8.45006	191.55	0.758331	145.211	54.0304	0.00107929	0.00641082	481.268	1.27686	17.4475	282.553	184.257	0
33	3.64668e-11	640.157	7.85309e-07	1658.89	8.6746e-07	3.8217e-05	7.77415	228.845	1.87608e-07	152.387	152.387	112.258	46.692	494.496	67.9532	993.49	5.82914e-05	1.12126e-05	1.50574e-06	9.44725e-06	4.09932	0.116407	11.5142	2.29415	9.20213	190.798	0.753757	143.771	55.4753	0.00108724	0.00640726	481.274	1.26415	17.4541	282.546	181.462	0
34	6.76149e-12	624.976	3.39037e-07	1659.46	3.81924e-07	3.76501e-05	7.20615	229.302	1.85091e-07	152.536	152.536	112.208	46.6238	496.209	68.1197	994.045	5.75444e-05	1.10691e-05	1.48647e-06	9.32648e-06	3.74979	0.106114	10.535	2.09855	10.0143	189.986	0.749458	142.345	56.9059	0.00109394	0.00640392	481.28	1.25158	17.4605	282.54	178.244	0
35	1.20107e-12	610.155	1.46368e-07	1659.98	1.68691e-07	3.70679e-05	6.68733	229.724	1.82472e-07	152.673	152.673	112.155	46.5514	497.896	68.2769	994.552	5.67619e-05	1.09187e-05	1.46629e-06	9.19996e-06	3.43111	0.0967674	9.64235	1.92021	10.8905	189.109	0.745446	140.932	58.3223	0.00109957	0.00640077	481.287	1.23912	17.4667	282.533	174.562	0
36	2.04367e-13	595.686	6.31883e-08	1660.45	7.47804e-08	3.64697e-05	6.21319	230.113	1.79749e-07	152.8	152.8	112.1	46.4743	499.569	68.4261	995.014	5.59437e-05	1.07615e-05	1.44518e-06	9.06766e-06	3.14046	0.0882738	8.82842	1.75755	11.8347	188.165	0.741737	139.534	59.7246	0.00110428	0.00639779	481.293	1.22679	17.4728	282.527	170.38	0
