Time	[R]	[L]	[RL]	[Gabg]	[RGabg]	[RGabgL]	[GaGTP]	[Gbg]	[RGS]	[RGSGaGTP]	[GaGDPP]	[Effector]	[GaGTPEffector]	[inertGaGTP]	[RGSinertGaGTP]	[GaGDP]	[P]	[z1]	[z2]	[z3]
38	5.8306	3.37392e-12	0.0997922	5.20271	199.069	0.000207781	3.31298e-05	0.727689	59.3446	0.397284	0.00107066	204.93	0.0697304	2.35003e-05	0.258075	0.00147132	0.107345	0.0710009	0.0723196	0.0736894
39	5.68273	1.09236e-12	0.0997973	5.07404	199.217	0.00020265	3.23016e-05	0.708489	59.362	0.387366	0.00104362	204.932	0.0679403	2.28903e-05	0.250611	0.00147303	0.104627	0.0691451	0.0703943	0.0716906
40	5.54208	3.34467e-13	0.0998022	4.95159	199.358	0.000197767	3.15139e-05	0.690295	59.3785	0.377931	0.00101793	204.934	0.0662401	2.23113e-05	0.243577	0.00147462	0.102045	0.0673841	0.0685692	0.0697977
41	5.40814	1.07369e-13	0.0998069	4.83492	199.492	0.000193114	3.07638e-05	0.673027	59.3941	0.368946	0.00099347	204.935	0.0646232	2.1761e-05	0.236935	0.00147612	0.0995868	0.0657109	0.0668366	0.0680025
42	5.28045	1.45327e-14	0.0998113	4.72365	199.62	0.000188676	3.00488e-05	0.656615	59.409	0.36038	0.000970168	204.937	0.0630837	2.12372e-05	0.230653	0.00147753	0.0972454	0.0641191	0.0651898	0.0662977
43	5.15858	-2.34819e-14	0.0998156	4.61739	199.741	0.000184438	2.93663e-05	0.640998	59.4231	0.352203	0.000947941	204.938	0.0616161	2.07382e-05	0.224702	0.00147885	0.0950123	0.0626029	0.0636225	0.0646766
44	5.04213	-2.23488e-14	0.0998196	4.51583	199.858	0.000180387	2.87143e-05	0.626119	59.4366	0.344391	0.000926716	204.94	0.0602156	2.02623e-05	0.219056	0.00148009	0.09288	0.0611571	0.0621291	0.0631333
45	4.93077	-8.46082e-15	0.0998235	4.41867	199.969	0.000176511	2.80908e-05	0.611925	59.4494	0.336919	0.000906426	204.941	0.0588776	1.98078e-05	0.213693	0.00148127	0.0908419	0.0597769	0.0607046	0.0616623
46	4.82416	-9.85971e-16	0.0998272	4.32561	200.076	0.000172798	2.74939e-05	0.598371	59.4616	0.329767	0.000887013	204.942	0.0575981	1.93733e-05	0.20859	0.00148238	0.088892	0.0584579	0.0593443	0.0602587
47	4.722	-6.63804e-16	0.0998308	4.23642	200.178	0.00016924	2.6922e-05	0.585413	59.4734	0.322913	0.000868419	204.944	0.0563734	1.89576e-05	0.20373	0.00148343	0.0870247	0.0571963	0.058044	0.0589179
48	4.62403	-1.53002e-15	0.0998342	4.15085	200.276	0.000165825	2.63736e-05	0.573014	59.4846	0.316339	0.000850594	204.945	0.0552	1.85595e-05	0.199094	0.00148442	0.0852347	0.0559883	0.0567998	0.0576358
49	4.52998	-3.26016e-16	0.0998375	4.06868	200.37	0.000162547	2.58471e-05	0.561136	59.4953	0.31003	0.000833492	204.946	0.0540748	1.81779e-05	0.194669	0.00148536	0.0835175	0.0548305	0.0556082	0.0564087
50	4.43964	1.57084e-15	0.0998406	3.98973	200.46	0.000159397	2.53415e-05	0.549749	59.5056	0.303969	0.00081707	204.947	0.0529949	1.78118e-05	0.190439	0.00148626	0.0818686	0.0537201	0.0544659	0.0552331
51	4.35279	1.98705e-15	0.0998436	3.91381	200.547	0.000156367	2.48554e-05	0.538822	59.5155	0.298142	0.000801287	204.948	0.0519575	1.74603e-05	0.186392	0.00148711	0.0802841	0.052654	0.0533699	0.0541059
52	4.26922	6.2693e-16	0.0998465	3.84074	200.631	0.000153451	2.43877e-05	0.528327	59.5249	0.292535	0.000786108	204.949	0.0509603	1.71224e-05	0.182516	0.00148792	0.0787603	0.0516297	0.0523174	0.0530241
53	4.18876	-2.4497e-15	0.0998494	3.77037	200.711	0.000150643	2.39374e-05	0.518239	59.5341	0.287137	0.000771498	204.95	0.0500009	1.67975e-05	0.1788	0.00148869	0.0772937	0.0506449	0.051306	0.051985
54	4.11123	-3.17199e-15	0.0998521	3.70255	200.789	0.000147936	2.35036e-05	0.508536	59.5428	0.281937	0.000757426	204.951	0.0490773	1.64848e-05	0.175235	0.00148942	0.0758813	0.0496972	0.0503333	0.0509862
55	4.03649	-2.73308e-15	0.0998547	3.63715	200.864	0.000145326	2.30854e-05	0.499194	59.5513	0.276923	0.000743863	204.952	0.0481875	1.61836e-05	0.171811	0.00149013	0.07452	0.0487846	0.049397	0.0500254
56	3.96437	-7.09062e-16	0.0998572	3.57403	200.936	0.000142807	2.26819e-05	0.490196	59.5594	0.272085	0.000730782	204.953	0.0473296	1.58933e-05	0.168521	0.00149079	0.0732071	0.0479052	0.0484953	0.0491004
57	3.89476	5.81602e-16	0.0998596	3.51309	201.005	0.000140374	2.22924e-05	0.481521	59.5672	0.267415	0.000718157	204.953	0.0465021	1.56134e-05	0.165356	0.00149143	0.0719402	0.0470573	0.0476262	0.0482094
58	3.82751	1.30435e-15	0.099862	3.45422	201.072	0.000138024	2.19162e-05	0.473152	59.5748	0.262904	0.000705966	204.954	0.0457032	1.53432e-05	0.16231	0.00149205	0.0707168	0.0462391	0.046788	0.0473503
59	3.76251	5.64926e-16	0.0998642	3.3973	201.137	0.000135752	2.15526e-05	0.465074	59.5821	0.258544	0.000694185	204.955	0.0449316	1.50823e-05	0.159375	0.00149263	0.0695347	0.0454491	0.045979	0.0465217
