Time	[PolyQ]	[Proteasome]	[NatP]	[MisP]	[MisP_Proteasome]	[AggP1]	[AggP2]	[AggP3]	[AggP4]	[AggP5]	[AggPolyQ1]	[AggPolyQ2]	[AggPolyQ3]	[AggPolyQ4]	[AggPolyQ5]	[SeqAggP]	[AggP_Proteasome]	[mRFPu]	[mRFPu_Proteasome]	[PolyQ_Proteasome]	[ROS]	[p38_P]	[p38]	[Source]	[Sink]	[p38death]	[PIdeath]
15	998.982	997.099	19530.2	5.84759	0.00208335	6.35704e-10	1.01917e-18	1.34069e-27	1.9116e-36	2.12912e-45	0.187039	3.50479e-05	4.37804e-09	4.10158e-13	3.07359e-17	2.74835e-20	7.00456e-06	299.824	2.16383	0.734649	9.9959	0.0738429	99.9262	1	1	5.01029e-08	8.76177e-13
16	998.915	996.913	19532.2	6.23726	0.00236235	7.88105e-10	1.44873e-18	2.09807e-27	3.00789e-36	3.30403e-45	0.199489	3.98713e-05	5.31236e-09	5.30845e-13	4.24303e-17	4.02623e-20	7.96818e-06	299.813	2.30212	0.78255	9.99566	0.0786845	99.9213	1	1	5.69667e-08	1.06321e-12
17	998.847	996.727	19534.2	6.62691	0.00265784	9.62862e-10	2.01117e-18	3.21977e-27	4.90154e-36	5.90744e-45	0.211937	4.50048e-05	6.37083e-09	6.76372e-13	5.74393e-17	5.76558e-20	8.99369e-06	299.801	2.4397	0.830319	9.99542	0.083516	99.9165	1	1	6.42658e-08	1.2751e-12
18	998.779	996.543	19536.2	7.01655	0.00296966	1.16149e-09	2.73499e-18	4.8778e-27	8.27797e-36	1.16126e-44	0.224383	5.04483e-05	7.56116e-09	8.49928e-13	7.6421e-17	8.09887e-20	1.00811e-05	299.79	2.57655	0.877957	9.99518	0.0883375	99.9117	1	1	7.19992e-08	1.51341e-12
19	998.712	996.359	19538.2	7.40616	0.00329762	1.38551e-09	3.6525e-18	7.25295e-27	1.37475e-35	2.1817e-44	0.236826	5.62017e-05	8.89106e-09	1.05489e-12	1.00116e-16	1.11778e-19	1.12302e-05	299.778	2.71269	0.925462	9.99494	0.093149	99.9069	1	1	8.01662e-08	1.77967e-12
20	998.644	996.175	19540.2	7.79576	0.00364157	1.63643e-09	4.80002e-18	1.0567e-26	2.20679e-35	3.82607e-44	0.249266	6.22649e-05	1.03682e-08	1.29484e-12	1.29351e-16	1.51814e-19	1.24412e-05	299.767	2.84811	0.972837	9.99471	0.0979505	99.902	1	1	8.87658e-08	2.07543e-12
21	998.576	995.993	19542.2	8.18533	0.00400133	1.91578e-09	6.21816e-18	1.50886e-26	3.41645e-35	6.30726e-44	0.261704	6.86377e-05	1.20004e-08	1.57354e-12	1.65044e-16	2.03197e-19	1.3714e-05	299.756	2.98283	1.02008	9.99449	0.102742	99.8973	1	1	9.7797e-08	2.40225e-12
22	998.509	995.812	19544.2	8.57489	0.00437674	2.22506e-09	7.95202e-18	2.11393e-26	5.11522e-35	9.88191e-44	0.27414	7.53201e-05	1.37952e-08	1.89493e-12	2.08209e-16	2.68367e-19	1.50485e-05	299.744	3.11684	1.06719	9.99426	0.107524	99.8925	1	1	1.07259e-07	2.76165e-12
23	998.441	995.631	19546.2	8.96443	0.00476764	2.5658e-09	1.00514e-17	2.91002e-26	7.43577e-35	1.48555e-43	0.286574	8.23118e-05	1.57603e-08	2.26317e-12	2.59961e-16	3.50142e-19	1.64446e-05	299.733	3.25015	1.11418	9.99404	0.112296	99.8877	1	1	1.17151e-07	3.15518e-12
24	998.373	995.451	19548.2	9.35395	0.00517386	2.9395e-09	1.25712e-17	3.94514e-26	1.0598e-34	2.19923e-43	0.299005	8.96129e-05	1.79035e-08	2.68259e-12	3.2152e-16	4.51748e-19	1.79025e-05	299.722	3.38276	1.16103	9.99383	0.117057	99.8829	1	1	1.27472e-07	3.58439e-12
25	998.306	995.272	19550.3	9.74345	0.00559525	3.34769e-09	1.55714e-17	5.2902e-26	1.51537e-34	3.40596e-43	0.311434	9.72231e-05	2.02324e-08	3.15772e-12	3.94217e-16	5.76825e-19	1.9422e-05	299.711	3.51468	1.20776	9.99361	0.121809	99.8782	1	1	1.38221e-07	4.05082e-12
26	998.238	995.094	19552.3	10.1329	0.00603164	3.79188e-09	1.91174e-17	7.01965e-26	2.15923e-34	5.33113e-43	0.323861	0.000105142	2.27547e-08	3.69326e-12	4.79496e-16	7.29525e-19	2.10031e-05	299.7	3.64591	1.25435	9.9934	0.126552	99.8734	1	1	1.49397e-07	4.55601e-12
27	998.171	994.916	19554.3	10.5224	0.00648288	4.27359e-09	2.32805e-17	9.21894e-26	3.04742e-34	8.23246e-43	0.336285	0.000113371	2.5478e-08	4.29414e-12	5.78923e-16	9.14535e-19	2.26457e-05	299.689	3.77645	1.30082	9.99319	0.131284	99.8687	1	1	1.61e-07	5.10149e-12
28	998.103	994.74	19556.3	10.9118	0.00694882	4.79433e-09	2.81376e-17	1.19872e-25	4.24703e-34	1.24237e-42	0.348707	0.000121907	2.841e-08	4.96544e-12	6.94187e-16	1.13712e-18	2.43499e-05	299.678	3.90631	1.34716	9.99299	0.136007	99.864	1	1	1.73028e-07	5.68881e-12
29	998.036	994.564	19558.3	11.3013	0.0074293	5.35561e-09	3.37719e-17	1.54387e-25	5.83745e-34	1.82813e-42	0.361127	0.000130753	3.15584e-08	5.71244e-12	8.27104e-16	1.40318e-18	2.61157e-05	299.667	4.03549	1.39337	9.99279	0.140719	99.8593	1	1	1.85481e-07	6.3195e-12
30	997.968	994.389	19560.3	11.6907	0.00792417	5.95894e-09	4.02732e-17	1.97042e-25	7.91172e-34	2.62523e-42	0.373544	0.000139907	3.49307e-08	6.54063e-12	9.79626e-16	1.71927e-18	2.79429e-05	299.656	4.16399	1.43945	9.99259	0.145422	99.8546	1	1	1.98357e-07	6.9951e-12
31	997.901	994.214	19562.3	12.0801	0.00843327	6.60586e-09	4.77375e-17	2.49326e-25	1.05788e-33	3.68713e-42	0.385959	0.00014937	3.85348e-08	7.45567e-12	1.15384e-15	2.09267e-18	2.98315e-05	299.645	4.29183	1.48541	9.9924	0.150116	99.8499	1	1	2.11657e-07	7.71715e-12
32	997.833	994.041	19564.3	12.4694	0.00895647	7.29785e-09	5.6268e-17	3.13099e-25	1.4041e-33	5.16843e-42	0.398372	0.000159141	4.23781e-08	8.4634e-12	1.35199e-15	2.53137e-18	3.17816e-05	299.634	4.41899	1.53124	9.99221	0.154799	99.8452	1	1	2.25378e-07	8.48719e-12
33	997.766	993.868	19566.3	12.8588	0.00949361	8.03645e-09	6.59749e-17	3.90485e-25	1.85432e-33	7.26255e-42	0.410782	0.00016922	4.64684e-08	9.56987e-12	1.57644e-15	3.04414e-18	3.37931e-05	299.623	4.54548	1.57694	9.99203	0.159473	99.8405	1	1	2.3952e-07	9.30675e-12
34	997.698	993.696	19568.3	13.2481	0.0100445	8.82317e-09	7.69756e-17	4.83809e-25	2.43356e-33	1.0156e-41	0.423191	0.000179608	5.08132e-08	1.07813e-11	1.82973e-15	3.64065e-18	3.58659e-05	299.612	4.67132	1.62252	9.99184	0.164138	99.8359	1	1	2.54083e-07	1.01774e-11
35	997.631	993.525	19570.4	13.6375	0.0106091	9.65951e-09	8.93951e-17	5.95691e-25	3.17119e-33	1.40729e-41	0.435597	0.000190303	5.54203e-08	1.21041e-11	2.11454e-15	4.3315e-18	3.80001e-05	299.601	4.7965	1.66797	9.99166	0.168792	99.8312	1	1	2.69065e-07	1.11006e-11
36	997.564	993.354	19572.4	14.0268	0.0111872	1.0547e-08	1.03366e-16	7.29078e-25	4.10136e-33	1.92796e-41	0.448	0.000201306	6.02971e-08	1.3545e-11	2.43374e-15	5.12827e-18	4.01956e-05	299.59	4.92102	1.71329	9.99149	0.173437	99.8266	1	1	2.84465e-07	1.20779e-11
