Time	[PolyQ]	[Proteasome]	[NatP]	[MisP]	[MisP_Proteasome]	[AggP1]	[AggP2]	[AggP3]	[AggP4]	[AggP5]	[AggPolyQ1]	[AggPolyQ2]	[AggPolyQ3]	[AggPolyQ4]	[AggPolyQ5]	[SeqAggP]	[AggP_Proteasome]	[mRFPu]	[mRFPu_Proteasome]	[PolyQ_Proteasome]	[ROS]	[p38_P]	[p38]	[Source]	[Sink]	[p38death]	[PIdeath]
79	994.679	986.703	19658.8	30.7525	0.0470197	1.18532e-07	5.68928e-15	1.95544e-22	5.26911e-30	1.18511e-37	0.979271	0.00096413	6.32661e-07	3.11333e-10	1.2252e-13	5.68745e-16	0.000192203	299.153	9.70131	3.5486	9.98697	0.364368	99.6356	1	1	1.33058e-06	1.26939e-10
80	994.613	986.563	19660.8	31.1412	0.048071	1.23165e-07	6.06322e-15	2.13725e-22	5.90319e-30	1.35952e-37	0.991579	0.000988572	6.56887e-07	3.27334e-10	1.30442e-13	6.13239e-16	0.000197069	299.143	9.80013	3.58874	9.98694	0.36861	99.6314	1	1	1.36356e-06	1.31805e-10
81	994.546	986.423	19662.8	31.5298	0.0491306	1.27918e-07	6.45656e-15	2.33336e-22	6.605e-30	1.55801e-37	1.00388	0.00101332	6.81722e-07	3.43943e-10	1.38768e-13	6.60594e-16	0.000201995	299.134	9.89844	3.62878	9.9869	0.372843	99.6272	1	1	1.39693e-06	1.36793e-10
82	994.479	986.285	19664.8	31.9185	0.0501985	1.32791e-07	6.87005e-15	2.54471e-22	7.38071e-30	1.78339e-37	1.01619	0.00103837	7.07172e-07	3.61174e-10	1.47513e-13	7.10956e-16	0.000206981	299.124	9.99622	3.6687	9.98687	0.377068	99.6229	1	1	1.43067e-06	1.41905e-10
83	994.412	986.147	19666.8	32.3071	0.0512746	1.37785e-07	7.30444e-15	2.77226e-22	8.23697e-30	2.03875e-37	1.02849	0.00106372	7.33246e-07	3.79044e-10	1.56692e-13	7.64475e-16	0.000212028	299.114	10.0935	3.70852	9.98685	0.381284	99.6187	1	1	1.4648e-06	1.47143e-10
84	994.346	986.009	19668.8	32.6958	0.0523589	1.42904e-07	7.76053e-15	3.01703e-22	9.1809e-30	2.32742e-37	1.04079	0.00108937	7.5995e-07	3.97566e-10	1.66322e-13	8.21307e-16	0.000217134	299.105	10.1903	3.74822	9.98682	0.385492	99.6145	1	1	1.4993e-06	1.52507e-10
85	994.279	985.872	19670.8	33.0844	0.0534513	1.48148e-07	8.2391e-15	3.2801e-22	1.02202e-29	2.65306e-37	1.05309	0.00111533	7.87291e-07	4.16758e-10	1.76419e-13	8.81615e-16	0.000222301	299.096	10.2865	3.78782	9.9868	0.389691	99.6103	1	1	1.53419e-06	1.58e-10
86	994.212	985.736	19672.9	33.473	0.0545516	1.53518e-07	8.74099e-15	3.56258e-22	1.13629e-29	3.01964e-37	1.06538	0.00114159	8.15279e-07	4.36634e-10	1.87e-13	9.45567e-16	0.000227527	299.086	10.3823	3.82731	9.98679	0.393881	99.6061	1	1	1.56945e-06	1.63623e-10
87	994.146	985.6	19674.9	33.8616	0.0556598	1.59016e-07	9.26703e-15	3.86567e-22	1.26179e-29	3.43145e-37	1.07768	0.00116815	8.43919e-07	4.57212e-10	1.98081e-13	1.01333e-15	0.000232814	299.077	10.4775	3.86669	9.98677	0.398063	99.6019	1	1	1.60508e-06	1.69377e-10
88	994.079	985.465	19676.9	34.2502	0.0567757	1.64644e-07	9.81809e-15	4.19059e-22	1.39945e-29	3.89315e-37	1.08997	0.00119502	8.73219e-07	4.78506e-10	2.09681e-13	1.0851e-15	0.000238161	299.067	10.5723	3.90596	9.98676	0.402236	99.5978	1	1	1.6411e-06	1.75264e-10
89	994.012	985.33	19678.9	34.6388	0.0578994	1.70403e-07	1.0395e-14	4.53865e-22	1.55027e-29	4.40976e-37	1.10226	0.00122218	9.03187e-07	5.00533e-10	2.21816e-13	1.16105e-15	0.000243567	299.058	10.6665	3.94512	9.98675	0.4064	99.5936	1	1	1.67749e-06	1.81285e-10
90	993.946	985.196	19680.9	35.0274	0.0590308	1.76295e-07	1.09988e-14	4.91118e-22	1.71532e-29	4.98671e-37	1.11455	0.00124965	9.3383e-07	5.23311e-10	2.34507e-13	1.24137e-15	0.000249034	299.049	10.7603	3.98417	9.98674	0.410556	99.5894	1	1	1.71425e-06	1.87443e-10
91	993.879	985.063	19682.9	35.4159	0.0601697	1.82321e-07	1.16303e-14	5.30962e-22	1.89572e-29	5.62985e-37	1.12683	0.00127742	9.65156e-07	5.46855e-10	2.4777e-13	1.32627e-15	0.00025456	299.039	10.8535	4.02312	9.98674	0.414704	99.5853	1	1	1.75139e-06	1.93738e-10
92	993.812	984.93	19684.9	35.8045	0.0613161	1.88482e-07	1.22904e-14	5.73545e-22	2.0927e-29	6.34549e-37	1.13912	0.0013055	9.97171e-07	5.71183e-10	2.61625e-13	1.41595e-15	0.000260146	299.03	10.9463	4.06196	9.98674	0.418843	99.5812	1	1	1.7889e-06	2.00171e-10
93	993.746	984.798	19686.9	36.193	0.0624698	1.94781e-07	1.29802e-14	6.19021e-22	2.30753e-29	7.14038e-37	1.1514	0.00133387	1.02988e-06	5.96311e-10	2.76092e-13	1.51062e-15	0.000265792	299.021	11.0386	4.1007	9.98674	0.422973	99.577	1	1	1.82678e-06	2.06745e-10
94	993.679	984.666	19688.9	36.5816	0.0636309	2.01218e-07	1.37005e-14	6.67553e-22	2.5416e-29	8.02188e-37	1.16368	0.00136255	1.0633e-06	6.22257e-10	2.91191e-13	1.6105e-15	0.000271498	299.012	11.1304	4.13932	9.98675	0.427095	99.5729	1	1	1.86503e-06	2.13461e-10
95	993.613	984.535	19690.9	36.9701	0.0647992	2.07795e-07	1.44525e-14	7.19309e-22	2.79654e-29	9.00218e-37	1.17595	0.00139153	1.09743e-06	6.49038e-10	3.06943e-13	1.71583e-15	0.000277264	299.002	11.2217	4.17784	9.98676	0.431209	99.5688	1	1	1.90365e-06	2.20321e-10
96	993.546	984.405	19693	37.3586	0.0659747	2.14514e-07	1.52372e-14	7.74465e-22	3.07407e-29	1.00935e-36	1.18823	0.00142081	1.13228e-06	6.76673e-10	3.23367e-13	1.82682e-15	0.00028309	298.993	11.3126	4.21626	9.98677	0.435314	99.5647	1	1	1.94265e-06	2.27325e-10
97	993.48	984.275	19695	37.7471	0.0671573	2.21376e-07	1.60555e-14	8.33207e-22	3.37593e-29	1.1307e-36	1.2005	0.00145039	1.16785e-06	7.05178e-10	3.40485e-13	1.94374e-15	0.000288975	298.984	11.4029	4.25457	9.98679	0.439411	99.5606	1	1	1.98201e-06	2.34476e-10
98	993.413	984.146	19697	38.1356	0.0683469	2.28383e-07	1.69086e-14	8.95726e-22	3.70397e-29	1.26545e-36	1.21278	0.00148028	1.20416e-06	7.34572e-10	3.5832e-13	2.06681e-15	0.00029492	298.975	11.4928	4.29277	9.9868	0.4435	99.5565	1	1	2.02174e-06	2.41774e-10
99	993.347	984.017	19699	38.5241	0.0695435	2.35536e-07	1.77976e-14	9.62222e-22	4.06013e-29	1.41492e-36	1.22504	0.00151047	1.24121e-06	7.64872e-10	3.76892e-13	2.19631e-15	0.000300925	298.966	11.5822	4.33087	9.98682	0.44758	99.5524	1	1	2.06184e-06	2.49222e-10
100	993.28	983.889	19701	38.9126	0.0707469	2.42837e-07	1.87236e-14	1.0329e-21	4.4465e-29	1.5805e-36	1.23731	0.00154095	1.27901e-06	7.96098e-10	3.96225e-13	2.3325e-15	0.00030699	298.957	11.6712	4.36886	9.98685	0.451651	99.5483	1	1	2.10231e-06	2.56821e-10
