Time	[N0]	[N1]	[N2]
0	1.75445	27.4059	45.6191
1	1.75445	27.4059	45.6191
2	1.75445	27.4059	45.6191
3	1.75445	27.4059	45.6191
4	1.75445	27.4059	45.6191
5	1.75445	27.4059	45.6191
6	1.75445	27.4059	45.6191
7	1.75445	27.4059	45.6191
8	1.75445	27.4059	45.6191
9	1.75445	27.4059	45.6191
10	1.75445	27.4059	45.6191
11	1.75445	27.4059	45.6191
12	1.75445	27.4059	45.6191
13	1.75445	27.4059	45.6191
14	1.75445	27.4059	45.6191
15	1.75445	27.4059	45.6191
16	1.75445	27.4059	45.6191
17	1.75445	27.4059	45.6191
18	1.75445	27.4059	45.6191
19	1.75445	27.4059	45.6191
20	1.75445	27.4059	45.6191
21	1.75445	27.4059	45.6191
22	1.75445	27.4059	45.6191
23	1.75445	27.4059	45.6191
24	1.75445	27.4059	45.6191
25	1.75445	27.4059	45.6191
26	1.75445	27.4059	45.6191
27	1.75445	27.4059	45.6191
28	1.75445	27.4059	45.6191
29	1.75445	27.4059	45.6191
30	1.75445	27.4059	45.6191
31	1.75445	27.4059	45.6191
32	1.75445	27.4059	45.6191
33	1.75445	27.4059	45.6191
34	1.75445	27.4059	45.6191
35	1.75445	27.4059	45.6191
36	1.75445	27.4059	45.6191
37	1.75445	27.4059	45.6191
38	1.75445	27.4059	45.6191
39	1.75445	27.4059	45.6191
40	1.75445	27.4059	45.6191
41	1.75445	27.4059	45.6191
42	1.75445	27.4059	45.6191
43	1.75445	27.4059	45.6191
44	1.75445	27.4059	45.6191
45	1.75445	27.4059	45.6191
46	1.75445	27.4059	45.6191
47	1.75445	27.4059	45.6191
48	1.75445	27.4059	45.6191
49	1.75445	27.4059	45.6191
50	1.75445	27.4059	45.6191
51	1.75445	27.4059	45.6191
52	1.75445	27.4059	45.6191
53	1.75445	27.4059	45.6191
54	1.75445	27.4059	45.6191
55	1.75445	27.4059	45.6191
56	1.75445	27.4059	45.6191
57	1.75445	27.4059	45.6191
58	1.75445	27.4059	45.6191
59	1.75445	27.4059	45.6191
60	1.75445	27.4059	45.6191
61	1.75445	27.4059	45.6191
62	1.75445	27.4059	45.6191
63	1.75445	27.4059	45.6191
64	1.75445	27.4059	45.6191
65	1.75445	27.4059	45.6191
66	1.75445	27.4059	45.6191
67	1.75445	27.4059	45.6191
68	1.75445	27.4059	45.6191
69	1.75445	27.4059	45.6191
70	1.75445	27.4059	45.6191
71	1.75445	27.4059	45.6191
72	1.75445	27.4059	45.6191
73	1.75445	27.4059	45.6191
74	1.75445	27.4059	45.6191
75	1.75445	27.4059	45.6191
76	1.75445	27.4059	45.6191
77	1.75445	27.4059	45.6191
78	1.75445	27.4059	45.6191
79	1.75445	27.4059	45.6191
80	1.75445	27.4059	45.6191
81	1.75445	27.4059	45.6191
82	1.75445	27.4059	45.6191
83	1.75445	27.4059	45.6191
84	1.75445	27.4059	45.6191
85	1.75445	27.4059	45.6191
86	1.75445	27.4059	45.6191
87	1.75445	27.4059	45.6191
88	1.75445	27.4059	45.6191
89	1.75445	27.4059	45.6191
90	1.75445	27.4059	45.6191
91	1.75445	27.4059	45.6191
92	1.75445	27.4059	45.6191
93	1.75445	27.4059	45.6191
94	1.75445	27.4059	45.6191
95	1.75445	27.4059	45.6191
96	1.75445	27.4059	45.6191
97	1.75445	27.4059	45.6191
98	1.75445	27.4059	45.6191
99	1.75445	27.4059	45.6191
100	1.75445	27.4059	45.6191
