Time	[AbetaMonomer]	[AbetaDimer]	[AbetaPlaque]	[Source]	[Sink]	[Neprilysin]
57	0.00105957	-1.778e-09	1.88066e-13	1	1	1000
58	0.00107815	-1.8409e-09	1.98133e-13	1	1	1000
59	0.00109672	-1.90488e-09	2.08554e-13	1	1	1000
60	0.0011153	-1.96996e-09	2.19333e-13	1	1	1000
61	0.00113388	-2.03613e-09	2.30477e-13	1	1	1000
62	0.00115245	-2.10339e-09	2.41992e-13	1	1	1000
63	0.00117103	-2.17174e-09	2.53884e-13	1	1	1000
64	0.0011896	-2.24119e-09	2.66159e-13	1	1	1000
65	0.00120818	-2.31172e-09	2.78824e-13	1	1	1000
66	0.00122675	-2.38335e-09	2.91883e-13	1	1	1000
67	0.00124533	-2.45607e-09	3.05344e-13	1	1	1000
68	0.0012639	-2.52987e-09	3.19212e-13	1	1	1000
69	0.00128248	-2.60477e-09	3.33494e-13	1	1	1000
70	0.00130105	-2.68077e-09	3.48195e-13	1	1	1000
71	0.00131962	-2.75785e-09	3.63322e-13	1	1	1000
72	0.00133819	-2.83602e-09	3.7888e-13	1	1	1000
73	0.00135677	-2.91528e-09	3.94876e-13	1	1	1000
74	0.00137534	-2.99564e-09	4.11315e-13	1	1	1000
75	0.00139391	-3.07708e-09	4.28204e-13	1	1	1000
76	0.00141248	-3.15962e-09	4.45549e-13	1	1	1000
77	0.00143105	-3.24324e-09	4.63356e-13	1	1	1000
78	0.00144962	-3.32796e-09	4.81631e-13	1	1	1000
79	0.00146819	-3.41377e-09	5.00379e-13	1	1	1000
80	0.00148676	-3.50066e-09	5.19608e-13	1	1	1000
81	0.00150533	-3.58865e-09	5.39322e-13	1	1	1000
82	0.00152389	-3.67773e-09	5.59529e-13	1	1	1000
83	0.00154246	-3.7679e-09	5.80234e-13	1	1	1000
84	0.00156103	-3.85915e-09	6.01442e-13	1	1	1000
85	0.0015796	-3.9515e-09	6.23162e-13	1	1	1000
86	0.00159816	-4.04494e-09	6.45397e-13	1	1	1000
87	0.00161673	-4.13947e-09	6.68154e-13	1	1	1000
88	0.0016353	-4.23508e-09	6.9144e-13	1	1	1000
89	0.00165386	-4.33179e-09	7.1526e-13	1	1	1000
90	0.00167243	-4.42959e-09	7.39621e-13	1	1	1000
91	0.00169099	-4.52847e-09	7.64528e-13	1	1	1000
92	0.00170956	-4.62845e-09	7.89987e-13	1	1	1000
93	0.00172812	-4.72951e-09	8.16005e-13	1	1	1000
94	0.00174669	-4.83167e-09	8.42588e-13	1	1	1000
95	0.00176525	-4.93491e-09	8.69741e-13	1	1	1000
96	0.00178381	-5.03924e-09	8.97471e-13	1	1	1000
97	0.00180237	-5.14466e-09	9.25783e-13	1	1	1000
98	0.00182094	-5.25118e-09	9.54684e-13	1	1	1000
99	0.0018395	-5.35878e-09	9.8418e-13	1	1	1000
100	0.00185806	-5.46746e-09	1.01428e-12	1	1	1000
