Time	[L]	[R]	[LR]	[Gabg]	[RGabg]	[LRGabg]	[RRGSm]	[LRRGSm]	[RRGSmGabg]	[LRRGSmGabg]	[GaGTP]	[Gbg]	[Effector]	[GaGTPEffector]	[RGSc]	[RGSm]	[RGSmGaGTP]	[GaGTPEffectorOFF]	[RGSmGaGTPEffectorOFF]	[GaGDPP]	[LRRGSmGaGTP]	[RRGSmGaGTP]	[LRRGSmGaGTPEffectorOFF]	[GaGDP]	[P]	[z1]	[z2]	[z3]
10	0	21.9868	0	16.5215	149.059	0	0.00501959	0	33.9492	0	0.000246734	5.4703	300.596	0.822701	0.228118	21.1755	1.06166	0.000777112	3.5805	0.00372862	0	8.46852e-06	0	0.000681612	0.375959	0.881334	0.945148	1.01487
11	0	20.3101	0	15.2551	150.836	0	0.00429654	0	33.8497	0	0.000224068	5.05925	300.925	0.746267	0.211391	21.6266	0.979919	0.000690212	3.32802	0.00344847	0	5.56218e-06	0	0.000681615	0.34747	0.798373	0.854969	0.916558
12	0	18.87	0	14.1978	152.554	0	0.00371902	0	33.5721	0	0.00020403	4.67593	301.242	0.678436	0.196951	22.2344	0.913884	0.000610324	3.0789	0.00320861	0	3.70704e-06	0	0.000686195	0.323122	0.724684	0.77493	0.829533
13	0	17.6177	0	13.2996	154.222	0	0.00324935	0	33.1569	0	0.000186342	4.32134	301.542	0.618366	0.184318	22.957	0.859231	0.000538772	2.83932	0.00300007	0	2.51295e-06	0	0.000694244	0.301984	0.659339	0.703901	0.752341
14	0.1	16.5171	0	12.5245	155.844	0	0.00286174	0	32.6359	0	0.000170733	3.99551	301.821	0.565235	0.173153	23.762	0.81297	0.000475794	2.61314	0.00281654	0	1.73651e-06	0	0.000704924	0.283402	0.601488	0.640952	0.683886
15	0.0373524	15.5382	0.0615303	11.872	157.342	0.000887977	0.00258166	7.23436e-05	32.0548	0.000154333	0.000160881	3.73034	302.065	0.527138	0.166054	24.5771	0.791669	0.000429003	2.40752	0.00270159	5.74442e-07	1.2327e-06	2.06492e-06	0.000724218	0.271724	0.555448	0.58745	0.624001
16	0.0139226	14.6636	0.0853721	11.2886	158.822	0.000609922	0.00229845	3.61329e-05	31.4263	5.6555e-05	0.000147784	3.46279	302.293	0.486339	0.156655	25.442	0.752279	0.000382344	2.22036	0.00254695	2.9793e-07	8.94338e-07	2.4167e-06	0.000735517	0.256178	0.513672	0.542363	0.573577
17	0.00517908	13.8775	0.0942854	10.7557	160.279	0.000490092	0.00205874	2.23099e-05	30.7471	2.07261e-05	0.000136548	3.2181	302.503	0.448679	0.148272	26.3367	0.718067	0.000340753	2.04771	0.00240961	1.56617e-07	6.63144e-07	2.22483e-06	0.000748765	0.242267	0.474031	0.500774	0.529098
18	0.00192303	13.1671	0.0976177	10.2706	161.7	0.000432831	0.0018552	1.68098e-05	30.0334	7.64729e-06	0.00012669	2.99597	302.695	0.415096	0.140826	27.2465	0.688266	0.00030472	1.88912	0.00228752	9.94649e-08	5.02665e-07	1.91303e-06	0.000763527	0.229921	0.437896	0.462338	0.488347
19	0.000712836	12.5221	0.0988675	9.82803	163.079	0.000400696	0.00168028	1.44052e-05	29.2981	2.8846e-06	0.000117945	2.7946	302.87	0.385296	0.134121	28.1601	0.661583	0.000273665	1.74437	0.00217738	7.47162e-08	3.89248e-07	1.60907e-06	0.000779131	0.218797	0.405597	0.427545	0.451134
