Time	[L]	[R]	[LR]	[Gabg]	[RGabg]	[LRGabg]	[RRGSm]	[LRRGSm]	[RRGSmGabg]	[LRRGSmGabg]	[GaGTP]	[Gbg]	[Effector]	[GaGTPEffector]	[RGSc]	[RGSm]	[RGSmGaGTP]	[GaGTPEffectorOFF]	[RGSmGaGTPEffectorOFF]	[GaGDPP]	[LRRGSmGaGTP]	[RRGSmGaGTP]	[LRRGSmGaGTPEffectorOFF]	[GaGDP]	[P]	[z1]	[z2]	[z3]
76	9.55218e-24	3.10606	0.0998867	2.72947	192.737	0.000109074	0.000130137	4.1896e-06	9.05671	1.7151e-08	1.98354e-05	0.476618	304.723	0.0613676	0.0418939	50.4878	0.197375	2.431e-05	0.216101	0.000558275	3.35634e-09	2.79869e-09	1.8735e-08	0.00117132	0.0559015	0.0619971	0.0626401	0.0632971
77	-4.91788e-24	3.06423	0.0998881	2.69446	192.876	0.000107676	0.000127243	4.15236e-06	8.96004	1.67805e-08	1.95455e-05	0.469793	304.727	0.0604571	0.0415216	50.5907	0.194874	2.39006e-05	0.212695	0.000551001	3.27736e-09	2.69291e-09	1.82193e-08	0.00117285	0.0551721	0.0610674	0.0616906	0.0623271
78	-6.96022e-24	3.02349	0.0998895	2.66034	193.01	0.000106314	0.000124455	4.11612e-06	8.86636	1.64234e-08	1.92641e-05	0.463168	304.731	0.0595738	0.0411593	50.6905	0.192435	2.3505e-05	0.209397	0.000543915	3.20149e-09	2.59268e-09	1.77273e-08	0.00117433	0.0544616	0.0601658	0.0607701	0.0613871
79	2.16019e-24	2.98378	0.0998909	2.62707	193.141	0.000104986	0.000121768	4.08084e-06	8.77556	1.6079e-08	1.89909e-05	0.456731	304.735	0.0587166	0.0408065	50.7873	0.190057	2.31227e-05	0.206203	0.00053701	3.12856e-09	2.49763e-09	1.72574e-08	0.00117576	0.0537693	0.0592911	0.0598773	0.0604757
80	6.91987e-24	2.94509	0.0998922	2.59463	193.267	0.00010369	0.000119177	4.04647e-06	8.68749	1.57468e-08	1.87256e-05	0.450477	304.739	0.0578843	0.0404629	50.8811	0.187736	2.27529e-05	0.203108	0.000530279	3.05842e-09	2.40743e-09	1.68084e-08	0.00117715	0.0530945	0.058442	0.059011	0.0595915
81	8.36126e-24	2.90736	0.0998935	2.56298	193.39	0.000102427	0.000116677	4.01299e-06	8.60205	1.5426e-08	1.84677e-05	0.444396	304.743	0.0570758	0.0401282	50.9721	0.185471	2.2395e-05	0.200106	0.000523715	2.99092e-09	2.32175e-09	1.63789e-08	0.00117849	0.0524365	0.0576175	0.05817	0.0587335
82	4.6347e-24	2.87056	0.0998948	2.5321	193.51	0.000101194	0.000114263	3.98036e-06	8.51913	1.51162e-08	1.8217e-05	0.438482	304.746	0.0562901	0.0398019	51.0605	0.18326	2.20485e-05	0.197195	0.000517314	2.92592e-09	2.24032e-09	1.59678e-08	0.00117978	0.0517948	0.0568165	0.0573532	0.0579005
83	7.871e-25	2.83467	0.099896	2.50195	193.627	9.99898e-05	0.000111932	3.94855e-06	8.43861	1.48169e-08	1.79731e-05	0.432727	304.75	0.0555263	0.0394839	51.1463	0.1811	2.17128e-05	0.194369	0.000511068	2.8633e-09	2.16287e-09	1.55739e-08	0.00118104	0.0511686	0.056038	0.0565596	0.0570913
84	-1.65814e-24	2.79963	0.0998972	2.47252	193.74	9.88146e-05	0.00010968	3.91753e-06	8.3604	1.45275e-08	1.77359e-05	0.427126	304.754	0.0547834	0.0391737	51.2297	0.178991	2.13875e-05	0.191625	0.000504972	2.80294e-09	2.08915e-09	1.51965e-08	0.00118225	0.0505576	0.0552811	0.0557882	0.056305
85	-1.60236e-24	2.76544	0.0998984	2.44377	193.85	9.76667e-05	0.000107504	3.88726e-06	8.2844	1.42477e-08	1.7505e-05	0.421673	304.757	0.0540607	0.0388711	51.3107	0.176931	2.1072e-05	0.18896	0.000499022	2.74473e-09	2.01893e-09	1.48344e-08	0.00118343	0.0499611	0.0545448	0.055038	0.0555405
86	-3.78041e-25	2.73204	0.0998996	2.41569	193.957	9.65454e-05	0.000105399	3.85773e-06	8.21053	1.3977e-08	1.72802e-05	0.41636	304.76	0.0533572	0.0385758	51.3895	0.174918	2.07659e-05	0.18637	0.000493211	2.68856e-09	1.952e-09	1.44868e-08	0.00118457	0.0493786	0.0538284	0.0543083	0.0547971
87	3.32245e-24	2.69943	0.0999007	2.38825	194.062	9.54496e-05	0.000103362	3.8289e-06	8.13868	1.3715e-08	1.70612e-05	0.411184	304.763	0.0526722	0.0382876	51.4661	0.172949	2.04688e-05	0.183852	0.000487535	2.63433e-09	1.88817e-09	1.41529e-08	0.00118568	0.0488097	0.0531309	0.0535981	0.0540738
88	4.96936e-24	2.66757	0.0999018	2.36144	194.164	9.43787e-05	0.000101391	3.80075e-06	8.0688	1.34613e-08	1.68478e-05	0.406139	304.767	0.052005	0.0380061	51.5407	0.171025	2.01802e-05	0.181403	0.00048199	2.58196e-09	1.82726e-09	1.38321e-08	0.00118676	0.0482539	0.0524518	0.0529067	0.0533697
89	6.05169e-24	2.63643	0.0999029	2.33522	194.263	9.33317e-05	9.94831e-05	3.77326e-06	8.00078	1.32155e-08	1.66398e-05	0.401219	304.77	0.0513549	0.0377313	51.6132	0.169143	1.99e-05	0.17902	0.00047657	2.53136e-09	1.76909e-09	1.35235e-08	0.0011878	0.0477107	0.0517902	0.0522333	0.0526843
90	3.63736e-24	2.60599	0.0999039	2.30958	194.359	9.23078e-05	9.76347e-05	3.74641e-06	7.93457	1.29774e-08	1.6437e-05	0.39642	304.773	0.0507212	0.0374628	51.6839	0.167303	1.96276e-05	0.1767	0.000471272	2.48243e-09	1.7135e-09	1.32266e-08	0.00118882	0.0471797	0.0511455	0.0515773	0.0520166
91	1.18867e-24	2.57624	0.0999049	2.2845	194.454	9.13063e-05	9.58437e-05	3.72016e-06	7.8701	1.27466e-08	1.62393e-05	0.391738	304.775	0.0501034	0.0372004	51.7527	0.165502	1.93627e-05	0.174442	0.000466093	2.43512e-09	1.66036e-09	1.29407e-08	0.0011898	0.0466606	0.0505171	0.0509379	0.0513661
92	6.3361e-25	2.54714	0.099906	2.25997	194.545	9.03265e-05	9.41075e-05	3.69451e-06	7.80729	1.25228e-08	1.60463e-05	0.387169	304.778	0.0495008	0.0369439	51.8197	0.16374	1.91051e-05	0.172242	0.000461027	2.38934e-09	1.60953e-09	1.26652e-08	0.00119076	0.0461529	0.0499042	0.0503146	0.050732
93	9.75819e-26	2.51867	0.0999069	2.23596	194.635	8.93677e-05	9.2424e-05	3.66943e-06	7.74608	1.23057e-08	1.5858e-05	0.382708	304.781	0.0489128	0.0366931	51.885	0.162014	1.88544e-05	0.170098	0.000456071	2.34503e-09	1.56087e-09	1.23997e-08	0.00119169	0.0456562	0.0493065	0.0497067	0.0501137
94	4.14114e-25	2.49081	0.0999079	2.21246	194.723	8.84292e-05	9.0791e-05	3.6449e-06	7.68641	1.20949e-08	1.56741e-05	0.378351	304.784	0.048339	0.0364479	51.9487	0.160326	1.86103e-05	0.168008	0.000451221	2.30212e-09	1.51428e-09	1.21437e-08	0.0011926	0.0451702	0.0487232	0.0491137	0.0495107
95	1.03797e-24	2.46355	0.0999088	2.18946	194.808	8.75104e-05	8.92062e-05	3.62091e-06	7.62822	1.18904e-08	1.54946e-05	0.374095	304.786	0.0477788	0.036208	52.0108	0.158672	1.83727e-05	0.165971	0.000446476	2.26055e-09	1.46963e-09	1.18967e-08	0.00119348	0.0446946	0.0481538	0.048535	0.0489224
96	1.26716e-24	2.43687	0.0999098	2.16693	194.892	8.66107e-05	8.7668e-05	3.59744e-06	7.57147	1.16918e-08	1.53192e-05	0.369937	304.789	0.0472318	0.0359733	52.0714	0.157052	1.81412e-05	0.163983	0.00044183	2.22026e-09	1.42683e-09	1.16582e-08	0.00119434	0.044229	0.047598	0.0479701	0.0483483
97	1.46881e-24	2.41074	0.0999107	2.14487	194.973	8.57295e-05	8.61742e-05	3.57447e-06	7.51609	1.14989e-08	1.51478e-05	0.365872	304.791	0.0466975	0.0357436	52.1306	0.155465	1.79156e-05	0.162044	0.000437281	2.1812e-09	1.38577e-09	1.14278e-08	0.00119517	0.0437732	0.0470551	0.0474185	0.0477878
98	1.21118e-24	2.38516	0.0999116	2.12326	195.053	8.48663e-05	8.47233e-05	3.55198e-06	7.46205	1.13114e-08	1.49804e-05	0.361898	304.794	0.0461754	0.0355188	52.1883	0.15391	1.76957e-05	0.160151	0.000432826	2.14332e-09	1.34638e-09	1.12052e-08	0.00119598	0.0433267	0.0465248	0.0468798	0.0472404
99	6.253e-25	2.3601	0.0999124	2.10208	195.131	8.40205e-05	8.33134e-05	3.52996e-06	7.40928	1.11292e-08	1.48167e-05	0.358013	304.796	0.0456651	0.0352987	52.2446	0.152386	1.74813e-05	0.158304	0.000428462	2.10657e-09	1.30856e-09	1.09901e-08	0.00119678	0.0428894	0.0460066	0.0463535	0.0467058
100	-5.94966e-26	2.33554	0.0999133	2.08133	195.207	8.31916e-05	8.1943e-05	3.5084e-06	7.35775	1.0952e-08	1.46566e-05	0.354212	304.798	0.0451662	0.0350831	52.2997	0.150893	1.72721e-05	0.156499	0.000424186	2.0709e-09	1.27222e-09	1.07819e-08	0.00119755	0.042461	0.0455001	0.0458391	0.0461834
