Time	[iron_in_Plasma]	[iron_in_Bone Marrow]	[iron_in_RBC]	[iron_in_Spleen]	[iron_in_Liver]	[iron_in_Muscle]	[iron_in_Duodenum]	[iron_in_Integument]	[iron_in_Intestine]	[iron_ions_Outside]	[iron_in_Heart]	[iron_in_Lungs]	[iron_in_Kidneys]	[iron_in_Testes]	[iron_in_Stomach]	[iron_in_Fat]	[iron_in_Brain]
30	0.19745	2.56214	42.8164	0.780185	12.6821	4.08828	0.0332982	4.61902	0.896662	26.8978	0.464888	1.80705	1.48723	0.160689	0.193014	0.161301	0.15245
31	0.195116	2.53021	42.7208	0.777916	12.4557	4.01567	0.0328227	4.54999	0.883404	27.4793	0.457178	1.77662	1.46564	0.158439	0.190414	0.15843	0.152305
32	0.192866	2.49952	42.6128	0.775461	12.2395	3.94716	0.0323713	4.48282	0.870854	28.0523	0.449916	1.74731	1.44517	0.156239	0.187932	0.155685	0.152116
33	0.190696	2.46998	42.4934	0.772835	12.0328	3.8824	0.0319416	4.41748	0.858938	28.6171	0.443057	1.71908	1.42571	0.154089	0.185558	0.15306	0.151888
34	0.188598	2.44151	42.3635	0.770052	11.8351	3.82109	0.0315316	4.35394	0.847596	29.1741	0.436565	1.69189	1.40717	0.15199	0.183282	0.150549	0.151621
35	0.186569	2.41403	42.2239	0.767124	11.6459	3.76294	0.0311394	4.29217	0.836772	29.7234	0.430405	1.66569	1.38945	0.149942	0.181095	0.148144	0.151319
36	0.184605	2.38749	42.0755	0.764064	11.4647	3.7077	0.0307635	4.23213	0.826421	30.2654	0.424548	1.64045	1.37248	0.147943	0.178992	0.145841	0.150984
37	0.1827	2.36181	41.9188	0.760882	11.2911	3.65512	0.0304025	4.17378	0.8165	30.8004	0.418966	1.61612	1.35621	0.145993	0.176965	0.143634	0.150618
38	0.180852	2.33695	41.7547	0.757589	11.1247	3.60501	0.0300552	4.11708	0.806973	31.3284	0.413636	1.59267	1.34056	0.144092	0.175009	0.141517	0.150223
39	0.179057	2.31285	41.5837	0.754194	10.965	3.55716	0.0297204	4.06197	0.797807	31.8499	0.408537	1.57005	1.3255	0.142238	0.173118	0.139484	0.149802
40	0.177312	2.28946	41.4063	0.750706	10.8117	3.5114	0.0293974	4.00843	0.788975	32.3649	0.403649	1.54822	1.31096	0.140431	0.17129	0.137533	0.149355
41	0.175613	2.26674	41.2233	0.747134	10.6643	3.46757	0.0290851	3.95639	0.780451	32.8736	0.398956	1.52715	1.29693	0.138669	0.169518	0.135657	0.148885
42	0.173959	2.24465	41.035	0.743486	10.5226	3.42552	0.0287829	3.90582	0.772211	33.3764	0.394441	1.50681	1.28335	0.136951	0.167799	0.133852	0.148394
43	0.172346	2.22316	40.8418	0.739767	10.3863	3.38513	0.02849	3.85667	0.764235	33.8732	0.390092	1.48716	1.2702	0.135277	0.166131	0.132115	0.147882
44	0.170772	2.20222	40.6444	0.735986	10.2549	3.34627	0.0282058	3.80889	0.756505	34.3644	0.385895	1.46816	1.25745	0.133646	0.164509	0.130442	0.147352
