Time	[a]	[p]
0	0.00577668	0.0203298
1	0.00577668	0.0203298
2	0.00577668	0.0203298
3	0.00577668	0.0203298
4	0.00577668	0.0203298
5	0.00577668	0.0203298
6	0.00577668	0.0203298
7	0.00577668	0.0203298
8	0.00577668	0.0203298
9	0.00577668	0.0203298
10	0.00577668	0.0203298
11	0.00577668	0.0203298
12	0.00577668	0.0203298
13	0.00577668	0.0203298
14	0.00577668	0.0203298
15	0.00577668	0.0203298
16	0.00577668	0.0203298
17	0.00577668	0.0203298
18	0.00577668	0.0203298
19	0.00577668	0.0203298
20	0.00577668	0.0203298
21	0.00577668	0.0203298
22	0.00577668	0.0203298
23	0.00577668	0.0203298
24	0.00577668	0.0203298
25	0.00577668	0.0203298
26	0.00577668	0.0203298
27	0.00577668	0.0203298
28	0.00577668	0.0203298
29	0.00577668	0.0203298
30	0.00577668	0.0203298
31	0.00577668	0.0203298
32	0.00577668	0.0203298
33	0.00577668	0.0203298
34	0.00577668	0.0203298
35	0.00577668	0.0203298
36	0.00577668	0.0203298
37	0.00577668	0.0203298
38	0.00577668	0.0203298
39	0.00577668	0.0203298
40	0.00577668	0.0203298
41	0.00577668	0.0203298
42	0.00577668	0.0203298
43	0.00577668	0.0203298
44	0.00577668	0.0203298
45	0.00577668	0.0203298
46	0.00577668	0.0203298
47	0.00577668	0.0203298
48	0.00577668	0.0203298
49	0.00577668	0.0203298
50	0.00577668	0.0203298
51	0.00577668	0.0203298
52	0.00577668	0.0203298
53	0.00577668	0.0203298
54	0.00577668	0.0203298
55	0.00577668	0.0203298
56	0.00577668	0.0203298
57	0.00577668	0.0203298
58	0.00577668	0.0203298
59	0.00577668	0.0203298
60	0.00577668	0.0203298
61	0.00577668	0.0203298
62	0.00577668	0.0203298
63	0.00577668	0.0203298
64	0.00577668	0.0203298
65	0.00577668	0.0203298
66	0.00577668	0.0203298
67	0.00577668	0.0203298
68	0.00577668	0.0203298
69	0.00577668	0.0203298
70	0.00577668	0.0203298
71	0.00577668	0.0203298
72	0.00577668	0.0203298
73	0.00577668	0.0203298
74	0.00577668	0.0203298
75	0.00577668	0.0203298
76	0.00577668	0.0203298
77	0.00577668	0.0203298
78	0.00577668	0.0203298
79	0.00577668	0.0203298
80	0.00577668	0.0203298
81	0.00577668	0.0203298
82	0.00577668	0.0203298
83	0.00577668	0.0203298
84	0.00577668	0.0203298
85	0.00577668	0.0203298
86	0.00577668	0.0203298
87	0.00577668	0.0203298
88	0.00577668	0.0203298
89	0.00577668	0.0203298
90	0.00577668	0.0203298
91	0.00577668	0.0203298
92	0.00577668	0.0203298
93	0.00577668	0.0203298
94	0.00577668	0.0203298
95	0.00577668	0.0203298
96	0.00577668	0.0203298
97	0.00577668	0.0203298
98	0.00577668	0.0203298
99	0.00577668	0.0203298
100	0.00577668	0.0203298
