Time	[LA]	[nHexanal]
0	6.7e-05	0
1	6.0526e-05	3.78326e-06
2	5.46775e-05	8.05825e-06
3	4.93941e-05	1.19728e-05
4	4.46211e-05	1.55323e-05
5	4.03094e-05	1.87587e-05
6	3.64142e-05	2.16782e-05
7	3.28954e-05	2.4318e-05
8	2.97167e-05	2.67038e-05
9	2.6845e-05	2.88595e-05
10	2.42509e-05	3.08072e-05
11	2.19074e-05	3.25668e-05
12	1.97904e-05	3.41564e-05
13	1.7878e-05	3.55924e-05
14	1.61503e-05	3.68896e-05
15	1.45896e-05	3.80615e-05
16	1.31797e-05	3.91202e-05
17	1.19061e-05	4.00766e-05
18	1.07555e-05	4.09405e-05
19	9.71617e-06	4.1721e-05
20	8.77722e-06	4.2426e-05
21	7.92902e-06	4.30629e-05
22	7.16278e-06	4.36383e-05
23	6.4706e-06	4.4158e-05
24	5.84529e-06	4.46276e-05
25	5.28042e-06	4.50517e-05
26	4.77014e-06	4.54349e-05
27	4.30916e-06	4.5781e-05
28	3.89273e-06	4.60937e-05
29	3.51655e-06	4.63762e-05
30	3.17672e-06	4.66314e-05
31	2.86972e-06	4.68619e-05
32	2.5924e-06	4.70701e-05
33	2.34188e-06	4.72583e-05
34	2.11556e-06	4.74282e-05
35	1.91112e-06	4.75817e-05
36	1.72643e-06	4.77204e-05
37	1.55959e-06	4.78457e-05
38	1.40887e-06	4.79588e-05
39	1.27272e-06	4.80611e-05
40	1.14973e-06	4.81534e-05
41	1.03862e-06	4.82369e-05
42	9.38252e-07	4.83122e-05
43	8.47581e-07	4.83803e-05
44	7.65672e-07	4.84418e-05
45	6.91679e-07	4.84974e-05
46	6.24837e-07	4.85476e-05
47	5.64454e-07	4.85929e-05
48	5.09906e-07	4.86339e-05
49	4.60629e-07	4.86709e-05
50	4.16115e-07	4.87043e-05
51	3.75902e-07	4.87345e-05
52	3.39576e-07	4.87618e-05
53	3.0676e-07	4.87864e-05
54	2.77113e-07	4.88087e-05
55	2.50335e-07	4.88288e-05
56	2.26143e-07	4.88469e-05
57	2.04289e-07	4.88634e-05
58	1.84547e-07	4.88782e-05
59	1.66713e-07	4.88916e-05
60	1.50602e-07	4.89037e-05
61	1.36048e-07	4.89146e-05
62	1.229e-07	4.89245e-05
63	1.11024e-07	4.89334e-05
64	1.00294e-07	4.89414e-05
65	9.06021e-08	4.89487e-05
66	8.18465e-08	4.89553e-05
67	7.3937e-08	4.89612e-05
68	6.67916e-08	4.89666e-05
69	6.03371e-08	4.89714e-05
70	5.45063e-08	4.89758e-05
71	4.92389e-08	4.89798e-05
72	4.44805e-08	4.89834e-05
73	4.0182e-08	4.89866e-05
74	3.62988e-08	4.89895e-05
75	3.2791e-08	4.89921e-05
76	2.96221e-08	4.89945e-05
77	2.67595e-08	4.89967e-05
78	2.41735e-08	4.89986e-05
79	2.18374e-08	4.90004e-05
80	1.97271e-08	4.90019e-05
81	1.78207e-08	4.90034e-05
82	1.60985e-08	4.90047e-05
83	1.45428e-08	4.90058e-05
84	1.31374e-08	4.90069e-05
85	1.18678e-08	4.90078e-05
86	1.07209e-08	4.90087e-05
87	9.68488e-09	4.90095e-05
88	8.74895e-09	4.90102e-05
89	7.90346e-09	4.90108e-05
90	7.13968e-09	4.90114e-05
91	6.44972e-09	4.90119e-05
92	5.82642e-09	4.90124e-05
93	5.26337e-09	4.90128e-05
94	4.75472e-09	4.90132e-05
95	4.29523e-09	4.90135e-05
96	3.88015e-09	4.90138e-05
97	3.50518e-09	4.90141e-05
98	3.16644e-09	4.90144e-05
99	2.86044e-09	4.90146e-05
100	2.58401e-09	4.90148e-05
