Time	[AlB]	[BC]	[AlCn]	[AlB2]	[Al]	[B]	[C]	[A0]	[B0]	[C0]
50	0.0783799	0.0967702	0.155001	6.01861e-05	0.228098	0.000168149	0.922229	0.461538	0.175439	1.174
51	0.0772911	0.097889	0.156795	5.4199e-05	0.227399	0.000150053	0.919316	0.461538	0.175439	1.174
52	0.0762221	0.0989849	0.158554	4.88071e-05	0.226714	0.000133996	0.916461	0.461538	0.175439	1.174
53	0.0751724	0.100059	0.160279	4.39521e-05	0.226043	0.000119742	0.913663	0.461538	0.175439	1.174
54	0.0741418	0.101111	0.161971	3.95808e-05	0.225386	0.000107083	0.910918	0.461538	0.175439	1.174
55	0.0731299	0.102142	0.163631	3.56455e-05	0.224742	9.58343e-05	0.908227	0.461538	0.175439	1.174
56	0.0721364	0.103152	0.16526	3.21029e-05	0.22411	8.5834e-05	0.905588	0.461538	0.175439	1.174
57	0.0711608	0.104143	0.166858	2.89141e-05	0.223491	7.69392e-05	0.902999	0.461538	0.175439	1.174
58	0.0702028	0.105115	0.168427	2.60438e-05	0.222883	6.90241e-05	0.900459	0.461538	0.175439	1.174
59	0.069262	0.106068	0.169966	2.34603e-05	0.222287	6.19775e-05	0.897966	0.461538	0.175439	1.174
60	0.0683381	0.107003	0.171477	2.1135e-05	0.221702	5.57013e-05	0.89552	0.461538	0.175439	1.174
61	0.0674307	0.10792	0.17296	1.90421e-05	0.221128	5.01085e-05	0.89312	0.461538	0.175439	1.174
62	0.0665394	0.10882	0.174417	1.71583e-05	0.220565	4.51225e-05	0.890763	0.461538	0.175439	1.174
63	0.0656638	0.109703	0.175847	1.54628e-05	0.220013	4.06754e-05	0.88845	0.461538	0.175439	1.174
64	0.0648037	0.11057	0.177251	1.39366e-05	0.21947	3.67071e-05	0.886179	0.461538	0.175439	1.174
65	0.0639587	0.111422	0.17863	1.25629e-05	0.218937	3.31644e-05	0.883948	0.461538	0.175439	1.174
66	0.0631284	0.112258	0.179984	1.13264e-05	0.218414	3.00003e-05	0.881758	0.461538	0.175439	1.174
67	0.0623126	0.113078	0.181315	1.02132e-05	0.217901	2.7173e-05	0.879607	0.461538	0.175439	1.174
68	0.0615108	0.113885	0.182622	9.2111e-06	0.217396	2.46455e-05	0.877493	0.461538	0.175439	1.174
69	0.0607228	0.114677	0.183906	8.30889e-06	0.216901	2.23848e-05	0.875417	0.461538	0.175439	1.174
70	0.0599483	0.115455	0.185168	7.49657e-06	0.216415	2.0362e-05	0.873377	0.461538	0.175439	1.174
71	0.0591869	0.11622	0.186408	6.76513e-06	0.215937	1.8551e-05	0.871373	0.461538	0.175439	1.174
72	0.0584383	0.116971	0.187626	6.10647e-06	0.215468	1.69289e-05	0.869403	0.461538	0.175439	1.174
73	0.0577024	0.11771	0.188823	5.51329e-06	0.215007	1.54753e-05	0.867467	0.461538	0.175439	1.174
74	0.0569787	0.118436	0.19	4.97903e-06	0.214555	1.4172e-05	0.865564	0.461538	0.175439	1.174
75	0.0562671	0.11915	0.191157	4.49779e-06	0.21411	1.30029e-05	0.863694	0.461538	0.175439	1.174
76	0.0555672	0.119851	0.192294	4.06426e-06	0.213673	1.19535e-05	0.861855	0.461538	0.175439	1.174
77	0.0548788	0.120541	0.193412	3.67368e-06	0.213244	1.10112e-05	0.860046	0.461538	0.175439	1.174
78	0.0542016	0.12122	0.194511	3.32174e-06	0.212822	1.01644e-05	0.858269	0.461538	0.175439	1.174
