Time	[p53]	[Mdm2]	[precursor Mdm2]
0	0	0.8	0.1
1	0.0549922	0.396388	0.054254
2	0.445893	0.24497	0.217782
3	0.87333	0.352318	0.630538
4	0.946928	0.632979	1.00644
5	0.549373	0.864797	1.0236
6	0.00016981	0.84109	0.620712
7	0.000721878	0.601116	0.279164
8	0.10606	0.374605	0.15262
9	0.47337	0.284006	0.296817
10	0.821781	0.397894	0.653603
11	0.844577	0.641691	0.951991
12	0.476178	0.823136	0.928711
13	0.000213148	0.77766	0.560127
14	0.00185278	0.550868	0.252135
15	0.158544	0.346888	0.161744
16	0.543974	0.291831	0.352234
17	0.849932	0.436906	0.717104
18	0.799769	0.682256	0.970694
19	0.386718	0.830557	0.880447
20	0.000249363	0.74152	0.486275
21	0.00676726	0.508149	0.219579
22	0.218444	0.322949	0.175208
23	0.614882	0.304189	0.412263
24	0.871504	0.478949	0.779794
25	0.746462	0.721812	0.982792
26	0.293933	0.833282	0.824601
27	0.000305342	0.702486	0.421004
28	0.0208947	0.46738	0.192504
29	0.284841	0.304565	0.198268
30	0.681274	0.323148	0.476914
31	0.880199	0.523437	0.837105
32	0.681874	0.757038	0.982678
33	0.201404	0.827695	0.759243
34	0.000401857	0.660626	0.364438
35	0.0463528	0.42895	0.17271
36	0.355932	0.292413	0.230961
37	0.740883	0.348469	0.54454
38	0.875046	0.569165	0.887033
39	0.607323	0.786642	0.969687
40	0.111953	0.813508	0.685818
41	0.000594822	0.61733	0.315502
42	0.0829163	0.393596	0.161348
43	0.429735	0.286924	0.272693
44	0.791813	0.379581	0.6133
45	0.85583	0.614856	0.927961
46	0.524682	0.809629	0.943859
47	0.0283964	0.790905	0.606236
48	0.00111287	0.573743	0.273209
49	0.12967	0.362101	0.15926
50	0.504161	0.288359	0.322555
51	0.832398	0.415724	0.681275
52	0.822762	0.659204	0.95851
53	0.436116	0.825188	0.905622
54	0.00022901	0.760429	0.525617
55	0.00331022	0.530743	0.236817
56	0.185358	0.335233	0.166968
57	0.577068	0.296802	0.379365
58	0.86123	0.455984	0.746519
59	0.776452	0.700916	0.977566
60	0.344008	0.832699	0.855773
61	0.000271928	0.723859	0.454954
62	0.0119429	0.489028	0.206244
63	0.248471	0.313704	0.184669
64	0.646316	0.31215	0.441704
65	0.877203	0.499306	0.807115
66	0.717904	0.738737	0.984311
67	0.250906	0.831757	0.795457
68	0.000342996	0.683372	0.393806
69	0.0312589	0.449258	0.182361
70	0.31728	0.298135	0.212231
71	0.709828	0.334108	0.507955
72	0.879558	0.544526	0.861236
73	0.648499	0.771504	0.978272
74	0.159453	0.822192	0.72615
75	0.000472735	0.640688	0.340903
76	0.0619422	0.412156	0.166345
77	0.389881	0.289024	0.249202
78	0.765642	0.362192	0.57634
79	0.867896	0.590397	0.907185
80	0.569952	0.798158	0.959311
81	0.0723566	0.80407	0.649621
82	0.000762685	0.597133	0.295153
83	0.10336	0.378491	0.159189
84	0.464236	0.286718	0.294827
85	0.811977	0.395737	0.644979
86	0.842218	0.635629	0.943465
87	0.484285	0.817796	0.927663
88	0.000213109	0.777711	0.568008
89	0.00172381	0.553722	0.255659
90	0.154421	0.349045	0.161591
91	0.538226	0.291398	0.348067
92	0.847279	0.433908	0.711931
93	0.802921	0.678916	0.968815
94	0.393771	0.829695	0.883931
95	0.000246358	0.744116	0.491638
96	0.00614378	0.511236	0.221907
97	0.213748	0.324564	0.17392
98	0.609703	0.303061	0.407626
99	0.870278	0.475724	0.775259
100	0.750799	0.718978	0.982256
