Time	[IkBalpha]	[NFkB]	[IkBalpha_NFkB]	[IkBbeta]	[IkBbeta_NFkB]	[IkBeps]	[IkBeps_NFkB]	[IKK_IkBalpha]	[IKK_IkBalpha_NFkB]	[IKK]	[IKK_IkBbeta]	[IKK_IkBbeta_NFkB]	[IKK_IkBeps]	[IKK_IkBeps_NFkB]	[NFkB_nuc]	[IkBalpha_nuc]	[IkBalpha_nuc_NFkB_nuc]	[IkBbeta_nuc]	[IkBbeta_nuc_NFkB_nuc]	[IkBeps_nuc]	[IkBalpha_transcript]	[IkBbeta_transcript]	[IkBeps_transcript]	[IkBeps_nuc_NFkB_nuc]	Values[fr_after_trigger]
0	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0.5
1	0.067642	0.000228138	0.0311418	1.27543e-06	1.78442e-08	9.09998e-07	1.27895e-08	0	0	0	0	0	0	0	0.0690733	0.000536514	0.000556783	2.44282e-09	1.34955e-09	1.74269e-09	0.00389179	1.05908e-05	7.55635e-06	9.0486e-10	0.5
2	0.0680613	0.000175779	0.0312163	5.08414e-06	3.31787e-08	3.62746e-06	2.50612e-08	0	0	0	0	0	0	0	0.0685745	0.000593258	0.00103334	1.41217e-08	1.63435e-08	1.00665e-08	0.00857165	2.10051e-05	1.49868e-05	1.02654e-08	0.5
3	0.0695995	0.000175712	0.0315613	1.13164e-05	7.40223e-08	8.0742e-06	6.08811e-08	0	0	0	0	0	0	0	0.0679898	0.00061754	0.00127292	3.68553e-08	6.52263e-08	2.62288e-08	0.0130981	3.1246e-05	2.22935e-05	3.8396e-08	0.5
4	0.0721779	0.000175572	0.0320493	1.98807e-05	1.52549e-07	1.41852e-05	1.35608e-07	0	0	0	0	0	0	0	0.0673734	0.000644561	0.00140119	7.10322e-08	1.68633e-07	5.04247e-08	0.017469	4.13162e-05	2.94784e-05	9.31661e-08	0.5
5	0.0757319	0.000175097	0.0326225	3.06892e-05	2.79688e-07	2.18981e-05	2.65425e-07	0	0	0	0	0	0	0	0.0667115	0.000679619	0.00148983	1.16933e-07	3.4636e-07	8.27368e-08	0.0216828	5.12187e-05	3.65437e-05	1.79935e-07	0.5
6	0.0801974	0.000174259	0.0332655	4.36569e-05	4.65319e-07	3.11532e-05	4.66752e-07	0	0	0	0	0	0	0	0.0659865	0.000723882	0.00157185	1.74902e-07	6.17225e-07	1.23266e-07	0.0257358	6.09562e-05	4.34912e-05	3.02138e-07	0.5
7	0.0855114	0.000173119	0.0339808	5.87024e-05	7.18246e-07	4.18933e-05	7.55692e-07	0	0	0	0	0	0	0	0.0651818	0.000777777	0.00166134	2.454e-07	9.99054e-07	1.72177e-07	0.0296223	7.05315e-05	5.0323e-05	4.61781e-07	0.5
8	0.091611	0.000171773	0.0347781	7.57471e-05	1.04627e-06	5.40636e-05	1.14769e-06	0	0	0	0	0	0	0	0.064282	0.000841582	0.00176378	3.29042e-07	1.50867e-06	2.29723e-07	0.0333352	7.99472e-05	5.7041e-05	6.59821e-07	0.5
9	0.0984339	0.00017032	0.0356692	9.47153e-05	1.45633e-06	6.76117e-05	1.65739e-06	0	0	0	0	0	0	0	0.0632735	0.000915601	0.00188077	4.26635e-07	2.1619e-06	2.96279e-07	0.0368659	8.92061e-05	6.36471e-05	8.96439e-07	0.5
10	0.105918	0.000168854	0.0366659	0.000115534	1.9547e-06	8.2487e-05	2.29852e-06	0	0	0	0	0	0	0	0.0621447	0.00100023	0.00201217	5.39218e-07	2.97357e-06	3.72366e-07	0.0402053	9.83108e-05	7.01431e-05	1.17124e-06	0.5
11	0.113999	0.000167455	0.0377788	0.000138132	2.54717e-06	9.86413e-05	3.08396e-06	0	0	0	0	0	0	0	0.0608856	0.00109602	0.00215705	6.68106e-07	3.95744e-06	4.58681e-07	0.0433435	0.000107264	7.65309e-05	1.48341e-06	0.5
12	0.122615	0.000166191	0.0390175	0.000162441	3.23927e-06	0.000116028	4.02576e-06	0	0	0	0	0	0	0	0.059488	0.00120369	0.0023141	8.14953e-07	5.12625e-06	5.56128e-07	0.0462707	0.000116068	8.28122e-05	1.83178e-06	0.5
13	0.131702	0.000165116	0.0403896	0.000188394	4.0364e-06	0.000134601	5.13519e-06	0	0	0	0	0	0	0	0.0579456	0.00132418	0.00248182	9.81809e-07	6.49161e-06	6.65865e-07	0.0489776	0.000124725	8.8989e-05	2.21493e-06	0.5
14	0.141196	0.000164269	0.0419015	0.000215927	4.94403e-06	0.000154317	6.4228e-06	0	0	0	0	0	0	0	0.0562536	0.00145872	0.00265857	1.17122e-06	8.06394e-06	7.89352e-07	0.0514556	0.000133238	9.50628e-05	2.63122e-06	0.5
15	0.151033	0.000163682	0.0435579	0.000244974	5.96783e-06	0.000175133	7.89853e-06	0	0	0	0	0	0	0	0.054409	0.00160884	0.00284262	1.38632e-06	9.85244e-06	9.28414e-07	0.0536971	0.000141609	0.000101035	3.07875e-06	0.5
16	0.161149	0.000163373	0.0453619	0.000275475	7.11372e-06	0.000197008	9.57167e-06	0	0	0	0	0	0	0	0.0524105	0.00177647	0.00303213	1.631e-06	1.18649e-05	1.08533e-06	0.0556961	0.00014984	0.000106909	3.55545e-06	0.5
17	0.171479	0.000163354	0.0473148	0.000307368	8.38801e-06	0.000219901	1.14509e-05	0	0	0	0	0	0	0	0.0502587	0.00196404	0.00322516	1.91007e-06	1.41075e-05	1.26295e-06	0.0574484	0.000157935	0.000112684	4.05896e-06	0.5
18	0.181962	0.00016363	0.0494164	0.000340593	9.79737e-06	0.000243772	1.35444e-05	0	0	0	0	0	0	0	0.0479558	0.00217461	0.00341965	2.22951e-06	1.65848e-05	1.4648e-06	0.0589518	0.000165894	0.000118363	4.58662e-06	0.5
19	0.192534	0.000164199	0.0516648	0.000375092	1.13489e-05	0.000268582	1.58594e-05	0	0	0	0	0	0	0	0.045506	0.00241198	0.00361336	2.59679e-06	1.9299e-05	1.69536e-06	0.0602066	0.000173722	0.000123947	5.13537e-06	0.5
20	0.203138	0.000165054	0.054056	0.000410807	1.30501e-05	0.000294293	1.84026e-05	0	0	0	0	0	0	0	0.0429157	0.00268099	0.00380385	3.02129e-06	2.22502e-05	1.96021e-06	0.0612154	0.000181418	0.000129439	5.70168e-06	0.5
21	0.213715	0.000166184	0.056584	0.000447682	1.49087e-05	0.000320868	2.11795e-05	0	0	0	0	0	0	0	0.0401936	0.00298773	0.00398839	3.51487e-06	2.5435e-05	2.26645e-06	0.0619837	0.000188987	0.000134839	6.28131e-06	0.5
22	0.224212	0.000167574	0.0592408	0.000485661	1.69329e-05	0.00034827	2.41948e-05	0	0	0	0	0	0	0	0.0373509	0.00333999	0.00416393	4.09263e-06	2.88465e-05	2.62311e-06	0.0625197	0.000196429	0.000140149	6.86918e-06	0.5
23	0.234577	0.000169205	0.0620154	0.00052469	1.91309e-05	0.000376463	2.74513e-05	0	0	0	0	0	0	0	0.034402	0.00374768	0.0043269	4.77392e-06	3.24731e-05	3.04181e-06	0.0628345	0.000203747	0.00014537	7.45901e-06	0.5
24	0.244765	0.000171052	0.0648941	0.000564717	2.15111e-05	0.000405412	3.09499e-05	0	0	0	0	0	0	0	0.0313649	0.00422357	0.00447311	5.58362e-06	3.62968e-05	3.53748e-06	0.0629419	0.000210944	0.000150505	8.04295e-06	0.5
25	0.254733	0.000173086	0.0678596	0.000605691	2.40815e-05	0.000435083	3.46893e-05	0	0	0	0	0	0	0	0.0282621	0.0047841	0.00459753	6.55401e-06	4.02921e-05	4.12951e-06	0.0628584	0.00021802	0.000155554	8.61108e-06	0.5
26	0.264445	0.000175271	0.0708902	0.000647562	2.68498e-05	0.000465442	3.86643e-05	0	0	0	0	0	0	0	0.0251214	0.00545044	0.00469403	7.72693e-06	4.44233e-05	4.84307e-06	0.062603	0.000224979	0.000160519	9.15075e-06	0.5
27	0.273871	0.000177564	0.0739591	0.000690282	2.98231e-05	0.000496456	4.28658e-05	0	0	0	0	0	0	0	0.0219771	0.00624982	0.0047552	9.15657e-06	4.86417e-05	5.71082e-06	0.0621968	0.000231822	0.000165401	9.64581e-06	0.5
