Time	[Mad1:C-Mad2]	[O-Mad2]	[Mad1:C-Mad2:O-Mad2*]	[Cdc20]	[Cdc20:C-Mad2]	[Bub3:BubR1]	[MCC]	[Bub3:BubR1:Cdc20]
0	5e-08	1.3e-07	0	2.2e-07	0	1.3e-07	0	0
1	4.95136e-08	1.28755e-07	4.86368e-10	2.18984e-07	4.80243e-10	1.29464e-07	2.77986e-10	2.58237e-10
2	4.94724e-08	1.27569e-07	5.2764e-10	2.1763e-07	7.88908e-10	1.28419e-07	1.11485e-09	4.66547e-10
3	4.94703e-08	1.26399e-07	5.29653e-10	2.16295e-07	8.98823e-10	1.27194e-07	2.17245e-09	6.33241e-10
4	4.94719e-08	1.25242e-07	5.28098e-10	2.15004e-07	9.42971e-10	1.25947e-07	3.28685e-09	7.65771e-10
5	4.94738e-08	1.24097e-07	5.26161e-10	2.13753e-07	9.68442e-10	1.24721e-07	4.40859e-09	8.70413e-10
6	4.94759e-08	1.22963e-07	5.24133e-10	2.12535e-07	9.88791e-10	1.23524e-07	5.52409e-09	9.52348e-10
7	4.94779e-08	1.2184e-07	5.22062e-10	2.11347e-07	1.0077e-09	1.22354e-07	6.62979e-09	1.01584e-09
8	4.94801e-08	1.20729e-07	5.1995e-10	2.10185e-07	1.02628e-09	1.21211e-07	7.72472e-09	1.06423e-09
9	4.94822e-08	1.19629e-07	5.1779e-10	2.09046e-07	1.0449e-09	1.20091e-07	8.80862e-09	1.10047e-09
10	4.94844e-08	1.18539e-07	5.15624e-10	2.07928e-07	1.06345e-09	1.18991e-07	9.8817e-09	1.12681e-09
11	4.94865e-08	1.17461e-07	5.13478e-10	2.06829e-07	1.08196e-09	1.17911e-07	1.0944e-08	1.14514e-09
12	4.94887e-08	1.16393e-07	5.1129e-10	2.05747e-07	1.10065e-09	1.16848e-07	1.19955e-08	1.15697e-09
13	4.94909e-08	1.15335e-07	5.09087e-10	2.04681e-07	1.11943e-09	1.158e-07	1.30364e-08	1.16353e-09
14	4.94931e-08	1.14288e-07	5.06878e-10	2.03629e-07	1.13831e-09	1.14767e-07	1.40667e-08	1.16588e-09
15	4.94953e-08	1.13251e-07	5.04665e-10	2.02591e-07	1.15729e-09	1.13749e-07	1.50866e-08	1.16484e-09
16	4.94976e-08	1.12225e-07	5.02434e-10	2.01566e-07	1.1764e-09	1.12743e-07	1.60961e-08	1.16104e-09
17	4.94998e-08	1.11209e-07	5.00193e-10	2.00554e-07	1.19565e-09	1.11749e-07	1.70954e-08	1.15508e-09
18	4.9502e-08	1.10202e-07	4.97959e-10	1.99553e-07	1.21499e-09	1.10768e-07	1.80846e-08	1.14739e-09
19	4.95043e-08	1.09206e-07	4.95723e-10	1.98563e-07	1.23446e-09	1.09798e-07	1.90637e-08	1.13832e-09
20	4.95065e-08	1.0822e-07	4.93486e-10	1.97585e-07	1.25405e-09	1.08839e-07	2.00329e-08	1.12816e-09
21	4.95088e-08	1.07243e-07	4.91244e-10	1.96617e-07	1.27378e-09	1.07891e-07	2.09922e-08	1.11719e-09
22	4.9511e-08	1.06276e-07	4.88988e-10	1.95659e-07	1.29367e-09	1.06953e-07	2.19418e-08	1.10559e-09
23	4.95132e-08	1.05318e-07	4.86768e-10	1.94711e-07	1.31363e-09	1.06025e-07	2.28817e-08	1.09352e-09
24	4.95155e-08	1.0437e-07	4.84535e-10	1.93773e-07	1.33375e-09	1.05107e-07	2.38121e-08	1.0811e-09
25	4.95177e-08	1.03431e-07	4.82306e-10	1.92845e-07	1.35399e-09	1.04199e-07	2.4733e-08	1.06845e-09
26	4.95199e-08	1.02501e-07	4.80074e-10	1.91925e-07	1.37439e-09	1.033e-07	2.56445e-08	1.05563e-09
27	4.95222e-08	1.01581e-07	4.77844e-10	1.91016e-07	1.39492e-09	1.02411e-07	2.65467e-08	1.04273e-09
28	4.95244e-08	1.00669e-07	4.75619e-10	1.90115e-07	1.41559e-09	1.0153e-07	2.74397e-08	1.02979e-09
29	4.95266e-08	9.97666e-08	4.73403e-10	1.89223e-07	1.43638e-09	1.00659e-07	2.83237e-08	1.01686e-09
30	4.95288e-08	9.88729e-08	4.71185e-10	1.8834e-07	1.45732e-09	9.97974e-08	2.91986e-08	1.00399e-09
31	4.95311e-08	9.79881e-08	4.68939e-10	1.87466e-07	1.47846e-09	9.89443e-08	3.00645e-08	9.91189e-10
