Time	[APP]	[C83]	[C99]	[AB]	[X]	[p3]
47	1.61534	2.04146	0.0446182	3.13556	0	40.163
48	1.61625	2.04169	0.044633	3.21004	0	41.0874
49	1.61707	2.04191	0.0446465	3.28455	0	42.0118
50	1.61782	2.0421	0.0446587	3.35908	0	42.9363
51	1.61851	2.04228	0.0446698	3.43363	0	43.8609
52	1.61913	2.04243	0.04468	3.50819	0	44.7856
53	1.6197	2.04258	0.0446893	3.58277	0	45.7103
54	1.62021	2.04271	0.0446977	3.65736	0	46.635
55	1.62069	2.04283	0.0447053	3.73196	0	47.5598
56	1.62111	2.04294	0.0447123	3.80658	0	48.4847
57	1.6215	2.04304	0.0447187	3.88121	0	49.4095
58	1.62186	2.04313	0.0447244	3.95584	0	50.3344
59	1.62218	2.04322	0.0447297	4.03049	0	51.2594
60	1.62248	2.04329	0.0447345	4.10514	0	52.1844
61	1.62275	2.04336	0.0447389	4.1798	0	53.1094
62	1.62299	2.04342	0.0447429	4.25446	0	54.0344
63	1.62322	2.04348	0.0447465	4.32913	0	54.9594
64	1.62342	2.04353	0.0447498	4.40381	0	55.8845
65	1.6236	2.04358	0.0447528	4.47849	0	56.8096
66	1.62377	2.04362	0.0447555	4.55318	0	57.7347
67	1.62393	2.04366	0.044758	4.62787	0	58.6598
68	1.62407	2.04369	0.0447603	4.70256	0	59.5849
69	1.62419	2.04373	0.0447623	4.77726	0	60.5101
70	1.62431	2.04376	0.0447642	4.85196	0	61.4352
71	1.62441	2.04378	0.0447659	4.92666	0	62.3604
72	1.62451	2.04381	0.0447675	5.00137	0	63.2855
73	1.6246	2.04383	0.0447689	5.07608	0	64.2107
74	1.62468	2.04385	0.0447702	5.15079	0	65.1359
75	1.62475	2.04387	0.0447714	5.2255	0	66.0611
76	1.62482	2.04389	0.0447725	5.30022	0	66.9863
77	1.62488	2.0439	0.0447735	5.37493	0	67.9115
78	1.62493	2.04392	0.0447744	5.44965	0	68.8367
79	1.62498	2.04393	0.0447752	5.52437	0	69.7619
80	1.62503	2.04394	0.0447759	5.59909	0	70.6872
81	1.62507	2.04395	0.0447766	5.67381	0	71.6124
82	1.62511	2.04396	0.0447772	5.74853	0	72.5376
83	1.62514	2.04397	0.0447778	5.82325	0	73.4629
84	1.62518	2.04398	0.0447783	5.89797	0	74.3881
85	1.6252	2.04398	0.0447788	5.9727	0	75.3133
86	1.62523	2.04399	0.0447792	6.04742	0	76.2386
87	1.62525	2.044	0.0447796	6.12215	0	77.1638
88	1.62528	2.044	0.0447799	6.19688	0	78.0891
89	1.62529	2.04401	0.0447802	6.2716	0	79.0143
90	1.62531	2.04401	0.0447805	6.34633	0	79.9396
91	1.62533	2.04402	0.0447808	6.42106	0	80.8648
92	1.62534	2.04402	0.044781	6.49579	0	81.7901
93	1.62536	2.04402	0.0447812	6.57051	0	82.7153
94	1.62537	2.04403	0.0447814	6.64524	0	83.6406
95	1.62538	2.04403	0.0447816	6.71997	0	84.5658
96	1.62539	2.04403	0.0447818	6.7947	0	85.4911
97	1.6254	2.04403	0.0447819	6.86943	0	86.4164
98	1.62541	2.04404	0.0447821	6.94416	0	87.3416
99	1.62542	2.04404	0.0447822	7.01889	0	88.2669
100	1.62542	2.04404	0.0447823	7.09362	0	89.1921
