Time	[mRNA]	[miRNA_1]	[miRNA_2]	[duplex_1]	[duplex_2]	[triplex]	[TF_mRNA]	[TF_miRNA_1]	[TF_miRNA_2]	[protein]
0	1	0	0	0	0	0	1	1	1	1
1	0.906953	0.539076	0.539168	9.51876e-05	2.75726e-06	0.0929493	1	1	1	0.974976
2	0.786641	0.65131	0.651465	0.00015945	4.62922e-06	0.213195	1	1	1	0.883638
3	0.734921	0.685139	0.685311	0.000176705	5.13703e-06	0.264897	1	1	1	0.800756
4	0.715875	0.697565	0.69774	0.000180095	5.23876e-06	0.28394	1	1	1	0.751168
5	0.708946	0.702213	0.702388	0.000180448	5.25025e-06	0.290869	1	1	1	0.725959
6	0.706413	0.703939	0.704114	0.000180324	5.24703e-06	0.293402	1	1	1	0.714145
7	0.705483	0.704577	0.704752	0.000180207	5.24372e-06	0.294331	1	1	1	0.708869
8	0.705142	0.704812	0.704987	0.000180143	5.24188e-06	0.294673	1	1	1	0.706586
9	0.705016	0.704898	0.705073	0.000180114	5.24103e-06	0.294798	1	1	1	0.70562
10	0.70497	0.70493	0.705105	0.000180101	5.24067e-06	0.294844	1	1	1	0.705219
11	0.704953	0.704942	0.705117	0.000180096	5.24052e-06	0.294861	1	1	1	0.705055
12	0.704947	0.704946	0.705121	0.000180094	5.24046e-06	0.294868	1	1	1	0.704988
13	0.704945	0.704948	0.705122	0.000180093	5.24044e-06	0.29487	1	1	1	0.704961
14	0.704944	0.704948	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.70495
15	0.704944	0.704948	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704946
16	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704944
17	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704944
18	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704944
19	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
20	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
21	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
22	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
23	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
24	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
25	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
26	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
27	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
28	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
29	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
30	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
31	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
32	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
33	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
34	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
35	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
36	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
37	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
38	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
39	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
40	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
41	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
42	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
43	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
44	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
45	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
46	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
47	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
48	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
49	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
50	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
51	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
52	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
53	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
54	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
55	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
56	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
57	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
58	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
59	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
60	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
61	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
62	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
63	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
64	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
65	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
66	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
67	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
68	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
69	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
70	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
71	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
72	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
73	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
74	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
75	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
76	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
77	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
78	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
79	0.704943	0.704949	0.705123	0.000180093	5.24043e-06	0.294871	1	1	1	0.704943
