Time	[ADP]	[NAD]	[ATP]	[NADH]	[pyruvate]	[lactate]	[CoA]	[halfglucose]	[AcCoA]	[AcP]	[Ac]	[AcO]	[EtOH]	[AcLac]	[AcetoinIn]	[AcetoinOut]	[Butanediol]	[O2]	[PO4]
32	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
33	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
34	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
35	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
36	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
37	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
38	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
39	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
40	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
41	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
42	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
43	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
44	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
