Time	[CaI]	[IP3]	[g]	[PMCA]	[SERCA]	[STIM]	[CaO]	[CaM]	[CaS]
57	0.0578627	0.0290193	0.796872	0.0130026	0.26603	0.0199995	1000	0.108677	1.7573
58	0.0579236	0.0289511	0.782669	0.0130026	0.26603	0.0199995	1000	0.104782	1.76103
59	0.0582072	0.0290351	0.768719	0.0130026	0.26603	0.0199995	1000	0.100915	1.76451
60	0.05863	0.0292106	0.75502	0.0130026	0.26603	0.0199995	1000	0.0970776	1.76781
61	0.0591478	0.0294451	0.741566	0.0130026	0.26603	0.0199995	1000	0.093273	1.77095
62	0.0597375	0.0297217	0.728354	0.0130027	0.266031	0.0199995	1000	0.089504	1.77397
63	0.0603885	0.0300316	0.715378	0.0130027	0.266031	0.0199995	1000	0.0857732	1.77687
64	0.0610974	0.0303715	0.702637	0.0130027	0.266031	0.0199995	1000	0.0820836	1.77964
65	0.0618659	0.0307408	0.690124	0.0130027	0.266031	0.0199995	1000	0.0784385	1.78228
66	0.0626992	0.0311411	0.677836	0.0130027	0.266031	0.0199995	1000	0.0748413	1.78478
67	0.0636057	0.031576	0.66577	0.0130027	0.266031	0.0199995	1000	0.0712961	1.78713
68	0.064598	0.0320506	0.653922	0.0130027	0.266031	0.0199995	1000	0.0678077	1.78929
69	0.0656929	0.0325723	0.642288	0.0130027	0.266032	0.0199995	1000	0.0643813	1.79126
70	0.0669135	0.033151	0.630865	0.0130028	0.266032	0.0199995	1000	0.0610233	1.79299
71	0.0682918	0.0338006	0.61965	0.0130028	0.266032	0.0199995	1000	0.0577415	1.79443
72	0.0698735	0.0345402	0.608639	0.0130028	0.266032	0.0199995	1000	0.0545453	1.79554
73	0.0717255	0.0353981	0.597831	0.0130028	0.266032	0.0199995	1000	0.0514468	1.79621
74	0.073951	0.0364165	0.587223	0.0130029	0.266032	0.0199995	1000	0.0484616	1.79633
75	0.0767173	0.0376626	0.576815	0.0130029	0.266032	0.0199995	1000	0.045612	1.79567
76	0.0803158	0.03925	0.566605	0.0130029	0.266032	0.0199994	1000	0.0429308	1.7939
77	0.0853042	0.0413883	0.556599	0.013003	0.266033	0.0199994	1000	0.0404716	1.79035
78	0.0928979	0.0445112	0.546809	0.013003	0.266033	0.0199994	1000	0.0383348	1.78363
