Time	[cLc]	[cLm]	[cLn]	[cP7c]	[cP7m]	[cP7n]	[cP9c]	[cP9m]	[cP9n]	[cPn]	[cTc]	[cTm]	[cTn]	[cXc]	[cXm]	[cXn]	[cYc]	[cYm]	[cYn]
0	0.0731	0.1114	0.2366	0.0266	0.0204	1.5103	0.734	0.002	1.1162	0	5.2235	3.6732	4.5333	2.4188	0.652	14.7289	49.2611	0.2992	17.4355
1	0.0773013	0.134423	0.252706	0.0236623	0.0172185	1.35483	0.684014	0.0014819	1.04031	0	5.20605	3.62	4.51875	2.44826	0.656407	14.9143	48.9187	0.296856	17.3144
2	0.0873865	0.166493	0.28419	0.0209613	0.0146591	1.20893	0.63604	0.0011246	0.967425	0	5.16555	3.55847	4.48413	2.47627	0.659122	15.0933	48.5744	0.296392	17.1923
3	0.103218	0.209625	0.334354	0.0185622	0.0127031	1.07475	0.590527	0.000903754	0.898248	0	5.10542	3.49263	4.43236	2.50122	0.660028	15.2554	48.2482	0.297772	17.0764
4	0.125814	0.265943	0.406484	0.016503	0.0114031	0.954157	0.547854	0.000825556	0.833349	0	5.0301	3.42632	4.36728	2.52172	0.659123	15.3913	47.9584	0.300871	16.9731
5	0.156312	0.337004	0.50435	0.0148511	0.0109328	0.849266	0.508492	0.000949042	0.773433	0	4.94458	3.36287	4.2932	2.53663	0.656509	15.4936	47.7211	0.305472	16.8882
6	0.195628	0.422366	0.631148	0.0137338	0.0116668	0.76338	0.473307	0.00143605	0.719769	0	4.85389	3.30485	4.21452	2.54518	0.652377	15.5568	47.5486	0.31127	16.8262
7	0.243725	0.517024	0.78726	0.013378	0.0142786	0.702263	0.444107	0.00264012	0.675017	0	4.76272	3.25389	4.1353	2.54697	0.646991	15.5778	47.4491	0.317872	16.7899
8	0.298376	0.608067	0.966328	0.0141426	0.0197788	0.675692	0.424565	0.00520504	0.644585	0	4.67499	3.2109	4.05899	2.54197	0.640656	15.556	47.4259	0.324836	16.7806
9	0.35372	0.67342	1.1504	0.0164815	0.0292756	0.698299	0.421195	0.0100036	0.638145	0	4.59385	3.17664	3.98833	2.5305	0.633697	15.4927	47.4777	0.331735	16.798
10	0.400006	0.688983	1.30833	0.0207469	0.0431881	0.787328	0.443081	0.0175749	0.669365	0	4.52215	3.15292	3.92578	2.51319	0.626442	15.3917	47.5991	0.338277	16.8401
11	0.426668	0.645901	1.40465	0.0268335	0.0601318	0.954781	0.498151	0.0270631	0.750533	0	4.46315	3.14333	3.87418	2.49093	0.619221	15.2581	47.783	0.344372	16.9044
12	0.427982	0.560432	1.41796	0.0339576	0.076713	1.19616	0.58644	0.0358569	0.882412	0	4.42118	3.15237	3.83724	2.46483	0.612391	15.0987	48.0224	0.350036	16.9885
