Time	[Fru_e]	[_2PGA_c]	[Fru_g]	[Fru_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[NADPH_c]	[Fru6P_g]	[Fru6P_c]	[Pi_g]	[O2_c]	[NADP_c]	[ATP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[Rib_g]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
40	5	0.351272	0.112092	0.112185	4.94611	0.0893414	2.62348	0.959932	1.13611	1.42463	4.258	0.387314	0.439981	0.9	0	1	3.61269	1.98447	3.47655	0.000969357	0	0.0166753	0.000540622	0.0665763	14.036	0.01	0.127021	0.207694	0.30872	0.207391	5	0.523449	0.01	1.62047	0	3.94744	10.0914	0.119536	0	0.367556	0	0.0538907	19.4367	0.00139954	0.0124438	0.00595895	1.00628	4.95073	1168.6	0.490907	0.0525578
41	5	0.351277	0.112125	0.112218	4.94611	0.0893127	2.62344	0.959793	1.13625	1.42461	4.25808	0.387315	0.440034	0.9	0	1	3.61269	1.98451	3.47655	0.000969263	0	0.0166753	0.000540623	0.0665675	14.0479	0.01	0.127017	0.2078	0.308671	0.207496	5	0.523451	0.01	1.62049	0	3.94744	10.0909	0.119534	0	0.367556	0	0.0538947	19.4379	0.00139954	0.0124438	0.00595896	1.00629	4.95089	1168.62	0.490883	0.0525591
42	5	0.35128	0.112154	0.112247	4.9461	0.0892873	2.62341	0.959671	1.13637	1.42459	4.25813	0.387316	0.440082	0.9	0	1	3.61268	1.98455	3.47655	0.00096918	0	0.0166754	0.000540624	0.0665597	14.0583	0.01	0.127014	0.207893	0.308628	0.20759	5	0.523452	0.01	1.6205	0	3.94744	10.0904	0.119532	0	0.367556	0	0.0538982	19.439	0.00139954	0.0124438	0.00595897	1.0063	4.95104	1168.63	0.490863	0.0525602
43	5	0.351283	0.11218	0.112272	4.9461	0.089265	2.62338	0.959564	1.13648	1.42458	4.25818	0.387317	0.440123	0.9	0	1	3.61268	1.98458	3.47655	0.000969107	0	0.0166754	0.000540625	0.0665528	14.0676	0.01	0.127011	0.207975	0.30859	0.207672	5	0.523454	0.01	1.62051	0	3.94744	10.09	0.119531	0	0.367556	0	0.0539014	19.4399	0.00139955	0.0124437	0.00595898	1.0063	4.95117	1168.64	0.490845	0.0525612
44	5	0.351285	0.112202	0.112295	4.9461	0.0892453	2.62335	0.959469	1.13657	1.42456	4.25821	0.387317	0.440159	0.9	0	1	3.61268	1.98461	3.47655	0.000969042	0	0.0166754	0.000540625	0.0665467	14.0757	0.01	0.127008	0.208047	0.308557	0.207744	5	0.523455	0.01	1.62052	0	3.94744	10.0896	0.11953	0	0.367556	0	0.0539042	19.4408	0.00139955	0.0124437	0.00595899	1.00631	4.95129	1168.65	0.49083	0.0525621
45	5	0.351287	0.112222	0.112315	4.94609	0.0892279	2.62333	0.959386	1.13665	1.42455	4.25824	0.387318	0.440191	0.9	0	1	3.61268	1.98463	3.47654	0.000968986	0	0.0166754	0.000540626	0.0665414	14.0829	0.01	0.127005	0.208111	0.308528	0.207808	5	0.523456	0.01	1.62052	0	3.94744	10.0892	0.119528	0	0.367556	0	0.0539067	19.4415	0.00139955	0.0124437	0.00595899	1.00631	4.95139	1168.66	0.490818	0.052563
46	5	0.351288	0.11224	0.112333	4.94609	0.0892127	2.6233	0.959312	1.13673	1.42455	4.25826	0.387319	0.44022	0.9	0	1	3.61268	1.98465	3.47654	0.000968935	0	0.0166754	0.000540627	0.0665367	14.0892	0.01	0.127003	0.208168	0.308502	0.207864	5	0.523457	0.01	1.62053	0	3.94744	10.0889	0.119527	0	0.367556	0	0.053909	19.4422	0.00139955	0.0124437	0.005959	1.00632	4.95148	1168.66	0.490807	0.0525637
47	5	0.351289	0.112256	0.112348	4.94609	0.0891992	2.62328	0.959247	1.13679	1.42454	4.25827	0.387319	0.440244	0.9	0	1	3.61268	1.98467	3.47654	0.000968891	0	0.0166754	0.000540627	0.0665325	14.0948	0.01	0.127	0.208217	0.308479	0.207914	5	0.523458	0.01	1.62053	0	3.94744	10.0887	0.119526	0	0.367556	0	0.053911	19.4428	0.00139955	0.0124437	0.005959	1.00632	4.95155	1168.67	0.490797	0.0525644
48	5	0.35129	0.112269	0.112362	4.94609	0.0891873	2.62327	0.95919	1.13685	1.42453	4.25829	0.387319	0.440266	0.9	0	1	3.61268	1.98468	3.47654	0.000968852	0	0.0166754	0.000540627	0.0665289	14.0998	0.01	0.126998	0.208261	0.308459	0.207958	5	0.523458	0.01	1.62053	0	3.94744	10.0884	0.119525	0	0.367556	0	0.0539128	19.4433	0.00139955	0.0124437	0.00595901	1.00632	4.95162	1168.67	0.490789	0.052565
49	5	0.351291	0.112281	0.112374	4.94609	0.0891768	2.62325	0.95914	1.13689	1.42453	4.25829	0.38732	0.440285	0.9	0	1	3.61268	1.98469	3.47654	0.000968818	0	0.0166754	0.000540628	0.0665257	14.1041	0.01	0.126996	0.2083	0.308441	0.207997	5	0.523459	0.01	1.62053	0	3.94743	10.0882	0.119525	0	0.367556	0	0.0539144	19.4438	0.00139955	0.0124437	0.00595901	1.00633	4.95168	1168.67	0.490782	0.0525655
50	5	0.351291	0.112292	0.112385	4.94608	0.0891676	2.62324	0.959095	1.13694	1.42452	4.2583	0.38732	0.440302	0.9	0	1	3.61268	1.9847	3.47654	0.000968788	0	0.0166754	0.000540628	0.0665228	14.108	0.01	0.126995	0.208334	0.308425	0.208031	5	0.523459	0.01	1.62053	0	3.94743	10.088	0.119524	0	0.367556	0	0.0539158	19.4442	0.00139955	0.0124437	0.00595901	1.00633	4.95174	1168.67	0.490776	0.052566
51	5	0.351292	0.112302	0.112394	4.94608	0.0891595	2.62322	0.959056	1.13698	1.42452	4.25831	0.38732	0.440317	0.9	0	1	3.61268	1.98471	3.47654	0.000968761	0	0.0166754	0.000540628	0.0665203	14.1113	0.01	0.126993	0.208364	0.308412	0.208061	5	0.52346	0.01	1.62053	0	3.94743	10.0878	0.119523	0	0.367556	0	0.053917	19.4446	0.00139955	0.0124436	0.00595902	1.00633	4.95178	1168.67	0.490771	0.0525665
52	5	0.351292	0.11231	0.112402	4.94608	0.0891523	2.62321	0.959022	1.13701	1.42451	4.25831	0.387321	0.44033	0.9	0	1	3.61268	1.98472	3.47654	0.000968738	0	0.0166754	0.000540629	0.0665181	14.1143	0.01	0.126992	0.208391	0.308399	0.208087	5	0.52346	0.01	1.62053	0	3.94743	10.0877	0.119523	0	0.367556	0	0.0539181	19.4449	0.00139955	0.0124436	0.00595902	1.00633	4.95183	1168.67	0.490766	0.0525669
53	5	0.351293	0.112317	0.11241	4.94608	0.089146	2.6232	0.958991	1.13704	1.42451	4.25831	0.387321	0.440341	0.9	0	1	3.61268	1.98473	3.47654	0.000968717	0	0.0166754	0.000540629	0.0665162	14.117	0.01	0.126991	0.208414	0.308389	0.208111	5	0.523461	0.01	1.62053	0	3.94743	10.0876	0.119522	0	0.367556	0	0.0539191	19.4452	0.00139955	0.0124436	0.00595902	1.00633	4.95186	1168.67	0.490762	0.0525672
54	5	0.351293	0.112324	0.112416	4.94608	0.0891404	2.62319	0.958964	1.13707	1.42451	4.25831	0.387321	0.440352	0.9	0	1	3.61268	1.98473	3.47654	0.000968699	0	0.0166754	0.000540629	0.0665144	14.1193	0.01	0.12699	0.208435	0.308379	0.208131	5	0.523461	0.01	1.62053	0	3.94743	10.0874	0.119522	0	0.367556	0	0.05392	19.4455	0.00139955	0.0124436	0.00595902	1.00633	4.9519	1168.67	0.490759	0.0525675
55	5	0.351293	0.112329	0.112422	4.94608	0.0891355	2.62319	0.958941	1.13709	1.4245	4.25831	0.387321	0.440361	0.9	0	1	3.61268	1.98474	3.47654	0.000968682	0	0.0166754	0.000540629	0.0665129	14.1213	0.01	0.126989	0.208453	0.308371	0.20815	5	0.523461	0.01	1.62052	0	3.94743	10.0873	0.119522	0	0.367556	0	0.0539208	19.4457	0.00139955	0.0124436	0.00595903	1.00633	4.95192	1168.67	0.490756	0.0525678
56	5	0.351293	0.112334	0.112427	4.94608	0.0891312	2.62318	0.95892	1.13711	1.4245	4.25831	0.387321	0.440368	0.9	0	1	3.61268	1.98474	3.47654	0.000968668	0	0.0166754	0.00054063	0.0665116	14.1231	0.01	0.126988	0.208469	0.308364	0.208166	5	0.523462	0.01	1.62052	0	3.94743	10.0873	0.119521	0	0.367556	0	0.0539214	19.4459	0.00139955	0.0124436	0.00595903	1.00633	4.95195	1168.67	0.490753	0.052568
57	5	0.351293	0.112339	0.112431	4.94608	0.0891274	2.62317	0.958901	1.13713	1.4245	4.25831	0.387322	0.440375	0.9	0	1	3.61268	1.98475	3.47654	0.000968656	0	0.0166754	0.00054063	0.0665104	14.1247	0.01	0.126987	0.208483	0.308357	0.20818	5	0.523462	0.01	1.62052	0	3.94743	10.0872	0.119521	0	0.367556	0	0.053922	19.4461	0.00139955	0.0124436	0.00595903	1.00633	4.95197	1168.67	0.490751	0.0525683
58	5	0.351294	0.112343	0.112435	4.94608	0.089124	2.62317	0.958885	1.13714	1.4245	4.25831	0.387322	0.440381	0.9	0	1	3.61268	1.98475	3.47654	0.000968645	0	0.0166754	0.00054063	0.0665094	14.1261	0.01	0.126987	0.208496	0.308352	0.208192	5	0.523462	0.01	1.62052	0	3.94743	10.0871	0.119521	0	0.367556	0	0.0539226	19.4462	0.00139955	0.0124436	0.00595903	1.00634	4.95199	1168.67	0.490749	0.0525684
59	5	0.351294	0.112346	0.112439	4.94608	0.089121	2.62316	0.958871	1.13716	1.4245	4.25831	0.387322	0.440387	0.9	0	1	3.61268	1.98475	3.47654	0.000968635	0	0.0166754	0.00054063	0.0665085	14.1274	0.01	0.126986	0.208507	0.308347	0.208203	5	0.523462	0.01	1.62052	0	3.94743	10.087	0.119521	0	0.367556	0	0.053923	19.4464	0.00139955	0.0124436	0.00595903	1.00634	4.95201	1168.67	0.490747	0.0525686
60	5	0.351294	0.112349	0.112442	4.94608	0.0891184	2.62316	0.958858	1.13717	1.4245	4.25831	0.387322	0.440391	0.9	0	1	3.61268	1.98476	3.47654	0.000968626	0	0.0166754	0.00054063	0.0665077	14.1285	0.01	0.126986	0.208516	0.308342	0.208213	5	0.523462	0.01	1.62052	0	3.94743	10.087	0.11952	0	0.367556	0	0.0539235	19.4465	0.00139955	0.0124436	0.00595903	1.00634	4.95202	1168.67	0.490746	0.0525688
61	5	0.351294	0.112352	0.112444	4.94608	0.0891161	2.62315	0.958847	1.13718	1.4245	4.25831	0.387322	0.440396	0.9	0	1	3.61268	1.98476	3.47654	0.000968619	0	0.0166754	0.00054063	0.066507	14.1294	0.01	0.126985	0.208525	0.308338	0.208222	5	0.523462	0.01	1.62052	0	3.94743	10.0869	0.11952	0	0.367556	0	0.0539238	19.4466	0.00139955	0.0124436	0.00595903	1.00634	4.95204	1168.67	0.490744	0.0525689
62	5	0.351294	0.112354	0.112447	4.94608	0.0891141	2.62315	0.958837	1.13719	1.42449	4.25831	0.387322	0.440399	0.9	0	1	3.61268	1.98476	3.47654	0.000968612	0	0.0166754	0.00054063	0.0665063	14.1303	0.01	0.126985	0.208532	0.308335	0.208229	5	0.523463	0.01	1.62052	0	3.94743	10.0869	0.11952	0	0.367556	0	0.0539242	19.4467	0.00139955	0.0124436	0.00595903	1.00634	4.95205	1168.67	0.490743	0.052569
63	5	0.351294	0.112356	0.112449	4.94608	0.0891123	2.62315	0.958829	1.1372	1.42449	4.25831	0.387322	0.440403	0.9	0	1	3.61268	1.98476	3.47654	0.000968606	0	0.0166754	0.00054063	0.0665058	14.131	0.01	0.126984	0.208539	0.308332	0.208236	5	0.523463	0.01	1.62052	0	3.94743	10.0868	0.11952	0	0.367556	0	0.0539244	19.4468	0.00139955	0.0124436	0.00595903	1.00634	4.95206	1168.67	0.490742	0.0525691
64	5	0.351294	0.112358	0.112451	4.94608	0.0891107	2.62314	0.958821	1.1372	1.42449	4.25831	0.387322	0.440405	0.9	0	1	3.61268	1.98477	3.47654	0.000968601	0	0.0166754	0.00054063	0.0665053	14.1317	0.01	0.126984	0.208545	0.308329	0.208242	5	0.523463	0.01	1.62052	0	3.94743	10.0868	0.11952	0	0.367556	0	0.0539247	19.4469	0.00139955	0.0124436	0.00595903	1.00634	4.95207	1168.67	0.490741	0.0525692
65	5	0.351294	0.11236	0.112452	4.94608	0.0891093	2.62314	0.958815	1.13721	1.42449	4.25831	0.387322	0.440408	0.9	0	1	3.61268	1.98477	3.47654	0.000968596	0	0.0166754	0.00054063	0.0665049	14.1323	0.01	0.126984	0.20855	0.308327	0.208247	5	0.523463	0.01	1.62052	0	3.94743	10.0868	0.11952	0	0.367556	0	0.0539249	19.4469	0.00139955	0.0124436	0.00595903	1.00634	4.95208	1168.67	0.490741	0.0525693
66	5	0.351294	0.112361	0.112454	4.94607	0.0891081	2.62314	0.958809	1.13722	1.42449	4.25831	0.387322	0.44041	0.9	0	1	3.61268	1.98477	3.47654	0.000968592	0	0.0166754	0.00054063	0.0665045	14.1328	0.01	0.126983	0.208555	0.308325	0.208251	5	0.523463	0.01	1.62052	0	3.94743	10.0868	0.119519	0	0.367556	0	0.0539251	19.447	0.00139955	0.0124436	0.00595903	1.00634	4.95208	1168.67	0.49074	0.0525694
67	5	0.351294	0.112362	0.112455	4.94607	0.089107	2.62314	0.958803	1.13722	1.42449	4.25831	0.387322	0.440412	0.9	0	1	3.61268	1.98477	3.47654	0.000968589	0	0.0166754	0.00054063	0.0665041	14.1332	0.01	0.126983	0.208559	0.308323	0.208255	5	0.523463	0.01	1.62051	0	3.94743	10.0867	0.119519	0	0.367556	0	0.0539253	19.447	0.00139955	0.0124436	0.00595903	1.00634	4.95209	1168.67	0.490739	0.0525694
68	5	0.351294	0.112364	0.112456	4.94607	0.0891061	2.62314	0.958799	1.13723	1.42449	4.25831	0.387322	0.440414	0.9	0	1	3.61268	1.98477	3.47654	0.000968586	0	0.0166754	0.00054063	0.0665039	14.1336	0.01	0.126983	0.208562	0.308321	0.208259	5	0.523463	0.01	1.62051	0	3.94743	10.0867	0.119519	0	0.367556	0	0.0539255	19.4471	0.00139955	0.0124436	0.00595904	1.00634	4.9521	1168.67	0.490739	0.0525695
69	5	0.351294	0.112365	0.112457	4.94607	0.0891052	2.62314	0.958795	1.13723	1.42449	4.25831	0.387322	0.440415	0.9	0	1	3.61268	1.98477	3.47654	0.000968583	0	0.0166754	0.00054063	0.0665036	14.134	0.01	0.126983	0.208565	0.30832	0.208262	5	0.523463	0.01	1.62051	0	3.94743	10.0867	0.119519	0	0.367556	0	0.0539256	19.4471	0.00139955	0.0124436	0.00595904	1.00634	4.9521	1168.67	0.490738	0.0525695
70	5	0.351294	0.112365	0.112458	4.94607	0.0891045	2.62313	0.958791	1.13723	1.42449	4.25831	0.387322	0.440417	0.9	0	1	3.61268	1.98477	3.47654	0.00096858	0	0.0166754	0.000540631	0.0665034	14.1343	0.01	0.126983	0.208568	0.308318	0.208265	5	0.523463	0.01	1.62051	0	3.94743	10.0867	0.119519	0	0.367556	0	0.0539257	19.4472	0.00139955	0.0124436	0.00595904	1.00634	4.9521	1168.67	0.490738	0.0525696
71	5	0.351294	0.112366	0.112459	4.94607	0.0891038	2.62313	0.958788	1.13724	1.42449	4.25831	0.387322	0.440418	0.9	0	1	3.61268	1.98477	3.47654	0.000968578	0	0.0166754	0.000540631	0.0665032	14.1346	0.01	0.126983	0.20857	0.308317	0.208267	5	0.523463	0.01	1.62051	0	3.94743	10.0867	0.119519	0	0.367556	0	0.0539258	19.4472	0.00139955	0.0124436	0.00595904	1.00634	4.95211	1168.67	0.490738	0.0525696
72	5	0.351294	0.112367	0.112459	4.94607	0.0891032	2.62313	0.958785	1.13724	1.42449	4.25831	0.387322	0.440419	0.9	0	1	3.61268	1.98477	3.47654	0.000968576	0	0.0166754	0.000540631	0.066503	14.1348	0.01	0.126982	0.208573	0.308316	0.208269	5	0.523463	0.01	1.62051	0	3.94743	10.0867	0.119519	0	0.367556	0	0.0539259	19.4472	0.00139955	0.0124436	0.00595904	1.00634	4.95211	1168.67	0.490737	0.0525697
73	5	0.351294	0.112367	0.11246	4.94607	0.0891027	2.62313	0.958783	1.13724	1.42449	4.25831	0.387322	0.44042	0.9	0	1	3.61268	1.98477	3.47654	0.000968575	0	0.0166754	0.000540631	0.0665028	14.135	0.01	0.126982	0.208574	0.308315	0.208271	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.053926	19.4472	0.00139955	0.0124436	0.00595904	1.00634	4.95211	1168.67	0.490737	0.0525697
74	5	0.351294	0.112368	0.112461	4.94607	0.0891023	2.62313	0.958781	1.13724	1.42449	4.25831	0.387322	0.440421	0.9	0	1	3.61268	1.98477	3.47654	0.000968573	0	0.0166754	0.000540631	0.0665027	14.1352	0.01	0.126982	0.208576	0.308315	0.208273	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539261	19.4473	0.00139955	0.0124436	0.00595904	1.00634	4.95212	1168.67	0.490737	0.0525697
75	5	0.351294	0.112368	0.112461	4.94607	0.0891019	2.62313	0.958779	1.13725	1.42449	4.25831	0.387322	0.440421	0.9	0	1	3.61268	1.98477	3.47654	0.000968572	0	0.0166754	0.000540631	0.0665026	14.1354	0.01	0.126982	0.208578	0.308314	0.208274	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539261	19.4473	0.00139955	0.0124436	0.00595904	1.00634	4.95212	1168.67	0.490737	0.0525697
76	5	0.351294	0.112369	0.112461	4.94607	0.0891015	2.62313	0.958777	1.13725	1.42449	4.25831	0.387322	0.440422	0.9	0	1	3.61268	1.98477	3.47654	0.000968571	0	0.0166754	0.000540631	0.0665025	14.1355	0.01	0.126982	0.208579	0.308313	0.208276	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539262	19.4473	0.00139955	0.0124436	0.00595904	1.00634	4.95212	1168.67	0.490736	0.0525698
77	5	0.351294	0.112369	0.112462	4.94607	0.0891012	2.62313	0.958776	1.13725	1.42449	4.25831	0.387323	0.440423	0.9	0	1	3.61268	1.98477	3.47654	0.00096857	0	0.0166754	0.000540631	0.0665024	14.1357	0.01	0.126982	0.20858	0.308313	0.208277	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539262	19.4473	0.00139955	0.0124436	0.00595904	1.00634	4.95212	1168.67	0.490736	0.0525698
78	5	0.351294	0.112369	0.112462	4.94607	0.089101	2.62313	0.958774	1.13725	1.42449	4.25831	0.387323	0.440423	0.9	0	1	3.61268	1.98478	3.47654	0.000968569	0	0.0166754	0.000540631	0.0665023	14.1358	0.01	0.126982	0.208581	0.308312	0.208278	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539263	19.4473	0.00139955	0.0124436	0.00595904	1.00634	4.95212	1168.67	0.490736	0.0525698
79	5	0.351294	0.11237	0.112462	4.94607	0.0891007	2.62313	0.958773	1.13725	1.42449	4.2583	0.387323	0.440423	0.9	0	1	3.61268	1.98478	3.47654	0.000968568	0	0.0166754	0.000540631	0.0665022	14.1359	0.01	0.126982	0.208582	0.308312	0.208279	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539263	19.4473	0.00139955	0.0124436	0.00595904	1.00634	4.95213	1168.67	0.490736	0.0525698
80	5	0.351294	0.11237	0.112463	4.94607	0.0891005	2.62313	0.958772	1.13725	1.42449	4.2583	0.387323	0.440424	0.9	0	1	3.61268	1.98478	3.47654	0.000968568	0	0.0166754	0.000540631	0.0665021	14.136	0.01	0.126982	0.208583	0.308312	0.208279	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539264	19.4473	0.00139955	0.0124436	0.00595904	1.00634	4.95213	1168.67	0.490736	0.0525698
81	5	0.351294	0.11237	0.112463	4.94607	0.0891003	2.62313	0.958771	1.13725	1.42449	4.2583	0.387323	0.440424	0.9	0	1	3.61268	1.98478	3.47654	0.000968567	0	0.0166754	0.000540631	0.0665021	14.136	0.01	0.126982	0.208583	0.308311	0.20828	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539264	19.4474	0.00139955	0.0124436	0.00595904	1.00634	4.95213	1168.67	0.490736	0.0525698
82	5	0.351294	0.11237	0.112463	4.94607	0.0891002	2.62313	0.958771	1.13725	1.42449	4.2583	0.387323	0.440424	0.9	0	1	3.61268	1.98478	3.47654	0.000968566	0	0.0166754	0.000540631	0.066502	14.1361	0.01	0.126982	0.208584	0.308311	0.208281	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539264	19.4474	0.00139955	0.0124436	0.00595904	1.00634	4.95213	1168.67	0.490736	0.0525699
83	5	0.351294	0.112371	0.112463	4.94607	0.0891	2.62313	0.95877	1.13725	1.42449	4.2583	0.387323	0.440425	0.9	0	1	3.61268	1.98478	3.47654	0.000968566	0	0.0166754	0.000540631	0.066502	14.1362	0.01	0.126982	0.208584	0.308311	0.208281	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539264	19.4474	0.00139955	0.0124436	0.00595904	1.00634	4.95213	1168.67	0.490736	0.0525699
84	5	0.351294	0.112371	0.112463	4.94607	0.0890999	2.62313	0.958769	1.13725	1.42449	4.2583	0.387323	0.440425	0.9	0	1	3.61268	1.98478	3.47654	0.000968566	0	0.0166754	0.000540631	0.066502	14.1362	0.01	0.126982	0.208585	0.308311	0.208282	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539265	19.4474	0.00139955	0.0124436	0.00595904	1.00634	4.95213	1168.67	0.490736	0.0525699
85	5	0.351294	0.112371	0.112463	4.94607	0.0890998	2.62313	0.958769	1.13726	1.42449	4.2583	0.387323	0.440425	0.9	0	1	3.61268	1.98478	3.47654	0.000968565	0	0.0166754	0.000540631	0.0665019	14.1363	0.01	0.126982	0.208585	0.308311	0.208282	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539265	19.4474	0.00139955	0.0124436	0.00595904	1.00634	4.95213	1168.67	0.490736	0.0525699
86	5	0.351294	0.112371	0.112464	4.94607	0.0890997	2.62313	0.958768	1.13726	1.42449	4.2583	0.387323	0.440425	0.9	0	1	3.61268	1.98478	3.47654	0.000968565	0	0.0166754	0.000540631	0.0665019	14.1363	0.01	0.126982	0.208586	0.30831	0.208283	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539265	19.4474	0.00139955	0.0124436	0.00595904	1.00634	4.95213	1168.67	0.490735	0.0525699
87	5	0.351294	0.112371	0.112464	4.94607	0.0890996	2.62313	0.958768	1.13726	1.42449	4.2583	0.387323	0.440425	0.9	0	1	3.61268	1.98478	3.47654	0.000968565	0	0.0166754	0.000540631	0.0665019	14.1363	0.01	0.126982	0.208586	0.30831	0.208283	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539265	19.4474	0.00139955	0.0124436	0.00595904	1.00634	4.95213	1168.67	0.490735	0.0525699
88	5	0.351294	0.112371	0.112464	4.94607	0.0890995	2.62313	0.958767	1.13726	1.42449	4.2583	0.387323	0.440426	0.9	0	1	3.61268	1.98478	3.47654	0.000968564	0	0.0166754	0.000540631	0.0665018	14.1364	0.01	0.126982	0.208586	0.30831	0.208283	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539265	19.4474	0.00139955	0.0124436	0.00595904	1.00634	4.95213	1168.67	0.490735	0.0525699
89	5	0.351294	0.112371	0.112464	4.94607	0.0890995	2.62313	0.958767	1.13726	1.42449	4.2583	0.387323	0.440426	0.9	0	1	3.61268	1.98478	3.47654	0.000968564	0	0.0166754	0.000540631	0.0665018	14.1364	0.01	0.126982	0.208587	0.30831	0.208283	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539265	19.4474	0.00139955	0.0124436	0.00595904	1.00634	4.95213	1168.67	0.490735	0.0525699
90	5	0.351294	0.112371	0.112464	4.94607	0.0890994	2.62313	0.958767	1.13726	1.42449	4.2583	0.387323	0.440426	0.9	0	1	3.61268	1.98478	3.47654	0.000968564	0	0.0166754	0.000540631	0.0665018	14.1364	0.01	0.126982	0.208587	0.30831	0.208284	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539265	19.4474	0.00139955	0.0124436	0.00595904	1.00634	4.95213	1168.67	0.490735	0.0525699
91	5	0.351294	0.112371	0.112464	4.94607	0.0890994	2.62313	0.958767	1.13726	1.42449	4.2583	0.387323	0.440426	0.9	0	1	3.61268	1.98478	3.47654	0.000968564	0	0.0166754	0.000540631	0.0665018	14.1364	0.01	0.126982	0.208587	0.30831	0.208284	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539265	19.4474	0.00139955	0.0124436	0.00595904	1.00634	4.95213	1168.67	0.490735	0.0525699
92	5	0.351294	0.112371	0.112464	4.94607	0.0890993	2.62313	0.958766	1.13726	1.42449	4.2583	0.387323	0.440426	0.9	0	1	3.61268	1.98478	3.47654	0.000968564	0	0.0166754	0.000540631	0.0665018	14.1365	0.01	0.126982	0.208587	0.30831	0.208284	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539266	19.4474	0.00139955	0.0124436	0.00595904	1.00634	4.95213	1168.67	0.490735	0.0525699
93	5	0.351294	0.112371	0.112464	4.94607	0.0890993	2.62313	0.958766	1.13726	1.42449	4.2583	0.387323	0.440426	0.9	0	1	3.61268	1.98478	3.47654	0.000968563	0	0.0166754	0.000540631	0.0665018	14.1365	0.01	0.126982	0.208587	0.30831	0.208284	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539266	19.4474	0.00139955	0.0124436	0.00595904	1.00634	4.95213	1168.67	0.490735	0.0525699
94	5	0.351294	0.112372	0.112464	4.94607	0.0890992	2.62313	0.958766	1.13726	1.42449	4.2583	0.387323	0.440426	0.9	0	1	3.61268	1.98478	3.47654	0.000968563	0	0.0166754	0.000540631	0.0665018	14.1365	0.01	0.126982	0.208587	0.30831	0.208284	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539266	19.4474	0.00139955	0.0124436	0.00595904	1.00634	4.95213	1168.67	0.490735	0.0525699
95	5	0.351294	0.112372	0.112464	4.94607	0.0890992	2.62313	0.958766	1.13726	1.42449	4.2583	0.387323	0.440426	0.9	0	1	3.61268	1.98478	3.47654	0.000968563	0	0.0166754	0.000540631	0.0665017	14.1365	0.01	0.126982	0.208588	0.308309	0.208284	5	0.523463	0.01	1.62051	0	3.94743	10.0866	0.119519	0	0.367556	0	0.0539266	19.4474	0.00139955	0.0124436	0.00595904	1.00634	4.95214	1168.67	0.490735	0.0525699
