Time	[Fru_e]	[_2PGA_c]	[Fru_g]	[Fru_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[NADPH_c]	[Fru6P_g]	[Fru6P_c]	[Pi_g]	[O2_c]	[NADP_c]	[ATP_c]	[NADP_g]	[_6PG_g]	[CO2_c]	[Rul5P_c]	[_6PG_c]	[Rul5P_g]	[Glc6P_c]	[Rib5P_c]	[_13BPGA_g]	[Glc_c]	[Rib5P_g]	[Glc_g]	[Glc_e]	[NADPH_g]	[Rib_g]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[Gly_e]	[TSH2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[_6PGL_c]	[TS2_c]	[_6PGL_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
10	5	0.335142	0.100271	0.100368	4.94514	0.102803	2.59543	1.02185	1.06129	1.45668	3.91655	0.387634	0.410303	0.9	0	1	3.61237	1.91005	3.47754	0.00101168	0	0.0166329	0.000538791	0.0706108	10.0944	0.01	0.120633	0.169428	0.330932	0.169125	5	0.522456	0.01	1.4994	0	3.94612	10.0211	0.118235	0	0.367564	0	0.0548622	19.6025	0.00139587	0.0124359	0.00595153	0.973878	4.87535	1079.47	0.533273	0.0538834
11	5	0.338489	0.101746	0.101842	4.94548	0.100749	2.60268	1.01274	1.07294	1.45039	3.98609	0.387173	0.41495	0.9	0	1	3.61283	1.92507	3.47738	0.00100541	0	0.016658	0.000539766	0.0700079	10.5529	0.01	0.122107	0.174193	0.327611	0.17389	5	0.522619	0.01	1.52439	0	3.94644	10.0541	0.118573	0	0.367553	0	0.0545225	19.5283	0.00139801	0.0124468	0.00595283	0.980628	4.88651	1097.65	0.524542	0.0535553
12	5	0.341113	0.103032	0.103128	4.94573	0.0990545	2.60817	1.00515	1.0826	1.44541	4.04126	0.387053	0.4188	0.9	0	1	3.61295	1.93681	3.47725	0.00100019	0	0.0166669	0.000540132	0.0695075	10.9599	0.01	0.12325	0.178356	0.324855	0.178053	5	0.522752	0.01	1.54415	0	3.94669	10.0775	0.118829	0	0.36755	0	0.054275	19.4753	0.00139878	0.0124497	0.00595387	0.985895	4.8958	1112.07	0.517783	0.0533058
13	5	0.343182	0.104155	0.10425	4.9459	0.0976448	2.61235	0.998762	1.09065	1.44144	4.08512	0.387044	0.422006	0.9	0	1	3.61296	1.94607	3.47714	0.000995812	0	0.0166703	0.000540283	0.0690888	11.3212	0.01	0.124138	0.181998	0.322549	0.181695	5	0.522862	0.01	1.55981	0	3.94688	10.0939	0.119023	0	0.36755	0	0.0540956	19.4379	0.00139907	0.0124499	0.00595472	0.990034	4.90359	1123.52	0.512494	0.0531154
14	5	0.344819	0.105138	0.105233	4.94603	0.0964624	2.61552	0.993362	1.09739	1.43827	4.12004	0.387067	0.424689	0.9	0	1	3.61293	1.95341	3.47705	0.00099212	0	0.0166717	0.000540358	0.0687359	11.6419	0.01	0.124828	0.185188	0.320607	0.184885	5	0.522952	0.01	1.57225	0	3.94703	10.1051	0.119171	0	0.367551	0	0.0539669	19.4121	0.0013992	0.0124494	0.00595541	0.993302	4.91018	1132.64	0.508319	0.0529698
15	5	0.346119	0.105999	0.106094	4.94612	0.0954641	2.61791	0.988771	1.10307	1.43572	4.14789	0.387096	0.426944	0.9	0	1	3.6129	1.95928	3.47697	0.000988985	0	0.0166724	0.000540403	0.0684368	11.9266	0.01	0.125364	0.187985	0.31896	0.187682	5	0.523027	0.01	1.58214	0	3.94714	10.1125	0.119282	0	0.367551	0	0.0538762	19.395	0.00139927	0.0124488	0.00595598	0.995895	4.91577	1139.91	0.505001	0.0528587
16	5	0.347154	0.106755	0.106849	4.94619	0.0946163	2.61972	0.984848	1.10786	1.43367	4.17011	0.387125	0.428846	0.9	0	1	3.61287	1.96398	3.47691	0.00098631	0	0.0166729	0.000540435	0.0681819	12.1792	0.01	0.125778	0.19044	0.317556	0.190137	5	0.52309	0.01	1.59	0	3.94723	10.117	0.119366	0	0.367552	0	0.0538138	19.3842	0.00139931	0.0124481	0.00595644	0.997957	4.92054	1145.7	0.502349	0.052774
17	5	0.347978	0.107419	0.107513	4.94623	0.0938926	2.62107	0.981482	1.11192	1.43201	4.18786	0.387151	0.430457	0.9	0	1	3.61285	1.96778	3.47686	0.000984017	0	0.0166732	0.000540461	0.0679636	12.4033	0.01	0.126099	0.192597	0.316355	0.192294	5	0.523143	0.01	1.59627	0	3.94729	10.1195	0.119428	0	0.367552	0	0.0537727	19.378	0.00139934	0.0124475	0.00595684	0.999603	4.92463	1150.33	0.500219	0.0527097
18	5	0.348637	0.108003	0.108097	4.94625	0.0932724	2.62207	0.978584	1.11538	1.43066	4.20204	0.387173	0.431826	0.9	0	1	3.61283	1.97084	3.47681	0.000982044	0	0.0166735	0.000540483	0.0677761	12.6021	0.01	0.126346	0.194493	0.315322	0.19419	5	0.523187	0.01	1.60125	0	3.94734	10.1205	0.119474	0	0.367553	0	0.0537473	19.3754	0.00139937	0.012447	0.00595716	1.00092	4.92814	1154.03	0.498501	0.0526611
19	5	0.349164	0.108518	0.108611	4.94627	0.0927387	2.6228	0.97608	1.11833	1.42957	4.21337	0.387192	0.432992	0.9	0	1	3.61281	1.97332	3.47677	0.00098034	0	0.0166738	0.000540501	0.0676143	12.7784	0.01	0.126536	0.196161	0.314432	0.195858	5	0.523225	0.01	1.60523	0	3.94738	10.1203	0.119508	0	0.367553	0	0.0537336	19.3752	0.00139939	0.0124466	0.00595743	1.00197	4.93118	1156.98	0.497112	0.0526247
