Time	[free basolateral BSP]	[basolateral bound BSP]	[free intracellular BSP]	[bound intracellular BSP]	[apical BSP]	[total BSP]	[intracellular BSP]
85	30.5631	47.9704	0.654353	3.98935	3.21519	58.6667	4.6437
86	30.5352	47.9282	0.654995	3.99337	3.25885	58.6667	4.64837
87	30.5073	47.8861	0.655608	3.99721	3.30252	58.6667	4.65281
88	30.4796	47.844	0.656192	4.00086	3.34622	58.6667	4.65705
89	30.452	47.802	0.656747	4.00435	3.38993	58.6667	4.66109
90	30.4245	47.7601	0.657275	4.00766	3.43366	58.6667	4.66493
91	30.3971	47.7182	0.657777	4.01081	3.47741	58.6667	4.66858
92	30.3698	47.6764	0.658252	4.0138	3.52117	58.6667	4.67205
93	30.3426	47.6347	0.658702	4.01663	3.56494	58.6667	4.67533
94	30.3154	47.5931	0.659127	4.0193	3.60873	58.6667	4.67843
95	30.2884	47.5515	0.659529	4.02183	3.65252	58.6667	4.68136
96	30.2614	47.51	0.659906	4.02421	3.69633	58.6667	4.68412
97	30.2344	47.4686	0.660261	4.02646	3.74014	58.6667	4.68672
98	30.2076	47.4273	0.660593	4.02856	3.78395	58.6667	4.68915
99	30.1808	47.3861	0.660903	4.03053	3.82778	58.6667	4.69143
100	30.1541	47.345	0.661192	4.03236	3.8716	58.6667	4.69356
