Time	[aca]	[oaa]	[coa]	[cit]	[icit]	[akg]	[ssa]	[suc]	[sca]	[fa]	[mal]	[gly]	[biosyn]
0	0.5	0.0003	0.0001	3.4	0.06	0.96	0.03	2.464	0.04	0.08528	0.408	0.114	0.1
1	0.5	0.0003	0.0001	0.0558298	0.00213307	0.0107583	0.34692	6.13526	0.000243165	0.00398431	0.0102601	5.51049e-06	0.1
2	0.5	0.0003	0.0001	0.0558293	0.00212815	0.0100195	0.118627	6.31892	0.000252821	0.00398637	0.0102628	5.35962e-06	0.1
3	0.5	0.0003	0.0001	0.0558293	0.00212811	0.0100163	0.117617	6.2746	0.000251051	0.0039859	0.0102622	5.39145e-06	0.1
4	0.5	0.0003	0.0001	0.0558293	0.00212806	0.0100137	0.116802	6.23022	0.000249276	0.00398542	0.0102616	5.42373e-06	0.1
5	0.5	0.0003	0.0001	0.0558293	0.00212802	0.0100111	0.115989	6.18599	0.000247506	0.00398493	0.0102609	5.45631e-06	0.1
6	0.5	0.0003	0.0001	0.0558292	0.00212798	0.0100086	0.115179	6.14189	0.000245741	0.00398444	0.0102603	5.48919e-06	0.1
7	0.5	0.0003	0.0001	0.0558292	0.00212794	0.010006	0.114371	6.09794	0.000243983	0.00398395	0.0102597	5.52238e-06	0.1
8	0.5	0.0003	0.0001	0.0558292	0.0021279	0.0100034	0.113566	6.05413	0.00024223	0.00398345	0.0102591	5.55587e-06	0.1
9	0.5	0.0003	0.0001	0.0558292	0.00212786	0.0100009	0.112764	6.01046	0.000240483	0.00398295	0.0102584	5.58968e-06	0.1
10	0.5	0.0003	0.0001	0.0558292	0.00212781	0.00999836	0.111964	5.96695	0.000238742	0.00398243	0.0102578	5.62379e-06	0.1
11	0.5	0.0003	0.0001	0.0558292	0.00212777	0.00999583	0.111168	5.92358	0.000237007	0.00398192	0.0102571	5.65822e-06	0.1
12	0.5	0.0003	0.0001	0.0558292	0.00212773	0.0099933	0.110373	5.88036	0.000235277	0.0039814	0.0102565	5.69297e-06	0.1
