Time	[cyclin]	[cyclin-cdc2 dimer]	[Thr161 phosphorylated dimer(active MPF)]	[Tyr15 phosphorylated dimer]	[Thr161-Tyr15 phosphorylated dimer]	[phosphorylated cdc25]	[phosphorylated wee1]	[phosphorylated intermediary enzyme]	[ubiquitin conjugating enzyme]	[cdc2]	[cdc25]	[wee1]	[intermediary enzyme]	[ubiquitin conjugating enzyme]
26	1.00424	2.93945	11.7619	0.338955	1.52921	0.826329	0.853499	0.945581	0.186502	83.4305	0.173671	0.146501	0.0544195	0.186502
27	0.971857	2.66423	9.85932	0.344124	1.45618	0.786044	0.829234	0.920293	0.188528	85.6762	0.213956	0.170766	0.0797067	0.188528
28	0.948327	2.4389	8.27249	0.356869	1.40589	0.739007	0.801788	0.887371	0.187663	87.5258	0.260993	0.198212	0.112629	0.187663
29	0.932455	2.25742	6.9713	0.378129	1.37976	0.685687	0.771316	0.847245	0.18325	89.0134	0.314313	0.228684	0.152755	0.18325
30	0.923543	2.11473	5.92283	0.409364	1.38041	0.626941	0.738137	0.800795	0.174726	90.1727	0.373059	0.261863	0.199205	0.174726
31	0.921203	2.00645	5.09342	0.452736	1.41228	0.563912	0.702713	0.749064	0.161659	91.0351	0.436088	0.297287	0.250936	0.161659
32	0.925276	1.92873	4.45051	0.511344	1.48237	0.49793	0.665612	0.693102	0.143786	91.627	0.50207	0.334388	0.306898	0.143786
33	0.93578	1.87805	3.96405	0.58955	1.6013	0.430452	0.627467	0.633874	0.121067	91.967	0.569548	0.372533	0.366126	0.121067
34	0.952856	1.85099	3.60709	0.693363	1.78479	0.36304	0.58893	0.572231	0.0938222	92.0638	0.63696	0.41107	0.427769	0.0938222
35	0.976591	1.84363	3.35511	0.830692	2.05526	0.297384	0.550636	0.508908	0.0631318	91.9153	0.702616	0.449364	0.491092	0.0631318
36	1.00634	1.84966	3.18275	1.01055	2.44165	0.23534	0.513155	0.444512	0.0322671	91.5154	0.76466	0.486845	0.555488	0.0322671
37	1.03814	1.85422	3.05274	1.23721	2.96786	0.178904	0.476901	0.379495	0.0109175	90.888	0.821096	0.523099	0.620505	0.0109175
38	1.06302	1.8292	2.9066	1.49675	3.62063	0.129996	0.44193	0.314038	0.00539184	90.1468	0.870004	0.55807	0.685962	0.00539184
39	1.07995	1.76552	2.71559	1.76796	4.36745	0.0902071	0.407922	0.248083	0.00375391	89.3835	0.909793	0.592078	0.751917	0.00375391
40	1.09314	1.67814	2.49419	2.03504	5.17765	0.0605279	0.37455	0.181707	0.00251815	88.615	0.939472	0.62545	0.818293	0.00251815
41	1.10481	1.58608	2.27431	2.28359	6.01114	0.0406376	0.341738	0.115583	0.00149713	87.8449	0.959362	0.658262	0.884417	0.00149713
42	1.11587	1.50414	2.0887	2.50344	6.82877	0.0286512	0.30974	0.0522749	0.000663295	87.075	0.971349	0.69026	0.947725	0.000663295
43	1.12664	1.43909	1.95592	2.6915	7.60642	0.0219907	0.279062	0.00633933	9.8983e-05	86.3071	0.978009	0.720938	0.993661	9.8983e-05
44	1.13705	1.39063	1.87677	2.85011	8.3364	0.0184793	0.250282	0.0016332	1.73593e-05	85.5461	0.981521	0.749718	0.998367	1.73593e-05
