Time	[B]	[A]
0	-4.44089e-16	1
1	3.01849e-05	1
2	6.42418e-05	1
3	0.000102667	1
4	0.000146021	1
5	0.000194936	1
6	0.000250126	1
7	0.000312393	1
8	0.000382647	1
9	0.00046191	1
10	0.000551338	1
11	0.000652234	1
12	0.000766068	1
13	0.000894497	1
14	0.00103939	1
15	0.00120286	1
16	0.00138729	1
17	0.00159535	1
18	0.00183008	1
19	0.00209488	1
20	0.00239361	1
21	0.0027306	1
22	0.00311076	1
23	0.00353958	1
24	0.0040233	1
25	0.00456892	1
26	0.00518434	1
27	0.00587845	1
28	0.00666129	1
29	0.00754416	1
30	0.00853976	1
31	0.00966242	1
32	0.0109283	1
33	0.0123554	1
34	0.0139643	1
35	0.0157778	1
36	0.0178218	1
37	0.0201251	1
38	0.0227204	1
39	0.025644	1
40	0.0289369	1
41	0.0326449	1
42	0.0368193	1
43	0.0415173	1
44	0.046803	1
45	0.0527477	1
46	0.0594309	1
47	0.066941	1
48	0.0753759	1
49	0.0848439	1
50	0.095465	1
51	0.107371	1
52	0.120706	1
53	0.135628	1
54	0.15231	1
55	0.170937	1
56	0.191711	1
57	0.214844	1
58	0.240567	1
59	0.269116	1
60	0.300743	1
61	0.335704	1
62	0.374257	1
63	0.416661	1
64	0.463165	1
65	0.514006	1
66	0.569395	1
67	0.629513	1
68	0.694496	1
69	0.76443	1
70	0.839333	1
71	0.919152	1
72	1.00375	1
73	1.0929	1
74	1.18627	1
75	1.28345	1
76	1.38393	1
77	1.48712	1
78	1.59234	1
79	1.69887	1
80	1.80596	1
81	1.91282	1
82	2.01868	1
83	2.12281	1
84	2.2245	1
85	2.32314	1
86	2.41817	1
87	2.50913	1
88	2.59567	1
89	2.67752	1
90	2.7545	1
91	2.82652	1
92	2.89357	1
93	2.95572	1
94	3.01307	1
95	3.0658	1
96	3.1141	1
97	3.15819	1
98	3.19833	1
99	3.23477	1
100	3.26776	1
