Time	Values[v]	Values[u]
0	-64	-16.64
1	-63.5487	-16.6288
2	-63.154	-16.5997
3	-62.8145	-16.5587
4	-62.5281	-16.5104
5	-62.293	-16.4586
6	-62.1068	-16.4063
7	-61.9672	-16.3558
8	-61.8714	-16.3091
9	-61.8163	-16.2672
10	-61.7982	-16.2313
11	-61.8128	-16.2019
12	-61.855	-16.1791
13	-61.9193	-16.1631
14	-61.9999	-16.1534
15	-62.0906	-16.1495
16	-62.1856	-16.1507
17	-62.2796	-16.1562
18	-62.368	-16.165
19	-62.4472	-16.1762
20	-62.5148	-16.1887
21	-62.5694	-16.2019
22	-62.6105	-16.215
23	-62.6387	-16.2273
24	-62.6549	-16.2384
25	-62.6606	-16.2479
26	-62.6576	-16.2558
27	-62.6476	-16.262
28	-62.6325	-16.2664
29	-62.6139	-16.2692
30	-62.5934	-16.2706
31	-63.056	-16.2827
32	-63.4629	-16.3132
33	-63.79	-16.3554
34	-64.0279	-16.4033
35	-64.1791	-16.4515
36	-64.2536	-16.4962
37	-64.2656	-16.5347
38	-64.2296	-16.5656
39	-64.1593	-16.5883
40	-64.0663	-16.603
41	-63.9599	-16.6103
42	-63.8473	-16.611
43	-63.7341	-16.6063
44	-63.6239	-16.5972
45	-63.5192	-16.5847
46	-63.4217	-16.5696
47	-63.3321	-16.5529
48	-63.2504	-16.5352
49	-63.1764	-16.5171
50	-63.1095	-16.4989
51	-63.0487	-16.481
52	-62.9931	-16.4636
53	-62.9417	-16.4469
54	-62.8934	-16.4308
55	-62.8474	-16.4154
56	-62.8026	-16.4007
57	-62.7583	-16.3866
58	-62.7139	-16.3729
59	-62.6687	-16.3596
60	-62.6222	-16.3466
61	-62.5742	-16.3337
62	-62.5243	-16.3208
63	-62.4725	-16.3079
64	-62.4185	-16.2948
65	-62.3624	-16.2815
66	-62.3041	-16.2679
67	-62.2436	-16.2539
68	-62.181	-16.2396
69	-62.1163	-16.2249
70	-62.0494	-16.2097
71	-61.9805	-16.1941
72	-61.9096	-16.1781
73	-61.8365	-16.1615
74	-61.7613	-16.1444
75	-61.6839	-16.1269
76	-61.6042	-16.1088
77	-61.522	-16.0902
78	-61.4372	-16.071
79	-61.3495	-16.0512
80	-61.2587	-16.0309
81	-61.1644	-16.0098
82	-61.0663	-15.988
83	-60.9637	-15.9655
84	-60.8563	-15.942
85	-60.7433	-15.9177
86	-60.6238	-15.8922
87	-60.4968	-15.8656
88	-60.361	-15.8376
89	-60.2149	-15.808
90	-60.0564	-15.7766
91	-59.8829	-15.7431
92	-59.6908	-15.707
93	-59.4756	-15.6679
94	-59.2306	-15.6251
95	-58.9465	-15.5775
96	-58.6097	-15.524
97	-58.199	-15.4626
98	-57.6801	-15.3905
99	-56.9934	-15.3032
100	-56.0265	-15.1932
