Time	[cLc]	[cLm]	[cLn]	[cP7c]	[cP7m]	[cP7n]	[cP9c]	[cP9m]	[cP9n]	[cPn]	[cTc]	[cTm]	[cTn]	[cXc]	[cXm]	[cXn]	[cYc]	[cYm]	[cYn]
0	0.0659	0.1951	0.3952	0.0861	0.0772	2.7182	0.0077	0.0011	0.0073	0	0.7852	0.1234	4.5209	2.5615	1.6104	14.5474	7.6795	1.1149	9.7016
1	0.0595883	0.175019	0.357295	0.0856563	0.0733066	2.76923	0.00794959	0.000980944	0.00750802	0	0.745194	0.226839	4.28495	2.2938	1.50361	12.9338	8.91377	1.29369	11.2617
2	0.0538464	0.15887	0.322766	0.083903	0.068599	2.77297	0.00807359	0.00085804	0.00762892	0	0.719834	0.423513	4.12869	2.04405	1.40558	11.4283	10.4099	1.47612	13.157
3	0.04882	0.146165	0.292327	0.081086	0.0634606	2.73338	0.00809712	0.000740252	0.00765445	0	0.717915	0.767954	4.1	1.82382	1.32171	10.099	12.1245	1.63173	15.3356
4	0.0445453	0.136546	0.266265	0.0774537	0.058198	2.65667	0.00803344	0.00063248	0.00759705	0	0.751039	1.28905	4.26422	1.64394	1.26014	9.0059	13.9245	1.7114	17.6328
5	0.0410326	0.129944	0.24466	0.0732491	0.0530413	2.55025	0.00789738	0.000536837	0.00747071	0	0.828902	1.93796	4.67969	1.51542	1.23152	8.20629	15.5682	1.66996	19.7443
6	0.0383067	0.126703	0.22762	0.0686969	0.0481567	2.42184	0.00770357	0.000453739	0.00728929	0	0.953212	2.59484	5.3624	1.4491	1.24671	7.75602	16.7711	1.50532	21.3058
7	0.0364407	0.127628	0.2155	0.0639997	0.0436653	2.27899	0.00746551	0.000382684	0.0070656	0	1.11548	3.12864	6.27019	1.45394	1.31289	7.70319	17.3314	1.2647	22.0529
8	0.0355739	0.133882	0.209022	0.0593395	0.0396635	2.12872	0.00719516	0.000322775	0.00681099	0	1.29861	3.42846	7.31022	1.53482	1.43025	8.07901	17.203	1.00859	21.9191
9	0.0359046	0.146699	0.20928	0.0548839	0.036242	1.97745	0.00690282	0.000272851	0.00653527	0.340186	1.41679	3.39278	8.01813	1.68668	1.58005	8.87435	16.4345	0.755744	20.9647
10	0.0376433	0.166802	0.217515	0.050795	0.0335039	1.83113	0.00659743	0.000232445	0.00624692	0.520095	1.50452	2.93544	8.54857	1.89078	1.73862	9.99935	15.2027	0.572478	19.4081
11	0.0409429	0.194092	0.234724	0.0472382	0.0315767	1.6954	0.00628701	0.000201343	0.00595355	0.62976	1.53061	2.10411	8.74213	2.12741	1.88781	11.3497	13.7202	0.446973	17.5231
12	0.0458451	0.227555	0.261319	0.0443908	0.0306199	1.57587	0.00597921	0.000180319	0.00566238	0.700838	1.48551	1.21691	8.52735	2.37151	2.00598	12.7902	12.1577	0.369771	15.5299
13	0.0522266	0.26503	0.296823	0.0424458	0.0308222	1.47837	0.00568231	0.000171812	0.00538121	0.748466	1.39058	0.640834	8.00848	2.59335	2.07664	14.1482	10.651	0.333728	13.6033
14	0.0597452	0.30304	0.339546	0.0416051	0.0323778	1.40899	0.00540679	0.000180714	0.00511984	0.781026	1.27533	0.346652	7.35746	2.7655	2.09533	15.2499	9.30423	0.333226	11.8774
15	0.0678054	0.336919	0.386344	0.0420535	0.0354299	1.37395	0.00516719	0.000214633	0.00489182	0.80357	1.15661	0.197163	6.67882	2.8686	2.06678	15.9618	8.19311	0.364766	10.4498
16	0.0755747	0.361466	0.432633	0.0439087	0.0399837	1.37871	0.00498338	0.000282234	0.00471576	0.819313	1.0424	0.122772	6.02226	2.89272	1.99946	16.2074	7.37136	0.427762	9.38934
