Time	[L]	[PCNA]	[PCNAon]	[Rad18:Rad18]	[Rad18]	[Rad6]	[Rad6U]	[U]	[Rad18:Rad18:PCNAon]	[Rad18:Rad18:PCNAon:Rad6U]	[Rad18:Rad18:PCNAonU]	[PCNAonU]	[Rad5]	[Rad5:PCNAonU]	[Ubc13U:Mms2]	[Ubc13U:Mms2:Rad5:PCNAonU]	[Rad5:PCNAonU:U]	[Ubc13:Mms2]	[PCNAonU:U]	[Ubc13U:Mms2:Rad5:PCNAonU:U]	[Rad5:PCNAonU:U:U]	[PCNAonU:U:U]	[PCNAoff]
18	998.981	7477.98	0.016984	0.40515	201.308	186.791	5.96781	8497.72	0.687992	1.24148	0.0112298	0.059798	1520	2.98205e-05	192.998	0.00154018	5.03441e-06	9.20415e-14	1.19033e-10	0.000241072	3.18579e-06	3.6156e-08	7.54784e-09
19	998.869	7477.87	0.0165308	0.404347	201.109	186.407	6.23203	8497.32	0.668305	1.36066	0.0124175	0.0711247	1520	3.55001e-05	192.998	0.0019443	6.36236e-06	1.1632e-13	1.60469e-10	0.000325177	4.57404e-06	5.51579e-08	9.73447e-09
20	998.757	7477.76	0.0160604	0.403555	200.911	186.026	6.49481	8496.93	0.648012	1.47926	0.0136059	0.0835497	1520	4.17342e-05	192.997	0.00241622	7.9144e-06	1.44715e-13	2.12304e-10	0.000430466	6.42634e-06	8.21042e-08	1.23914e-08
21	998.645	7477.64	0.0155842	0.402773	200.716	185.647	6.75663	8496.53	0.627578	1.59681	0.0147891	0.0970624	1520	4.85178e-05	192.996	0.00296074	9.70656e-06	1.7753e-13	2.76185e-10	0.00056032	8.8544e-06	1.19542e-07	1.55972e-08
22	998.533	7477.53	0.0151112	0.402001	200.523	185.269	7.01786	8496.14	0.60736	1.71295	0.0159624	0.111647	1520	5.58431e-05	192.996	0.00358233	1.17538e-05	2.15049e-13	3.53862e-10	0.000718335	1.19867e-05	1.70603e-07	1.94444e-08
23	998.421	7477.42	0.0146482	0.401239	200.333	184.894	7.27879	8495.74	0.58763	1.82743	0.0171223	0.127284	1519.99	6.37001e-05	192.995	0.00428511	1.40698e-05	2.57537e-13	4.47175e-10	0.000908306	1.59697e-05	2.39091e-07	2.40421e-08
24	998.309	7477.31	0.0142	0.400488	200.145	184.52	7.53961	8495.35	0.568581	1.94007	0.0182659	0.143949	1519.99	7.20774e-05	192.994	0.00507285	1.66672e-05	3.05241e-13	5.5805e-10	0.00113421	2.09683e-05	3.29564e-07	2.95199e-08
25	998.197	7477.2	0.0137702	0.399746	199.96	184.149	7.80047	8494.96	0.550345	2.05074	0.0193914	0.161619	1519.99	8.09625e-05	192.993	0.00594894	1.95574e-05	3.58386e-13	6.88485e-10	0.00140017	2.71668e-05	4.47432e-07	3.60314e-08
26	998.085	7477.08	0.0133608	0.399014	199.776	183.779	8.06145	8494.57	0.533001	2.15939	0.0204976	0.180268	1519.99	9.03422e-05	192.991	0.00691644	2.27507e-05	4.17177e-13	8.40543e-10	0.00171046	3.47698e-05	5.99042e-07	4.37585e-08
27	997.973	7476.97	0.0129729	0.398292	199.595	183.411	8.32259	8494.18	0.516588	2.266	0.0215839	0.199866	1519.99	0.000100203	192.99	0.00797804	2.6256e-05	4.818e-13	1.01634e-09	0.00206949	4.40023e-05	7.91786e-07	5.29172e-08
28	997.861	7476.86	0.0126069	0.397579	199.416	183.046	8.58392	8493.79	0.501113	2.37058	0.0226499	0.220389	1519.99	0.000110531	192.988	0.00913612	3.00814e-05	5.52421e-13	1.21804e-09	0.00248176	5.51103e-05	1.03419e-06	6.3762e-08
29	997.749	7476.75	0.0122626	0.396876	199.239	182.681	8.84541	8493.4	0.486561	2.47316	0.0236957	0.241808	1519.99	0.000121313	192.987	0.0103927	3.42337e-05	6.2919e-13	1.44784e-09	0.00295186	6.83616e-05	1.33602e-06	7.65925e-08
30	997.637	7476.64	0.0119393	0.396181	199.065	182.319	9.10703	8493.01	0.472899	2.5738	0.0247217	0.264097	1519.98	0.000132535	192.985	0.0117496	3.87188e-05	7.12236e-13	1.70797e-09	0.00348445	8.40454e-05	1.70838e-06	9.17594e-08
31	997.525	7476.53	0.011636	0.395496	198.892	181.959	9.36876	8492.62	0.460085	2.67256	0.0257284	0.28723	1519.98	0.000144184	192.983	0.0132083	4.35418e-05	8.01677e-13	2.00068e-09	0.00408425	0.000102473	2.16382e-06	1.09672e-07
32	997.413	7476.41	0.0113516	0.394819	198.722	181.6	9.63053	8492.24	0.448069	2.76951	0.0267163	0.311182	1519.98	0.000156247	192.98	0.0147698	4.87066e-05	8.97611e-13	2.32824e-09	0.00475604	0.000123978	2.71644e-06	1.30805e-07
33	997.301	7476.3	0.0110848	0.39415	198.553	181.243	9.8923	8491.85	0.436797	2.86473	0.0276862	0.335927	1519.98	0.000168712	192.978	0.0164354	5.42166e-05	1.00012e-12	2.69292e-09	0.0055046	0.000148916	3.38197e-06	1.55707e-07
34	997.19	7476.19	0.0108345	0.39349	198.387	180.888	10.154	8491.47	0.426216	2.95828	0.0286387	0.361442	1519.98	0.000181567	192.975	0.0182055	6.00743e-05	1.10929e-12	3.09701e-09	0.00633477	0.000177664	4.17791e-06	1.85009e-07
35	997.078	7476.08	0.0105994	0.392838	198.222	180.534	10.4156	8491.08	0.416273	3.05023	0.0295745	0.387704	1519.97	0.0001948	192.973	0.0200809	6.62815e-05	1.22517e-12	3.54277e-09	0.00725135	0.000210624	5.1236e-06	2.19435e-07
36	996.966	7475.97	0.0103782	0.392195	198.059	180.182	10.6771	8490.7	0.406917	3.14066	0.0304944	0.414693	1519.97	0.000208401	192.97	0.0220617	7.28394e-05	1.34781e-12	4.03247e-09	0.00825918	0.000248216	6.24035e-06	2.59806e-07
37	996.854	7475.85	0.0101699	0.391559	197.899	179.832	10.9384	8490.31	0.398101	3.22962	0.031399	0.442385	1519.97	0.000222359	192.966	0.0241483	7.97487e-05	1.47725e-12	4.56836e-09	0.00936306	0.000290885	7.5515e-06	3.07057e-07
38	996.742	7475.74	0.00997341	0.390931	197.74	179.483	11.1994	8489.93	0.389779	3.31718	0.032289	0.470762	1519.96	0.000236663	192.963	0.0263405	8.70093e-05	1.61352e-12	5.15269e-09	0.0105678	0.000339097	9.08255e-06	3.62244e-07
39	996.631	7475.63	0.00978769	0.39031	197.582	179.136	11.4602	8489.55	0.381911	3.4034	0.0331649	0.499804	1519.96	0.000251304	192.959	0.0286382	9.46209e-05	1.75663e-12	5.78767e-09	0.0118781	0.000393338	1.08613e-05	4.26556e-07
40	996.519	7475.52	0.00961189	0.389697	197.427	178.791	11.7206	8489.17	0.374461	3.48831	0.0340273	0.529492	1519.95	0.000266273	192.956	0.0310412	0.000102583	1.90661e-12	6.4755e-09	0.0132988	0.000454118	1.29178e-05	5.01324e-07
41	996.407	7475.41	0.00944521	0.389091	197.273	178.447	11.9807	8488.79	0.367393	3.57198	0.0348767	0.559807	1519.95	0.00028156	192.952	0.0335491	0.000110893	2.06346e-12	7.21835e-09	0.0148346	0.000521965	1.52845e-05	5.88037e-07
42	996.295	7475.3	0.0092869	0.388493	197.121	178.105	12.2404	8488.41	0.360677	3.65444	0.0357136	0.590733	1519.95	0.000297157	192.947	0.0361612	0.000119551	2.22717e-12	8.01834e-09	0.01649	0.000597431	1.79967e-05	6.88351e-07
43	996.184	7475.18	0.00913631	0.387901	196.971	177.764	12.4998	8488.03	0.354287	3.73574	0.0365385	0.622253	1519.94	0.000313055	192.943	0.0388771	0.000128554	2.39773e-12	8.8776e-09	0.0182696	0.000681084	2.10919e-05	8.04105e-07
44	996.072	7475.07	0.00899285	0.387317	196.822	177.425	12.7587	8487.65	0.348196	3.81591	0.0373516	0.65435	1519.94	0.000329246	192.938	0.0416959	0.0001379	2.57514e-12	9.7982e-09	0.0201781	0.000773516	2.46105e-05	9.37331e-07
45	995.96	7474.96	0.00885597	0.386739	196.675	177.088	13.0172	8487.27	0.342383	3.89498	0.0381535	0.687009	1519.93	0.000345721	192.933	0.044617	0.000147586	2.75936e-12	1.07822e-08	0.0222199	0.000875337	2.85958e-05	1.09027e-06
46	995.849	7474.85	0.00872519	0.386169	196.53	176.752	13.2752	8486.89	0.336828	3.97299	0.0389444	0.720213	1519.93	0.000362475	192.928	0.0476393	0.00015761	2.95039e-12	1.18315e-08	0.0243994	0.000987175	3.30938e-05	1.26539e-06
47	995.737	7474.74	0.00860007	0.385605	196.386	176.417	13.5328	8486.52	0.331511	4.04997	0.0397246	0.753949	1519.92	0.000379498	192.923	0.050762	0.000167968	3.14818e-12	1.29482e-08	0.0267209	0.00110968	3.81534e-05	1.46538e-06
48	995.625	7474.63	0.00848022	0.385047	196.244	176.084	13.7899	8486.14	0.326417	4.12594	0.0404945	0.788202	1519.92	0.000396783	192.917	0.0539841	0.000178657	3.3527e-12	1.41342e-08	0.0291887	0.00124351	4.38269e-05	1.69321e-06
49	995.514	7474.51	0.00836528	0.384496	196.104	175.753	14.0465	8485.76	0.32153	4.20092	0.0412544	0.822958	1519.91	0.000414325	192.911	0.0573044	0.000189674	3.56392e-12	1.53912e-08	0.0318071	0.00138936	5.01692e-05	1.95209e-06
50	995.402	7474.4	0.00825492	0.383952	195.965	175.423	14.3025	8485.39	0.316837	4.27495	0.0420044	0.858202	1519.9	0.000432115	192.905	0.060722	0.000201016	3.7818e-12	1.67213e-08	0.0345801	0.00154793	5.72388e-05	2.24552e-06
51	995.291	7474.29	0.00814885	0.383413	195.827	175.094	14.5581	8485.01	0.312326	4.34805	0.0427448	0.893922	1519.9	0.000450147	192.898	0.0642355	0.000212677	4.00628e-12	1.81262e-08	0.0375118	0.00171992	6.50971e-05	2.57731e-06
52	995.179	7474.18	0.00804679	0.382881	195.691	174.767	14.8131	8484.64	0.307985	4.42023	0.0434758	0.930105	1519.89	0.000468415	192.892	0.0678439	0.000224655	4.23734e-12	1.96076e-08	0.0406062	0.00190609	7.38092e-05	2.95158e-06
