Time	[Ca_Cyt]	[IP3_Cyt]	[Ca_ER]	[S2]	[S2a]	[S4]	[Oc]	[O_o]	[Orai1]	Values[h]
45	0.341682	0.903292	5.11978	0.21727	0.154924	0.194835	0.000213616	2.98271e-05	2.62284e-05	0.447503
46	0.0556653	0.893513	6.70604	0.17254	0.117088	0.196402	0.000216672	2.67874e-05	2.61641e-05	0.520836
47	0.04871	0.878721	7.15945	0.161109	0.108566	0.188682	0.000218613	2.48567e-05	2.61195e-05	0.594903
48	0.0487762	0.865843	7.55366	0.151684	0.102125	0.179904	0.000219693	2.37833e-05	2.60954e-05	0.654517
49	0.0494628	0.854037	7.92577	0.143349	0.0964566	0.170995	0.000220553	2.29281e-05	2.60765e-05	0.702009
50	0.0503357	0.843173	8.27975	0.13591	0.0914026	0.162292	0.000221328	2.21573e-05	2.60595e-05	0.739691
51	0.0512992	0.833201	8.617	0.129246	0.0868781	0.153951	0.000222045	2.14437e-05	2.60439e-05	0.76947
52	0.0523092	0.824092	8.93852	0.12326	0.0828153	0.146048	0.000222713	2.078e-05	2.60293e-05	0.792893
53	0.0533361	0.815822	9.24523	0.117865	0.0791561	0.138615	0.000223334	2.01623e-05	2.60158e-05	0.811213
54	0.0543585	0.808365	9.53801	0.112989	0.0758501	0.131659	0.000223912	1.95871e-05	2.60032e-05	0.825445
55	0.0553611	0.801693	9.81768	0.108567	0.072854	0.125174	0.000224451	1.90513e-05	2.59914e-05	0.836411
56	0.0563344	0.795772	10.085	0.104546	0.0701302	0.119142	0.000224953	1.85519e-05	2.59805e-05	0.844775
57	0.0572749	0.790562	10.3408	0.100877	0.0676468	0.113541	0.000225422	1.80859e-05	2.59704e-05	0.851071
58	0.0581841	0.786019	10.5855	0.097521	0.0653761	0.108345	0.000225859	1.76507e-05	2.59609e-05	0.85573
59	0.0590689	0.782096	10.8199	0.0944437	0.0632947	0.103529	0.000226268	1.72439e-05	2.5952e-05	0.859091
60	0.0599408	0.778746	11.0443	0.091616	0.0613828	0.0990668	0.000226651	1.68633e-05	2.59437e-05	0.861426
61	0.0608158	0.775926	11.2592	0.0890132	0.0596235	0.0949331	0.000227009	1.65071e-05	2.59363e-05	0.862947
62	0.0617151	0.773593	11.4647	0.086615	0.0580026	0.0911054	0.000227344	1.61736e-05	2.59286e-05	0.863813
63	0.0626663	0.771713	11.6609	0.0844047	0.0565087	0.0875633	0.000227658	1.58614e-05	2.5922e-05	0.864145
64	0.0637051	0.77026	11.8479	0.0823692	0.0551327	0.0842892	0.000227951	1.55696e-05	2.59155e-05	0.864025
65	0.0648817	0.769218	12.0253	0.0804991	0.0538679	0.0812687	0.000228225	1.52974e-05	2.591e-05	0.863503
66	0.0662711	0.768589	12.1924	0.0787899	0.0527106	0.0784914	0.000228479	1.50446e-05	2.59042e-05	0.862597
67	0.0679995	0.768399	12.3479	0.0772438	0.0516614	0.0759529	0.000228714	1.48114e-05	2.58991e-05	0.861283
68	0.0703095	0.768725	12.4891	0.0758752	0.0507283	0.0736583	0.000228927	1.45995e-05	2.58945e-05	0.859474
69	0.073769	0.769751	12.6104	0.0747283	0.0499362	0.0716331	0.000229115	1.44125e-05	2.58904e-05	0.85696
70	0.0802034	0.772004	12.6947	0.0739481	0.0493645	0.0699592	0.000229267	1.42613e-05	2.58871e-05	0.853174
71	0.101678	0.777971	12.6478	0.0744135	0.0494371	0.0690029	0.000229338	1.41903e-05	2.58854e-05	0.845763
72	1.4862	0.830694	3.44956	0.302322	0.153779	0.105399	0.000225268	1.82439e-05	2.59523e-05	0.690498
73	0.64565	0.895086	3.91913	0.259782	0.180612	0.18593	0.000213584	2.98597e-05	2.6224e-05	0.468312
74	0.0746012	0.904106	6.11313	0.188396	0.129987	0.203059	0.000214889	2.85603e-05	2.62037e-05	0.507556
75	0.0499755	0.886836	6.6736	0.173609	0.11711	0.198105	0.000217361	2.61021e-05	2.61474e-05	0.58306
76	0.0493561	0.872986	7.09064	0.162833	0.109696	0.190245	0.000218627	2.48432e-05	2.61188e-05	0.644837
77	0.0498975	0.860395	7.48121	0.153375	0.10326	0.181537	0.000219568	2.39073e-05	2.60981e-05	0.694127
78	0.0506757	0.84885	7.85238	0.144953	0.097536	0.172682	0.000220404	2.30765e-05	2.60797e-05	0.733274
79	0.0515528	0.838277	8.20594	0.137425	0.0924224	0.164006	0.000221176	2.23082e-05	2.60628e-05	0.76425
80	0.0524774	0.828633	8.54298	0.130676	0.0878406	0.155669	0.000221895	2.15928e-05	2.60471e-05	0.788656
81	0.0534182	0.819883	8.86451	0.124609	0.0837233	0.147751	0.000222566	2.09261e-05	2.60325e-05	0.807791
82	0.054353	0.811993	9.17147	0.119137	0.0800121	0.140289	0.000223191	2.03047e-05	2.60189e-05	0.822705
83	0.0552659	0.804925	9.46474	0.114186	0.0766563	0.133293	0.000223773	1.97255e-05	2.60062e-05	0.834248
84	0.0561472	0.798639	9.74518	0.109693	0.0736121	0.126757	0.000224316	1.91853e-05	2.59944e-05	0.843106
85	0.0569925	0.793089	10.0136	0.105602	0.0708421	0.120667	0.000224823	1.86811e-05	2.59834e-05	0.849833
86	0.0578028	0.788225	10.2706	0.101867	0.0683139	0.115002	0.000225297	1.82101e-05	2.59731e-05	0.854872
